seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
19,39824220,39824620,401,*,125,ENSG00000105204,39825350,39834201,-,downstream,9981,730,Overlapping,chr193982422039824620,-1.62209756787578,0.565631181040149
12,120725739,120726139,401,*,242,ENSG00000175970,120710458,120723640,+,downstream,15281,2099,Overlapping,chr12120725739120726139,-1.03654334143523,0.351284342777254
12,56272393,56272793,401,*,279,ENSG00000135469,56266890,56270966,+,downstream,5503,1427,Overlapping,chr125627239356272793,-2.33942639188575,0.639238985313398
14,74479897,74480297,401,*,385,ENSG00000119655,74476192,74494177,-,inside,14280,3705,Overlapping,chr147447989774480297,-1.35469603802774,0.28092162770912
1,21313329,21313729,401,*,938,ENSG00000117298,21217247,21345572,-,inside,32243,31843,Overlapping,chr12131332921313729,-2.36365945582858,0.2316579077109
1,156291159,156291559,401,*,1011,ENSG00000198715,156290089,156295689,-,inside,4530,1070,NearestLocation,chr1156291159156291559,-1.58093674525653,0.321616131515513
19,19203002,19203402,401,*,1026,ENSG00000064490,19192229,19201869,+,downstream,10773,1133,Overlapping,chr191920300219203402,-1.15828866650374,0.347343705631249
8,20221260,20221660,401,*,1202,ENSG00000147416,20197381,20226819,+,inside,23879,5159,Overlapping,chr82022126020221660,-2.11009822032951,0.22971856639986
2,85578863,85579263,401,*,1382,ENSG00000168899,85584431,85593406,+,upstream,-5568,5168,NearestLocation,chr28557886385579263,-1.42893365181148,0.565619491056047
15,38069090,38069490,401,*,1432,ENSG00000236914,38068812,38072990,-,inside,3900,278,NearestLocation,chr153806909038069490,-1.13286355876081,1.07948941264332
14,74484302,74484702,401,*,1436,ENSG00000119655,74476192,74494177,-,inside,9875,8110,Overlapping,chr147448430274484702,-1.8743933898198,0.28092162770912
17,76479371,76479771,401,*,1461,ENSG00000129667,76470891,76501790,-,inside,22419,8480,NearestLocation,chr177647937176479771,-2.29222620471393,0.671990939254697
1,158067192,158067592,401,*,1465,ENSG00000183853,157993273,158100262,+,inside,73919,32670,Overlapping,chr1158067192158067592,-2.16368512917128,0.320952101595915
3,49803013,49803413,401,*,1494,ENSG00000182179,49805209,49813953,-,downstream,10940,1796,Overlapping,chr34980301349803413,-0.644382532851742,0.901681345348191
8,143571606,143572006,401,*,1513,ENSG00000147813,143574785,143578649,-,downstream,7043,2779,Overlapping,chr8143571606143572006,-1.69539502765482,0.379719270190549
6,31122720,31123120,401,*,1520,ENSG00000204540,31114750,31140092,+,inside,7970,7970,Overlapping,chr63112272031123120,-1.49739172571595,0.672497671613261
6,134317620,134318020,401,*,1567,ENSG00000118515,134169248,134318112,-,inside,492,92,NearestLocation,chr6134317620134318020,-1.21745116063743,0.364855281216284
18,3253126,3253526,401,*,1878,ENSG00000101608,3247481,3256236,+,inside,5645,2710,NearestLocation,chr1832531263253526,-1.27078628908656,0.235715571741942
11,725970,726370,401,*,1915,ENSG00000177106,694438,727727,+,inside,31532,1357,Overlapping,chr11725970726370,-1.58242629460678,0.785524415157472
4,78551688,78552088,401,*,1994,ENSG00000138772,78551747,78610451,+,overlapStart,-59,59,NearestLocation,chr47855168878552088,-0.840965860080722,1.06185568463379
1,28236067,28236467,401,*,2004,ENSG00000130770,28236109,28246906,+,overlapStart,-42,42,NearestLocation,chr12823606728236467,-0.575456401138102,0.369235966177519
19,49474142,49474542,401,*,2201,ENSG00000090554,49474207,49486231,+,overlapStart,-65,65,NearestLocation,chr194947414249474542,-0.733312370244454,0.422385365882957
14,67411783,67412183,401,*,2312,ENSG00000100558,67386984,67412167,-,overlapStart,384,16,NearestLocation,chr146741178367412183,-0.976245539847644,0.745832817149043
8,18057051,18057451,401,*,2349,ENSG00000104763,18055992,18084998,-,inside,27947,1059,Overlapping,chr81805705118057451,-1.38233743805541,0.363329233469641
4,88697506,88697906,401,*,2560,ENSG00000177432,88695913,88697829,-,overlapStart,323,77,NearestLocation,chr48869750688697906,-0.677075846065353,0.567377625950695
11,134253611,134254011,401,*,2648,ENSG00000151500,134248279,134253370,-,upstream,-241,241,Overlapping,chr11134253611134254011,-0.535907727689228,0.476462053875997
6,139042956,139043356,401,*,2757,ENSG00000146386,139028745,139043302,+,overlapEnd,14211,54,NearestLocation,chr6139042956139043356,-1.20320762472099,0.456078132891705
5,142024941,142025341,401,*,2891,ENSG00000113552,141991749,142013041,-,upstream,-11900,11900,NearestLocation,chr5142024941142025341,-1.17546363082859,0.771171353266778
8,143986423,143986823,401,*,2908,ENSG00000178685,143977153,144012772,-,inside,26349,9270,Overlapping,chr8143986423143986823,-0.749238356947773,0.653904290573831
1,150751698,150752098,401,*,2913,ENSG00000163131,150730079,150765957,-,inside,14259,13859,NearestLocation,chr1150751698150752098,-1.19969272035897,2.02307512415495
5,150624595,150624995,401,*,2947,ENSG00000171992,150601080,150659207,+,inside,23515,23515,Overlapping,chr5150624595150624995,-0.688022327884341,0.48066389489702
