seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
1,183472085,183472485,401,*,X88,ENSG00000116698,183472216,183598246,126031,+,0,overlapStart,0,SMG7 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:16792],chr1183472085183472485,3.17257321979876,0.338350393845333
10,32957551,32957951,401,*,X91,ENSG00000229656,32958437,33082409,123973,+,485,upstream,485,ITGB1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53718],chr103295755132957951,2.40844139321247,0.498960004227732
4,15002923,15003323,401,*,X106,ENSG00000247624,14909961,15002045,92085,-,877,upstream,877,CPEB2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:49082],chr41500292315003323,3.27385442951141,1.10251041062541
12,76084509,76084909,401,*,X136,ENSG00000187109,76036585,76084735,48151,-,0,overlapStart,0,nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637],chr127608450976084909,3.99219147979786,0.359247342350682
1,231339165,231339565,401,*,X185,ENSG00000116903,231332753,231337852,5100,-,1312,upstream,1312,exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659],chr1231339165231339565,3.55879784413197,0.588589007877607
7,40134249,40134649,401,*,X214,ENSG00000175600,40135005,40860763,725759,+,355,upstream,355,succinyl-CoA:glutarate-CoA transferase [Source:HGNC Symbol;Acc:HGNC:16001],chr74013424940134649,2.49755739033375,0.328298585025936
9,129571742,129572142,401,*,X331,ENSG00000227619,129575117,129584556,9440,+,2974,upstream,2974,novel transcript,chr9129571742129572142,2.19307041417698,1.67913083427018
10,97498760,97499160,401,*,X545,ENSG00000165886,97498924,97571206,72283,+,0,overlapStart,0,ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25683],chr109749876097499160,2.46811979070978,0.45090331939064
20,50931308,50931708,401,*,X581,ENSG00000101126,50888916,50931437,42522,-,0,overlapStart,0,activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766],chr205093130850931708,2.78465400316751,0.309685219937348
3,10027281,10027681,401,*,X582,ENSG00000186162,10014237,10026395,12159,-,885,upstream,885,cell death inducing DFFA like effector c pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24230],chr31002728110027681,2.78465400316751,0.505270656174035
18,57802981,57803381,401,*,X977,ENSG00000081923,57646426,57803315,156890,-,0,overlapStart,0,ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706],chr185780298157803381,1.93034506876352,0.37984137134766
19,12791252,12791652,401,*,X1007,ENSG00000171223,12791486,12793315,1830,+,0,overlapStart,0,JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205],chr191279125212791652,2.95192633462404,0.60564937102298
14,93185929,93186329,401,*,X1014,ENSG00000165943,93182199,93184923,2725,-,1005,upstream,1005,modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658],chr149318592993186329,2.77906545901348,1.3867093097571
19,47019825,47020225,401,*,X1060,ENSG00000130751,47019837,47045775,25939,+,0,overlapStart,0,neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:7894],chr194701982547020225,2.24572736937334,1.41729492682466
18,63367080,63367480,401,*,X1076,ENSG00000119537,63327726,63367228,39503,-,0,overlapStart,0,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],chr186336708063367480,1.91222246245828,0.683655613150599
3,47379969,47380369,401,*,X1101,ENSG00000076201,47381011,47413435,32425,+,641,upstream,641,protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406],chr34737996947380369,2.59909253999399,0.351034504310667
7,520195,520595,401,*,X1112,ENSG00000197461,497258,520296,23039,-,0,overlapStart,0,platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799],chr7520195520595,2.48840851624057,1.03469206744683
3,142963527,142963927,401,*,X1277,ENSG00000163714,142964497,143060725,96229,+,569,upstream,569,U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855],chr3142963527142963927,1.91275453068575,0.460388967789274
9,33264282,33264682,401,*,X1345,ENSG00000086065,33264879,33282070,17192,+,196,upstream,196,charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942],chr93326428233264682,2.46272590828015,0.580508746953005
3,138945660,138946060,401,*,X1563,ENSG00000206262,138947217,138953990,6774,+,1156,upstream,1156,FOXL2 neighbor [Source:HGNC Symbol;Acc:HGNC:34428],chr3138945660138946060,1.53165854995531,0.434954579321537
11,206375,206775,401,*,X1681,ENSG00000177963,207708,215113,7406,+,932,upstream,932,RIC8 guanine nucleotide exchange factor A [Source:HGNC Symbol;Acc:HGNC:29550],chr11206375206775,2.08711617713474,0.442665944733665
3,53885032,53885432,401,*,X1828,ENSG00000113812,53867066,53882152,15087,-,2879,upstream,2879,actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672],chr35388503253885432,2.13639652148454,0.41827178405467
7,44884411,44884811,401,*,X1985,ENSG00000272768,44884953,44886393,1441,+,141,upstream,141,novel transcript, antisense to PURB,chr74488441144884811,1.65555983898626,1.07769176297934
22,50252820,50253220,401,*,X2238,ENSG00000100429,50245183,50251405,6223,-,1414,upstream,1414,histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128],chr225025282050253220,1.60636776151599,0.359615087868689
19,42151534,42151934,401,*,X2684,ENSG00000259436,42152569,42157523,4955,+,634,upstream,634,novel transcript, antisense to POU2F2,chr194215153442151934,2.16648042135321,1.28791710011884
5,181261766,181262166,401,*,X2899,ENSG00000183718,181254077,181261150,7074,-,615,upstream,615,tripartite motif containing 52 [Source:HGNC Symbol;Acc:HGNC:19024],chr5181261766181262166,2.36402795973463,0.908441147488277
6,31826996,31827396,401,*,X2900,ENSG00000204388,31827738,31830254,2517,+,341,upstream,341,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233],chr63182699631827396,2.36402795973463,0.856898494000956
20,50959281,50959681,401,*,X2950,ENSG00000000419,50934867,50959140,24274,-,140,upstream,140,dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005],chr205095928150959681,2.04626743388683,0.639145740961113
12,53183648,53184048,401,*,X3370,ENSG00000139631,53157663,53180925,23263,-,2722,upstream,2722,cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966],chr125318364853184048,1.88532050224843,0.738793545810745
11,46697825,46698225,401,*,X3391,ENSG00000175213,46701030,46705912,4883,+,2804,upstream,2804,zinc finger protein 408 [Source:HGNC Symbol;Acc:HGNC:20041],chr114669782546698225,1.62894063664502,0.871869939303339
15,40438861,40439261,401,*,X3471,ENSG00000140320,40439721,40468236,28516,+,459,upstream,459,bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29153],chr154043886140439261,1.86290846285289,0.414653660643706
11,563355,563755,401,*,X3682,ENSG00000185522,554850,560738,5889,-,2616,upstream,2616,lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561],chr11563355563755,1.67298346870855,1.37914617993887
