seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
2,105398538,105398938,401,*,66,ENSG00000115641,105357712,105438513,-,inside,39975,39575,Overlapping,chr2105398538105398938,-3.06715066133827,0.368750010995568
4,122826909,122827309,401,*,75,ENSG00000138685,122826708,122898236,+,inside,201,201,NearestLocation,chr4122826909122827309,-2.87103297868051,0.37230131327265
3,125055440,125055840,401,*,108,ENSG00000173706,124965710,125055997,-,inside,557,157,NearestLocation,chr3125055440125055840,-2.88925106550383,0.578045255030058
1,67686005,67686405,401,*,130,ENSG00000116717,67685201,67688334,+,inside,804,804,NearestLocation,chr16768600567686405,-3.42469570291915,0.46795374986832
3,149970358,149970758,401,*,175,ENSG00000070087,149964904,150050788,-,inside,80430,5454,Overlapping,chr3149970358149970758,-2.51677623153005,0.299140488057008
8,30082653,30083053,401,*,199,ENSG00000133872,30063003,30083208,-,inside,555,155,Overlapping,chr83008265330083053,-2.49967329037063,0.402645455514863
1,53196805,53197205,401,*,201,ENSG00000157184,53196792,53214197,+,inside,13,13,NearestLocation,chr15319680553197205,-3.58362591931728,0.428140150354713
15,70853890,70854290,401,*,280,ENSG00000166173,70829130,70854157,-,overlapStart,267,133,NearestLocation,chr157085389070854290,-2.846334566526,0.46210224568479
18,50968123,50968523,401,*,372,ENSG00000141642,50967991,50988121,+,inside,132,132,Overlapping,chr185096812350968523,-2.72425346909731,0.480996522805917
18,50968123,50968523,401,*,372,ENSG00000267699,50968019,51058144,+,inside,104,104,NearestLocation,chr185096812350968523,-2.72425346909731,0.485603729465388
8,47738265,47738665,401,*,430,ENSG00000221869,47736913,47738164,-,upstream,-101,101,NearestLocation,chr84773826547738665,-2.392066179458,0.80082573431526
5,58459424,58459824,401,*,446,ENSG00000145632,58453982,58460139,-,inside,715,315,NearestLocation,chr55845942458459824,-3.41691249571947,0.641619766490721
5,102865880,102866280,401,*,550,ENSG00000145730,102753981,103029730,+,inside,111899,111899,NearestLocation,chr5102865880102866280,-3.31954749267362,0.332827169607012
11,35139211,35139611,401,*,615,ENSG00000026508,35138882,35232402,+,inside,329,329,Overlapping,chr113513921135139611,-2.78172198404542,0.384821287962973
