seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
17,2030104,2030504,401,*,X251,ENSG00000108963,2030137,2043898,13762,+,0,overlapStart,0,diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003],chr1720301042030504,-0.694799693360349,0.292070353636807
12,62965230,62965630,401,*,X408,ENSG00000139239,62965325,62965969,645,+,0,overlapStart,0,ribosomal protein L14 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31384],chr126296523062965630,-1.32923436540812,0.794290611696191
12,121804154,121804554,401,*,X549,ENSG00000212694,121795267,121803906,8640,-,247,upstream,247,long intergenic non-protein coding RNA 1089 [Source:HGNC Symbol;Acc:HGNC:27886],chr12121804154121804554,-0.484665386425071,0.41107602522847
1,11262182,11262582,401,*,X695,ENSG00000198793,11106535,11262551,156017,-,0,overlapStart,0,mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942],chr11126218211262582,-0.533189310571698,0.248434985268016
17,74987615,74988015,401,*,X1122,ENSG00000109089,74987632,75005800,18169,+,0,overlapStart,0,cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999],chr177498761574988015,-0.449000231005377,0.515116208487978
12,57591114,57591514,401,*,X1608,ENSG00000166908,57591174,57603418,12245,+,0,overlapStart,0,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786],chr125759111457591514,-0.567010015260584,0.369129397762487
11,10305891,10306291,401,*,X1738,ENSG00000133805,10308313,10507579,199267,+,2021,upstream,2021,adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470],chr111030589110306291,-0.463850053305247,0.403995157819267
8,8893289,8893689,401,*,X2335,ENSG00000147324,8783354,8893630,110277,-,0,overlapStart,0,multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982],chr888932898893689,-0.325059364173615,0.478434001715587
14,24271222,24271622,401,*,X2532,ENSG00000100949,24265538,24271611,6074,-,0,overlapStart,0,Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795],chr142427122224271622,-0.499983384992993,0.375264520109037
16,87383262,87383662,401,*,X3204,ENSG00000140941,87383953,87404779,20827,+,290,upstream,290,microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352],chr168738326287383662,-0.352324086888937,0.475632118727699
1,154325450,154325850,401,*,X3304,ENSG00000143515,154325525,154351304,25780,+,0,overlapStart,0,ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534],chr1154325450154325850,-0.326309231584988,0.485178075367547
16,29900146,29900546,401,*,X3594,ENSG00000174938,29871159,29899550,28392,-,595,upstream,595,seizure related 6 homolog like 2 [Source:HGNC Symbol;Acc:HGNC:30844],chr162990014629900546,-0.450665093747475,0.478304350534427
22,19941510,19941910,401,*,X3768,ENSG00000184470,19875517,19941820,66304,-,0,overlapStart,0,thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155],chr221994151019941910,-0.40286495916345,0.30007279762688
11,83193696,83194096,401,*,X4092,ENSG00000137494,83193712,83260694,66983,+,0,overlapStart,0,ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752],chr118319369683194096,-0.596090998763878,0.517526231088278
