seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
19,11535811,11536211,401,*,X751,ENSG00000130176,11538767,11550323,11557,+,2555,upstream,2555,calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155],chr191153581111536211,-2.00553862938628,-0.415183136630206
19,5977856,5978256,401,*,X780,ENSG00000031823,5916139,5978142,62004,-,0,overlapStart,0,RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850],chr1959778565978256,-0.744707309997371,-0.336849741063903
1,246724369,246724769,401,*,X1082,ENSG00000143653,246724409,246768137,43729,+,0,overlapStart,0,saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275],chr1246724369246724769,-0.657203502876387,-0.502132260957146
9,69672338,69672738,401,*,X1128,ENSG00000107282,69427532,69672371,244840,-,0,overlapStart,0,amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578],chr96967233869672738,-0.631698412463043,-0.61784939866818
19,10010187,10010587,401,*,X1162,ENSG00000080573,9959561,10010504,50944,-,0,overlapStart,0,collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864],chr191001018710010587,-1.09300147063662,-0.574579899683931
1,246506942,246507342,401,*,X1496,ENSG00000185420,245749342,246507312,757971,-,0,overlapStart,0,SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513],chr1246506942246507342,-0.70739877589441,-0.596374803310355
5,169300775,169301175,401,*,X1522,ENSG00000184347,168661733,169301139,639407,-,0,overlapStart,0,slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087],chr5169300775169301175,-0.702225088568735,-0.9652242952568
1,204197873,204198273,401,*,X2205,ENSG00000170498,204190341,204196491,6151,-,1381,upstream,1381,KiSS-1 metastasis suppressor [Source:HGNC Symbol;Acc:HGNC:6341],chr1204197873204198273,-2.24342940107033,-0.660262631768266
15,80404318,80404718,401,*,X2220,ENSG00000172379,80404350,80597933,193584,+,0,overlapStart,0,aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876],chr158040431880404718,-0.621060636863948,-0.510494793479478
19,14091162,14091562,401,*,X2632,ENSG00000141858,14087851,14091036,3186,-,125,upstream,125,sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958],chr191409116214091562,-0.554385523265752,-0.452662033872282
8,103140637,103141037,401,*,X2988,ENSG00000164929,103140713,103230305,89593,+,0,overlapStart,0,BAALC binder of MAP3K1 and KLF4 [Source:HGNC Symbol;Acc:HGNC:14333],chr8103140637103141037,-0.558289576482838,-1.01301951773819
2,24920171,24920571,401,*,X3034,ENSG00000138031,24819169,24920237,101069,-,0,overlapStart,0,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234],chr22492017124920571,-0.444850590533147,-0.645130261724226
8,27633799,27634199,401,*,X3285,ENSG00000168077,27633868,27676776,42909,+,0,overlapStart,0,scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000],chr82763379927634199,-0.485258592166525,-0.55108720088801
