seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
9,120869012,120869412,401,*,73,ENSG00000119403,120855651,120894896,-,inside,25884,13361,NearestLocation,chr9120869012120869412,1.46556654855993,-0.290583697636441
16,661404,661804,401,*,91,ENSG00000161996,649311,667833,+,inside,12093,6029,Overlapping,chr16661404661804,3.56063789314908,-0.343119045433482
3,173585192,173585592,401,*,179,ENSG00000169760,173396284,174294372,+,inside,188908,188908,Overlapping,chr3173585192173585592,0.89835368176555,-0.402816015984642
15,32641583,32641983,401,*,250,ENSG00000198826,32615144,32639941,+,downstream,26439,1642,Overlapping,chr153264158332641983,1.89304559114806,-0.58633194434875
12,2691304,2691704,401,*,427,ENSG00000151067,1970772,2697950,+,inside,720532,6246,Overlapping,chr1226913042691704,1.04472901741563,-0.37206224084099
19,36775770,36776170,401,*,439,ENSG00000267041,36714383,36772825,-,upstream,-2945,2945,Overlapping,chr193677577036776170,2.01182884504485,-0.716422176337439
16,67393613,67394013,401,*,625,ENSG00000159714,67394152,67416833,-,downstream,23220,139,Overlapping,chr166739361367394013,1.46620723520303,-0.422746385690905
1,201602368,201602768,401,*,681,ENSG00000134369,201539127,201826969,+,inside,63241,63241,NearestLocation,chr1201602368201602768,2.08773372171723,-0.217324279640649
11,126712079,126712479,401,*,703,ENSG00000149571,126423358,127003460,-,inside,291381,288721,Overlapping,chr11126712079126712479,1.5775065554892,-0.878439555621933
11,19777051,19777451,401,*,852,ENSG00000166833,19350724,20121601,+,inside,426327,344150,Overlapping,chr111977705119777451,0.654128411350398,-0.304380544125551
16,800059,800459,401,*,869,ENSG00000127586,788046,800737,+,inside,12013,278,Overlapping,chr16800059800459,1.48365236906447,-0.495009085478616
1,23992246,23992646,401,*,910,ENSG00000188529,23964347,23980927,-,upstream,-11319,11319,NearestLocation,chr12399224623992646,2.65374729754057,-0.291975200490845
X,75155912,75156312,401,*,987,ENSG00000131269,75051048,75156732,-,inside,820,420,Overlapping,chrX7515591275156312,1.17478158826815,-0.646154748268647
15,42572136,42572536,401,*,1435,ENSG00000137814,42548828,42569994,+,downstream,23308,2142,Overlapping,chr154257213642572536,2.46110221959817,-0.298295916436716
7,98617174,98617574,401,*,1470,ENSG00000106236,98617285,98629869,+,overlapStart,-111,111,Overlapping,chr79861717498617574,0.922449639045617,-0.853548750880951
2,168912932,168913332,401,*,1475,ENSG00000152253,168834132,168913371,-,inside,439,39,NearestLocation,chr2168912932168913332,1.3437893651576,-0.519520151648717
5,138138998,138139398,401,*,1537,ENSG00000112983,138139770,138178953,-,downstream,39955,372,Overlapping,chr5138138998138139398,0.804013099180414,-0.261163376603035
7,2018840,2019240,401,*,1597,ENSG00000002822,1815793,2233243,-,inside,214403,203047,Overlapping,chr720188402019240,1.47800809186921,-0.374487659957081
17,9256962,9257362,401,*,1701,ENSG00000170310,9250471,9576591,-,inside,319629,6491,Overlapping,chr1792569629257362,2.29412596918942,-0.733773199549632
9,95349364,95349764,401,*,1869,ENSG00000158169,95099054,95426796,-,inside,77432,77032,Overlapping,chr99534936495349764,0.542932594954285,-0.350647196754759
9,129885540,129885940,401,*,1893,ENSG00000187239,129887187,130043194,-,downstream,157654,1247,Overlapping,chr9129885540129885940,1.58858881459166,-0.244297692724373
16,11328075,11328475,401,*,2008,ENSG00000175643,11249619,11381662,+,inside,78456,53187,Overlapping,chr161132807511328475,1.73981041829692,-0.539687235858977
14,25050002,25050402,401,*,2047,ENSG00000168952,24809454,25050147,-,overlapStart,145,145,NearestLocation,chr142505000225050402,0.43403416791495,-0.426598477786254
20,61331314,61331714,401,*,2053,ENSG00000179242,61252261,61940617,+,inside,79053,79053,Overlapping,chr206133131461331714,2.44000303173926,-0.60519765296267
5,126869171,126869571,401,*,2309,ENSG00000113368,126776623,126837020,+,downstream,92548,32151,NearestLocation,chr5126869171126869571,1.12177474687132,-0.438300719762853
