seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
2,241636989,241637389,401,*,X256,ENSG00000176946,241584405,241637158,52754,-,0,overlapStart,0,THAP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23187],chr2241636989241637389,-2.79456751487506,-1.29529440927336
6,158231741,158232141,401,*,X419,ENSG00000130338,158232236,158511828,279593,+,94,upstream,94,TUB like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530],chr6158231741158232141,-2.90190469656276,-0.70413725939958
22,28772662,28773062,401,*,X800,ENSG00000159873,28772674,28789301,16628,+,0,overlapStart,0,coiled-coil domain containing 117 [Source:HGNC Symbol;Acc:HGNC:26599],chr222877266228773062,-2.23249464600221,-0.58757896974104
8,1823327,1823727,401,*,X1235,ENSG00000104728,1823926,1958641,134716,+,198,upstream,198,Rho guanine nucleotide exchange factor 10 [Source:HGNC Symbol;Acc:HGNC:14103],chr818233271823727,-2.18934197632922,-0.588767598328338
2,45650561,45650961,401,*,X1420,ENSG00000171132,45651345,46187990,536646,+,383,upstream,383,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401],chr24565056145650961,-2.13112661199162,-0.512764901045805
6,143536745,143537145,401,*,X1515,ENSG00000112419,143536845,143831185,294341,+,0,overlapStart,0,phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956],chr6143536745143537145,-2.41926422374054,-0.482501139483614
14,74881883,74882283,401,*,X2105,ENSG00000119689,74881891,74903743,21853,+,0,overlapStart,0,dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911],chr147488188374882283,-1.78106953322317,-0.55172772486825
14,94080784,94081184,401,*,X2173,ENSG00000165948,94081301,94103846,22546,+,116,upstream,116,interferon alpha inducible protein 27 like 1 [Source:HGNC Symbol;Acc:HGNC:19754],chr149408078494081184,-1.92154512518885,-1.11277747191245
11,32892732,32893132,401,*,X2565,ENSG00000060749,32892811,32993316,100506,+,0,overlapStart,0,glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154],chr113289273232893132,-1.8931250604924,-0.541122435766664
7,21945840,21946240,401,*,X2586,ENSG00000164649,21900899,21945903,45005,-,0,overlapStart,0,cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777],chr72194584021946240,-2.43398268941112,-0.59750147817192
16,14071260,14071660,401,*,X2597,ENSG00000186260,14071319,14266773,195455,+,0,overlapStart,0,myocardin related transcription factor B [Source:HGNC Symbol;Acc:HGNC:29819],chr161407126014071660,-2.22294799068817,-0.515685624474902
12,47079702,47080102,401,*,X4560,ENSG00000139211,47075707,47079959,4253,-,0,overlapStart,0,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073],chr124707970247080102,-1.52690848985536,-0.488075543801045
2,109128240,109128640,401,*,X4768,ENSG00000172985,109129205,109504634,375430,+,564,upstream,564,SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699],chr2109128240109128640,-1.67872985652441,-0.666753890961016
1,54887266,54887666,401,*,X5096,ENSG00000116133,54849627,54887195,37569,-,70,upstream,70,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859],chr15488726654887666,-2.31223048588728,-0.390393999490276
