seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
3,49411720,49412120,401,*,X4,ENSG00000145022,49412212,49416476,4265,+,91,upstream,91,T cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692],chr34941172049412120,3.51144814310072,-0.530392447673595
7,100100859,100101259,401,*,X46,ENSG00000221838,100101549,100110345,8797,+,289,upstream,289,adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574],chr7100100859100101259,3.82771591736454,-0.520100438513774
2,24075815,24076215,401,*,X77,ENSG00000219626,24076526,24169640,93115,+,310,upstream,310,family with sequence similarity 228 member B [Source:HGNC Symbol;Acc:HGNC:24736],chr22407581524076215,3.52311800089441,-0.46281816910279
7,56063498,56063898,401,*,X104,ENSG00000129103,56064002,56080670,16669,+,103,upstream,103,sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415],chr75606349856063898,3.47028300296959,-0.337608147419771
1,156212746,156213146,401,*,X173,ENSG00000160783,156212993,156240042,27050,+,0,overlapStart,0,polyamine modulated factor 1 [Source:HGNC Symbol;Acc:HGNC:9112],chr1156212746156213146,2.9837126097642,-0.273918716292318
11,64166231,64166631,401,*,X202,ENSG00000133315,63998558,64166113,167556,-,117,upstream,117,mono-ADP ribosylhydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29598],chr116416623164166631,3.39218971199525,-0.830025186403956
22,46250747,46251147,401,*,X213,ENSG00000205643,46244011,46250311,6301,-,435,upstream,435,cysteine rich DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710],chr224625074746251147,2.55219013597716,-0.585443803626755
12,76030732,76031132,401,*,X217,ENSG00000257839,76032658,76033897,1240,+,1525,upstream,1525,PHLDA1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55470],chr127603073276031132,1.82699858314702,-0.875608336542298
10,86968074,86968474,401,*,X236,ENSG00000148671,86968432,86983934,15503,+,0,overlapStart,0,adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043],chr108696807486968474,2.76518808224737,-0.739632803208423
10,86968074,86968474,401,*,X236,ENSG00000271880,86970741,87010126,39386,+,2266,upstream,2266,novel transcript,chr108696807486968474,2.76518808224737,-0.667911830854199
1,161159268,161159668,401,*,X298,ENSG00000143258,161159450,161165723,6274,+,0,overlapStart,0,ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:HGNC:12620],chr1161159268161159668,3.08451936716423,-0.621535570041523
13,75636296,75636696,401,*,X319,ENSG00000261105,75604700,75635994,31295,-,301,upstream,301,LMO7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50277],chr137563629675636696,2.73782748286781,-0.488620099849408
11,19241429,19241829,401,*,X340,ENSG00000129173,19224063,19241620,17558,-,0,overlapStart,0,E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727],chr111924142919241829,2.85415505761229,-2.55056547394572
13,50126083,50126483,401,*,X382,ENSG00000231607,49956670,50125720,169051,-,362,upstream,362,deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748],chr135012608350126483,3.16041324587784,-0.596055574845537
14,102777382,102777782,401,*,X417,ENSG00000131323,102777449,102911500,134052,+,0,overlapStart,0,TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033],chr14102777382102777782,2.7436469440512,-0.815306578169242
19,47111364,47111764,401,*,X423,ENSG00000142230,47113274,47210636,97363,+,1509,upstream,1509,SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660],chr194711136447111764,2.56339240736107,-0.328652225710342
4,1871128,1871528,401,*,X444,ENSG00000109685,1871393,1982207,110815,+,0,overlapStart,0,nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766],chr418711281871528,2.76979905846141,-0.870127163691903
