chr	start	stop	name	-1xlog10(p-value)	xSqrd	-1xlog10(Right-Tail Probability)	-1xlog10(AdjustedP-value)
chr1	5434973	5435180	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak1	36	165.786	36	35.857
chr1	5767996	5768209	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak2	40	184.207	40	39.779
chr1	11357388	11357653	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak3	36	419.07	88.677	35.857
chr1	14551618	14551832	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak4	52	239.469	52	51.533
chr1	14600347	14600602	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak5	41	188.812	41	40.758
chr1	14684173	14684450	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak6	32	147.365	32	31.922
chr1	14739984	14740254	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak7	36	165.786	36	35.858
chr1	17181897	17182184	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak8	49	225.653	49	48.595
chr1	17220538	17220813	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak9	68	313.152	68	67.117
chr1	18107065	18107286	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak10	34	524.989	111.579	33.892
chr1	18543476	18543727	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak11	35	161.181	35	34.873
chr1	18619043	18619514	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak12	76	575.646	122.539	74.893
chr1	18630230	18630505	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak13	39	893.403	191.349	38.81
chr1	18632265	18632472	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak14	28	828.931	177.381	27.965
chr1	18633517	18633783	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak15	25	1261.817	268.7	24.984
chr1	18635935	18636143	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak16	63	990.112	212.304	62.256
chr1	18641080	18641340	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak17	30	1317.079	283.181	29.941
chr1	18643073	18643344	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak18	53	1330.894	283.653	52.511
chr1	18644020	18644290	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak19	25	1353.92	288.639	24.984
chr1	18650367	18650639	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak20	27	511.174	106.483	26.97
chr1	18652770	18652997	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak21	48	349.993	73.754	47.614
chr1	18655176	18655679	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak22	51	488.148	103.611	50.55
chr1	18718225	18718448	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak23	34	156.576	34	33.893
chr1	18788222	18788444	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak24	33	151.971	33	32.911
chr1	18835077	18835362	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak25	34	156.576	34	33.893
chr1	19664396	19664743	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak26	34	1294.053	275.678	33.893
chr1	19666209	19666522	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak27	26	1482.865	0	25.975
chr1	19946377	19946588	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak28	47	216.443	47	46.645
chr1	20421132	20421368	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak29	54	248.679	54	53.485
chr1	22212803	22213011	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak30	52	746.038	157.155	51.534
chr1	22216008	22216215	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak31	19	87.498	19	18.999
chr1	22626199	22626593	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak32	35	161.181	35	34.874
chr1	24926855	24927251	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak33	52	1201.949	258.22	51.534
chr1	24928068	24928279	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak34	40	1317.079	280.663	39.784
chr1	24928729	24929111	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak35	76	1482.865	0	74.896
chr1	24929171	24929410	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak36	48	1349.315	287.642	47.615
chr1	24932633	24932841	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak37	49	1657.861	0	48.596
chr1	24933243	24933487	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF552NGA_narrow_peaks.bed_narrowPeak38	26	1413.787	301.601	25.976
