seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
2,98421716,98422116,401,*,16,ENSG00000040933,98444854,98594392,+,upstream,-23138,22738,NearestLocation,chr29842171698422116,-2.1132641342488,-0.901723360084113
1,239520254,239520654,401,*,69,ENSG00000133019,239386565,239915452,+,inside,133689,133689,NearestLocation,chr1239520254239520654,-1.66724233572493,-0.903720978530643
6,162548931,162549331,401,*,107,ENSG00000185345,161347417,162727775,-,inside,178844,178444,Overlapping,chr6162548931162549331,-1.77076609378656,-1.56551708913028
5,54518895,54519295,401,*,278,ENSG00000178996,54517759,54546586,+,inside,1136,1136,NearestLocation,chr55451889554519295,-1.19894469936385,-0.404846245781831
2,109444428,109444828,401,*,367,ENSG00000172985,109129205,109504634,+,inside,315223,59806,Overlapping,chr2109444428109444828,-1.14109056163741,-0.578761590879221
5,111962994,111963394,401,*,373,ENSG00000134986,111662621,111997464,-,inside,34470,34070,NearestLocation,chr5111962994111963394,-1.19654724368095,-0.497417385953229
3,3276124,3276524,401,*,465,ENSG00000113851,3144628,3179727,-,upstream,-96397,96397,NearestLocation,chr332761243276524,-1.33211322251181,-0.626294923338853
10,132756573,132756973,401,*,535,ENSG00000068383,132537787,132783480,+,inside,218786,26507,Overlapping,chr10132756573132756973,-1.50752080018849,-0.508765920135017
5,119299358,119299758,401,*,560,ENSG00000145779,119268692,119399688,+,inside,30666,30666,Overlapping,chr5119299358119299758,-1.02570363462893,-0.644463397948249
11,131484310,131484710,401,*,585,ENSG00000182667,131370478,132336822,+,inside,113832,113832,Overlapping,chr11131484310131484710,-1.71977686266529,-0.574202436259527
1,245207355,245207755,401,*,710,ENSG00000162849,245154985,245709432,+,inside,52370,52370,Overlapping,chr1245207355245207755,-1.00557980212457,-1.40347436418253
1,58760692,58761092,401,*,726,ENSG00000177606,58776845,58784048,-,downstream,23356,15753,NearestLocation,chr15876069258761092,-1.80554978128424,-0.264432306572831
12,131693976,131694376,401,*,744,ENSG00000061936,131711081,131799738,+,upstream,-17105,16705,NearestLocation,chr12131693976131694376,-1.38488177208719,-0.611440250175484
16,83085020,83085420,401,*,745,ENSG00000140945,82626965,83800640,+,inside,458055,458055,Overlapping,chr168308502083085420,-1.38488177208719,-0.500298832697622
8,96743969,96744369,401,*,749,ENSG00000104324,96645242,97149654,+,inside,98727,98727,NearestLocation,chr89674396996744369,-1.42242349699762,-0.482305750155186
1,227603317,227603717,401,*,777,ENSG00000181450,227563543,227677443,+,inside,39774,39774,Overlapping,chr1227603317227603717,-1.09684651174511,-1.06017245464607
20,61274444,61274844,401,*,812,ENSG00000179242,61252261,61940617,+,inside,22183,22183,Overlapping,chr206127444461274844,-1.16354547641359,-0.899850167992394
3,76242825,76243225,401,*,817,ENSG00000185008,75906695,77649964,+,inside,336130,336130,Overlapping,chr37624282576243225,-1.2103045615284,-1.06186306735626
1,239676885,239677285,401,*,973,ENSG00000133019,239386565,239915452,+,inside,290320,238167,Overlapping,chr1239676885239677285,-1.32482274159299,-0.903720978530643
16,83670553,83670953,401,*,1019,ENSG00000140945,82626965,83800640,+,inside,1043588,129687,Overlapping,chr168367055383670953,-1.12089619167243,-0.500298832697622
