seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
11,111958059,111958459,401,*,630,ENSG00000150764,111927144,112022653,+,inside,30915,30915,Overlapping,chr11111958059111958459,3.23694924745619,0.338535591626497
20,62328861,62329261,401,*,698,ENSG00000130702,62307955,62367312,-,inside,38451,20906,Overlapping,chr206232886162329261,4.02925496416081,0.746813499545203
10,79016734,79017134,401,*,1390,ENSG00000224596,78943328,79067895,-,inside,51161,50761,Overlapping,chr107901673479017134,4.04434105508389,0.710501844622718
20,63497989,63498389,401,*,1489,ENSG00000101210,63488013,63499239,-,inside,1250,850,NearestLocation,chr206349798963498389,2.70307313264122,1.76394623410416
8,143305064,143305464,401,*,1827,ENSG00000184428,143304384,143359979,-,inside,54915,680,Overlapping,chr8143305064143305464,4.02442145468516,0.409197557369506
1,40307395,40307795,401,*,1849,ENSG00000049089,40300489,40317813,-,inside,10418,6906,NearestLocation,chr14030739540307795,3.20300477484565,1.39986676854256
10,71337013,71337413,401,*,2144,ENSG00000198246,71319259,71381423,+,inside,17754,17754,Overlapping,chr107133701371337413,2.71666737235438,0.871563198756952
1,6465760,6466160,401,*,2297,ENSG00000171680,6467122,6520074,-,downstream,54314,962,Overlapping,chr164657606466160,3.45937855436273,0.500729205523479
18,51017206,51017606,401,*,2533,ENSG00000267699,50968019,51058144,+,inside,49187,40538,Overlapping,chr185101720651017606,3.65970833595716,0.485603729465388
1,8335136,8335536,401,*,2539,ENSG00000162426,8318114,8344167,+,inside,17022,8631,Overlapping,chr183351368335536,3.51371379305831,0.709279848999208
16,68375026,68375426,401,*,2765,ENSG00000103056,68358327,68448508,-,inside,73482,16699,Overlapping,chr166837502668375426,3.48631799569283,1.08870253525462
8,30088903,30089303,401,*,2830,ENSG00000133872,30063003,30083208,-,upstream,-5695,5695,NearestLocation,chr83008890330089303,3.78519192424833,0.402645455514863
4,123114163,123114563,401,*,2933,ENSG00000145375,122923070,123319433,+,inside,191093,191093,Overlapping,chr4123114163123114563,2.6866582059157,0.262754434021871
17,79081892,79082292,401,*,3365,ENSG00000167280,79074824,79088599,+,inside,7068,6307,NearestLocation,chr177908189279082292,3.52071548537207,0.527346865142672
10,79024668,79025068,401,*,3885,ENSG00000224596,78943328,79067895,-,inside,43227,42827,Overlapping,chr107902466879025068,2.76622055832701,0.710501844622718
13,113117068,113117468,401,*,4075,ENSG00000126218,113122799,113149529,+,upstream,-5731,5331,NearestLocation,chr13113117068113117468,3.56618121295245,0.742096271809478
6,16287225,16287625,401,*,4166,ENSG00000137198,16238587,16295549,+,inside,48638,7924,Overlapping,chr61628722516287625,2.83903272725197,0.603469703379559
16,57619986,57620386,401,*,4313,ENSG00000205336,57610652,57665580,+,inside,9334,9334,NearestLocation,chr165761998657620386,2.6314152830945,0.679337278271081
22,37398247,37398647,401,*,4340,ENSG00000166897,37367960,37427479,-,inside,29232,28832,Overlapping,chr223739824737398647,3.04415817338603,0.687593550479316
20,34568338,34568738,401,*,4392,ENSG00000101460,34546854,34560345,+,downstream,21484,7993,NearestLocation,chr203456833834568738,2.69831838414333,0.50605849447326
3,139539366,139539766,401,*,4427,ENSG00000248932,139389761,139782699,+,inside,149605,149605,Overlapping,chr3139539366139539766,2.01228135803776,0.674717478779772
14,105163123,105163523,401,*,4543,ENSG00000257622,105152194,105181194,-,inside,18071,10929,Overlapping,chr14105163123105163523,2.45913471725029,0.615086203326754
20,32626989,32627389,401,*,4586,ENSG00000197183,32443059,32585333,-,upstream,-41656,41656,NearestLocation,chr203262698932627389,2.4429726267642,0.428816300837674
10,71346174,71346574,401,*,4619,ENSG00000198246,71319259,71381423,+,inside,26915,26915,Overlapping,chr107134617471346574,3.07849824575616,0.871563198756952
1,40302396,40302796,401,*,4630,ENSG00000049089,40300489,40317813,-,inside,15417,1907,NearestLocation,chr14030239640302796,2.9148490323766,1.39986676854256
16,1364085,1364485,401,*,4770,ENSG00000090581,1351931,1365737,+,inside,12154,1252,Overlapping,chr1613640851364485,3.746586111091,0.346777063605905
20,32536494,32536894,401,*,4800,ENSG00000197183,32443059,32585333,-,inside,48839,48439,Overlapping,chr203253649432536894,2.32867992882278,0.428816300837674
5,14482537,14482937,401,*,4821,ENSG00000145569,14581792,14616180,+,upstream,-99255,98855,NearestLocation,chr51448253714482937,3.32807040742967,0.421483309779805
12,7375291,7375691,401,*,4905,ENSG00000177675,7346685,7479897,-,inside,104606,28606,Overlapping,chr1273752917375691,2.746586111091,0.547403807129984
17,80236445,80236845,401,*,4986,ENSG00000181523,80206716,80220923,-,upstream,-15522,15522,NearestLocation,chr178023644580236845,2.74945006880782,0.436342846242234
19,44820926,44821326,401,*,5170,ENSG00000187244,44809071,44821421,+,inside,11855,95,NearestLocation,chr194482092644821326,2.57747233852946,0.798106950141509
5,150551835,150552235,401,*,5313,ENSG00000171992,150601080,150659207,+,upstream,-49245,48845,NearestLocation,chr5150551835150552235,3.58486509936067,1.60834644669581
4,8477478,8477878,401,*,5349,ENSG00000155275,8436140,8493531,+,inside,41338,15653,Overlapping,chr484774788477878,2.16977218064048,0.592662798772241
9,132869316,132869716,401,*,5463,ENSG00000165698,132878027,132890201,+,upstream,-8711,8311,NearestLocation,chr9132869316132869716,2.45916180822771,0.639010388989396
7,12055165,12055565,401,*,5527,ENSG00000106460,12211270,12243367,+,upstream,-156105,155705,NearestLocation,chr71205516512055565,2.02015969587254,0.484779311345705
2,20434265,20434665,401,*,5579,ENSG00000143878,20447074,20449440,+,upstream,-12809,12409,NearestLocation,chr22043426520434665,2.99356362998938,0.51047279771054
8,23146583,23146983,401,*,5599,ENSG00000173530,23135588,23164027,-,inside,17444,10995,NearestLocation,chr82314658323146983,2.87416060626597,0.570785166439365
3,46683130,46683530,401,*,5618,ENSG00000178038,46668995,46693704,-,inside,10574,10174,NearestLocation,chr34668313046683530,2.75882629089484,0.791901782176732
2,119240740,119241140,401,*,5736,ENSG00000115107,119223831,119265652,+,inside,16909,16909,NearestLocation,chr2119240740119241140,2.11351577151585,0.445597309211585
16,66919805,66920205,401,*,5765,ENSG00000166592,66921679,66925536,-,downstream,5731,1474,Overlapping,chr166691980566920205,2.51371379305831,1.21708302537916
14,105204209,105204609,401,*,5778,ENSG00000183828,105172938,105181323,-,upstream,-22886,22886,NearestLocation,chr14105204209105204609,2.38114503775385,0.613713253225939
2,177295328,177295728,401,*,6027,ENSG00000213963,177283508,177392691,-,inside,97363,11820,Overlapping,chr2177295328177295728,2.33276796716117,0.793837987363118
6,31547752,31548152,401,*,6042,ENSG00000254870,31530219,31546608,-,upstream,-1144,1144,Overlapping,chr63154775231548152,2.1657750376494,1.19359702035594
6,31547752,31548152,401,*,6042,ENSG00000213760,31544444,31548427,-,inside,675,275,NearestLocation,chr63154775231548152,2.1657750376494,1.16761296337929
16,1366552,1366952,401,*,6052,ENSG00000090581,1351931,1365737,+,downstream,14621,815,Overlapping,chr1613665521366952,2.15170865485315,0.346777063605905
16,57643284,57643684,401,*,6354,ENSG00000205336,57610652,57665580,+,inside,32632,21896,Overlapping,chr165764328457643684,2.040078369951,0.679337278271081
20,62350487,62350887,401,*,6706,ENSG00000130702,62307955,62367312,-,inside,16825,16425,Overlapping,chr206235048762350887,2.14697297809533,0.746813499545203
10,69642648,69643048,401,*,6722,ENSG00000171224,69630247,69633596,+,downstream,12401,9052,NearestLocation,chr106964264869643048,3.18637687782811,1.24658671380833
19,50466752,50467152,401,*,6732,ENSG00000161671,50476400,50490871,+,upstream,-9648,9248,NearestLocation,chr195046675250467152,3.10567798609323,0.3488940274903
3,38118886,38119286,401,*,6787,ENSG00000060971,38103129,38137242,-,inside,18356,15757,Overlapping,chr33811888638119286,2.65183453054901,0.439935483938797
21,44911641,44912041,401,*,6914,ENSG00000227039,44921051,44929680,+,upstream,-9410,9010,NearestLocation,chr214491164144912041,2.48199799467904,2.12233002091257
