seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
2,217850326,217850726,401,*,58,ENSG00000079308,217799588,218033982,-,inside,183656,50738,Overlapping,chr2217850326217850726,-3.03875618373104,-0.365369059805889
5,179344893,179345293,401,*,136,ENSG00000087116,179110853,179345461,-,inside,568,168,NearestLocation,chr5179344893179345293,-0.807176268736446,-0.638590431391769
7,116545275,116545675,401,*,280,ENSG00000105974,116524994,116561179,+,inside,20281,15504,Overlapping,chr7116545275116545675,-2.39774302583496,-0.391182336790983
10,16592875,16593275,401,*,347,ENSG00000148484,16590611,16817463,-,inside,224588,2264,Overlapping,chr101659287516593275,-1.79257486006139,-0.381962696463288
2,237703345,237703745,401,*,460,ENSG00000124831,237627587,237813682,+,inside,75758,75758,Overlapping,chr2237703345237703745,-1.83720042125089,-0.303395911840473
5,137142387,137142787,401,*,535,ENSG00000152377,136975298,137598379,-,inside,455992,167089,Overlapping,chr5137142387137142787,-2.64115293227591,-0.65557845381482
8,79612653,79613053,401,*,558,ENSG00000104435,79611117,79666158,+,inside,1536,1536,NearestLocation,chr87961265379613053,-1.20665595166685,-0.565066116882038
2,237360604,237361004,401,*,580,ENSG00000163359,237324003,237414328,-,inside,53724,36601,NearestLocation,chr2237360604237361004,-2.11025586008866,-0.390915216240205
5,150134991,150135391,401,*,581,ENSG00000113721,150113839,150155872,-,inside,20881,20481,NearestLocation,chr5150134991150135391,-2.11025586008866,-0.429418561469233
20,61860053,61860453,401,*,583,ENSG00000179242,61252261,61940617,+,inside,607792,80164,Overlapping,chr206186005361860453,-1.8841589490587,-2.52858521432393
11,122715764,122716164,401,*,646,ENSG00000154127,122655722,122814473,+,inside,60042,60042,Overlapping,chr11122715764122716164,-2.59907572312424,-1.40875850149299
9,121887935,121888335,401,*,666,ENSG00000175764,121815674,122093606,-,inside,205671,72261,NearestLocation,chr9121887935121888335,-1.88778626366684,-0.941055745410252
16,88745867,88746267,401,*,697,ENSG00000103335,88715338,88785220,-,inside,39353,30529,Overlapping,chr168874586788746267,-2.76676734246987,-0.484076448438869
1,14995690,14996090,401,*,699,ENSG00000189337,13892792,15118043,+,inside,1102898,121953,Overlapping,chr11499569014996090,-2.72564251448135,-0.784122855187501
20,38428849,38429249,401,*,702,ENSG00000196756,38419638,38435409,-,inside,6560,6160,Overlapping,chr203842884938429249,-2.80675230181517,-0.496460344159581
22,47005037,47005437,401,*,729,ENSG00000054611,46762617,47175699,+,inside,242420,170262,Overlapping,chr224700503747005437,-1.2828017645045,-0.664716821508464
19,11535811,11536211,401,*,751,ENSG00000130176,11538767,11550323,+,upstream,-2956,2556,NearestLocation,chr191153581111536211,-2.00553862938628,-0.415183136630206
19,5977856,5978256,401,*,780,ENSG00000031823,5916139,5978142,-,overlapStart,286,114,NearestLocation,chr1959778565978256,-0.744707309997371,-0.336849741063903
8,66177039,66177439,401,*,798,ENSG00000147573,66126896,66175485,+,downstream,50143,1554,Overlapping,chr86617703966177439,-1.35727154696806,-1.06091043967152
10,125083868,125084268,401,*,804,ENSG00000175029,124984317,125161170,-,inside,77302,76902,Overlapping,chr10125083868125084268,-1.07769842007121,-0.524217649822738
9,134774287,134774687,401,*,859,ENSG00000130635,134641803,134844843,+,inside,132484,70156,Overlapping,chr9134774287134774687,-1.7310568181281,-0.525026091593034
16,48540280,48540680,401,*,875,ENSG00000102921,48538726,48620148,-,inside,79868,1554,Overlapping,chr164854028048540680,-1.81904536197224,-0.718361080711464
17,63830526,63830926,401,*,898,ENSG00000087191,63827152,63832026,+,inside,3374,1100,Overlapping,chr176383052663830926,-1.7310568181281,-0.205482433715413
17,63830526,63830926,401,*,898,ENSG00000108604,63832081,63843065,-,downstream,12539,1155,Overlapping,chr176383052663830926,-1.7310568181281,-0.512050561410779
19,3379860,3380260,401,*,933,ENSG00000141905,3314403,3469217,+,inside,65457,65457,Overlapping,chr1933798603380260,-2.32746672427364,-0.254949944782972
8,37837927,37838327,401,*,950,ENSG00000020181,37784191,37844896,+,inside,53736,6569,Overlapping,chr83783792737838327,-2.39774302583496,-0.586966392587542
1,6960711,6961111,401,*,960,ENSG00000171735,6785454,7769706,+,inside,175257,175257,Overlapping,chr169607116961111,-2.33942639188575,-0.319107226215786
1,54239075,54239475,401,*,962,ENSG00000157216,54225433,54413479,-,inside,174404,13642,Overlapping,chr15423907554239475,-2.33942639188575,-0.790648045863988
8,100919585,100919985,401,*,969,ENSG00000164924,100916523,100953388,-,inside,33803,3062,Overlapping,chr8100919585100919985,-1.51809732644203,-0.203937582603429
1,246724369,246724769,401,*,1082,ENSG00000143653,246724409,246768137,+,overlapStart,-40,40,NearestLocation,chr1246724369246724769,-0.657203502876387,-0.502132260957146
9,69672338,69672738,401,*,1128,ENSG00000107282,69427532,69672371,-,overlapStart,33,33,NearestLocation,chr96967233869672738,-0.631698412463043,-0.61784939866818
19,10010187,10010587,401,*,1162,ENSG00000080573,9959561,10010504,-,overlapStart,317,83,NearestLocation,chr191001018710010587,-1.09300147063662,-0.574579899683931
19,5112920,5113320,401,*,1165,ENSG00000127663,4969113,5153598,+,inside,143807,40278,Overlapping,chr1951129205113320,-2.01089086152303,-0.469739756117886
5,159099067,159099467,401,*,1193,ENSG00000164330,158695916,159099916,-,inside,849,449,NearestLocation,chr5159099067159099467,-0.637901452244867,-0.87447061602032
8,115648032,115648432,401,*,1251,ENSG00000104447,115408496,115809673,-,inside,161641,161241,Overlapping,chr8115648032115648432,-0.829648423747018,-0.745928349855568
19,11539698,11540098,401,*,1336,ENSG00000130176,11538767,11550323,+,inside,931,931,NearestLocation,chr191153969811540098,-1.51405991659669,-0.415183136630206
1,240562791,240563191,401,*,1408,ENSG00000180875,240489573,240612155,-,inside,49364,48964,Overlapping,chr1240562791240563191,-1.45379368300988,-1.34099586687611
1,46280250,46280650,401,*,1450,ENSG00000132128,46261196,46303616,-,inside,23366,19054,NearestLocation,chr14628025046280650,-2.22938678589943,-0.319452415438037
17,80872706,80873106,401,*,1474,ENSG00000141564,80544819,80966371,+,inside,327887,93265,Overlapping,chr178087270680873106,-2.472748764388,-0.407233085188665
1,31690461,31690861,401,*,1479,ENSG00000084636,31652263,31704319,-,inside,13858,13458,NearestLocation,chr13169046131690861,-2.42216292197205,-0.534636754719083
22,24124935,24125335,401,*,1486,ENSG00000099991,24011192,24178628,+,inside,113743,53293,Overlapping,chr222412493524125335,-2.52162081524633,-0.381154388543497
7,2210895,2211295,401,*,1492,ENSG00000002822,1815793,2233243,-,inside,22348,21948,NearestLocation,chr722108952211295,-2.09484799860902,-0.670561639006806
1,246506942,246507342,401,*,1496,ENSG00000185420,245749342,246507312,-,overlapStart,370,30,NearestLocation,chr1246506942246507342,-0.70739877589441,-0.596374803310355
5,169300775,169301175,401,*,1522,ENSG00000184347,168661733,169301139,-,overlapStart,364,36,NearestLocation,chr5169300775169301175,-0.702225088568735,-0.9652242952568
20,54622466,54622866,401,*,1618,ENSG00000101134,54475593,54651169,+,inside,146873,28303,NearestLocation,chr205462246654622866,-1.63465961110203,-1.13944032466149
20,3760633,3761033,401,*,1630,ENSG00000101220,3753508,3767781,-,inside,7148,6748,NearestLocation,chr2037606333761033,-1.5741660154171,-0.414675514096954
10,126350216,126350616,401,*,1659,ENSG00000148848,126012381,126388477,-,inside,38261,37861,NearestLocation,chr10126350216126350616,-1.94862195654974,-1.24796781760231
17,5500551,5500951,401,*,1763,ENSG00000091592,5499427,5619424,-,inside,118873,1124,Overlapping,chr1755005515500951,-0.658031718181503,-0.476507302284936
19,9835286,9835686,401,*,1795,ENSG00000127445,9835257,9849689,+,inside,29,29,NearestLocation,chr1998352869835686,-0.472159997668091,-0.457765247933236
7,101114452,101114852,401,*,1804,ENSG00000106366,101127104,101139247,+,upstream,-12652,12252,NearestLocation,chr7101114452101114852,-1.54734111597014,-0.394878811935751
20,34872588,34872988,401,*,1835,ENSG00000131069,34872146,34927962,+,inside,442,442,Overlapping,chr203487258834872988,-0.780487632219451,-0.47795000492099
17,3879339,3879739,401,*,1860,ENSG00000004660,3860315,3894891,-,inside,15552,15152,NearestLocation,chr1738793393879739,-2.06443231843984,-0.715239242459847
6,169247494,169247894,401,*,1885,ENSG00000186340,169215780,169254050,-,inside,6556,6156,NearestLocation,chr6169247494169247894,-1.68896276663567,-0.577723816529409
12,2311176,2311576,401,*,1895,ENSG00000151067,1970772,2697950,+,inside,340404,340404,Overlapping,chr1223111762311576,-1.72279557864531,-0.952952673617373
2,217995730,217996130,401,*,1896,ENSG00000079308,217799588,218033982,-,inside,38252,37852,Overlapping,chr2217995730217996130,-1.72279557864531,-0.365369059805889
1,160289788,160290188,401,*,1910,ENSG00000122218,160288594,160343566,-,inside,53778,1194,Overlapping,chr1160289788160290188,-1.7558531196367,-0.31002616464261
12,93570962,93571362,401,*,1969,ENSG00000246985,93542022,93571768,-,inside,806,406,NearestLocation,chr129357096293571362,-0.662349583743325,-1.03343701963562
12,93570962,93571362,401,*,1969,ENSG00000120833,93569814,93583487,+,inside,1148,1148,Overlapping,chr129357096293571362,-0.662349583743325,-0.644976004209013
1,53062188,53062588,401,*,2001,ENSG00000174348,53062052,53085501,+,inside,136,136,NearestLocation,chr15306218853062588,-0.611692040987476,-0.469173443621152
14,50116124,50116524,401,*,2005,ENSG00000100485,50117130,50231578,-,downstream,115454,606,Overlapping,chr145011612450116524,-0.595259649393186,-0.502473056446384
18,48839243,48839643,401,*,2009,ENSG00000134030,48539031,48863217,+,inside,300212,23574,Overlapping,chr184883924348839643,-1.2935438995528,-0.602006659122224
8,96609800,96610200,401,*,2116,ENSG00000104324,96645242,97149654,+,upstream,-35442,35042,NearestLocation,chr89660980096610200,-1.54985914561009,-0.833260630050331
10,69896055,69896455,401,*,2126,ENSG00000197467,69801880,69964275,+,inside,94175,67820,Overlapping,chr106989605569896455,-1.58093674525653,-0.433866990903342
14,100120482,100120882,401,*,2160,ENSG00000196405,99971449,100144236,+,inside,149033,23354,Overlapping,chr14100120482100120882,-2.03875618373104,-0.718151455677027
12,2583492,2583892,401,*,2167,ENSG00000151067,1970772,2697950,+,inside,612720,114058,Overlapping,chr1225834922583892,-1.96352737998713,-0.952952673617373
10,122183191,122183591,401,*,2188,ENSG00000138162,121989163,122254545,+,inside,194028,70954,Overlapping,chr10122183191122183591,-1.8841589490587,-0.61748698774154
11,68261645,68262045,401,*,2189,ENSG00000171067,68261338,68272001,-,inside,10356,307,NearestLocation,chr116826164568262045,-1.8841589490587,-0.287096545986911
5,177501977,177502377,401,*,2194,ENSG00000196923,177483394,177497606,-,upstream,-4371,4371,NearestLocation,chr5177501977177502377,-1.8841589490587,-0.261848036962342
1,204197873,204198273,401,*,2205,ENSG00000170498,204190341,204196491,-,upstream,-1382,1382,NearestLocation,chr1204197873204198273,-2.24342940107033,-0.660262631768266
15,80404318,80404718,401,*,2220,ENSG00000172379,80404350,80597933,+,overlapStart,-32,32,NearestLocation,chr158040431880404718,-0.621060636863948,-0.510494793479478
3,13549161,13549561,401,*,2353,ENSG00000163520,13549125,13638422,+,inside,36,36,NearestLocation,chr31354916113549561,-0.648317819121579,-0.631770816527359
11,73360839,73361239,401,*,2379,ENSG00000110237,73308276,73369388,+,inside,52563,8149,Overlapping,chr117336083973361239,-1.11025586008866,-0.337935595089203
17,81273763,81274163,401,*,2382,ENSG00000157637,81244811,81295547,-,inside,21784,21384,Overlapping,chr178127376381274163,-1.11025586008866,-0.572908415933436
1,164780403,164780803,401,*,2424,ENSG00000185630,164555584,164899296,+,inside,224819,118493,Overlapping,chr1164780403164780803,-1.32054820744738,-0.532243980990972
8,118074281,118074681,401,*,2491,ENSG00000182197,117794490,118111826,-,inside,37545,37145,NearestLocation,chr8118074281118074681,-1.05473707820822,-1.80062275409311
7,116525495,116525895,401,*,2505,ENSG00000105974,116524994,116561179,+,inside,501,501,NearestLocation,chr7116525495116525895,-0.411443016954472,-0.391182336790983
17,19237371,19237771,401,*,2537,ENSG00000072134,19215615,19336715,+,inside,21756,21756,Overlapping,chr171923737119237771,-0.476627972719062,-0.398749312505874
3,123757448,123757848,401,*,2588,ENSG00000065534,123610049,123884332,-,inside,126884,126484,Overlapping,chr3123757448123757848,-1.55337701998928,-1.37080513562837
19,14091162,14091562,401,*,2632,ENSG00000141858,14087851,14091036,-,upstream,-126,126,NearestLocation,chr191409116214091562,-0.554385523265752,-0.452662033872282
1,164588768,164589168,401,*,2642,ENSG00000185630,164555584,164899296,+,inside,33184,33184,NearestLocation,chr1164588768164589168,-1.21309943314951,-0.532243980990972
11,61870908,61871308,401,*,2678,ENSG00000221968,61873519,61892051,-,downstream,21143,2211,Overlapping,chr116187090861871308,-1.88778626366684,-0.493012680993828
1,108639776,108640176,401,*,2689,ENSG00000162636,108560089,108644900,+,inside,79687,4724,Overlapping,chr1108639776108640176,-1.83720042125089,-0.591669965294744
1,77539358,77539758,401,*,2809,ENSG00000154027,77282019,77559966,+,inside,257339,20208,Overlapping,chr17753935877539758,-0.829967064802821,-0.611298449897019
17,10114699,10115099,401,*,2870,ENSG00000007237,9910606,10198606,-,inside,83907,83507,NearestLocation,chr171011469910115099,-0.962499861503702,-1.70756390972003
10,33273810,33274210,401,*,2873,ENSG00000099250,33177492,33336262,-,inside,62452,62052,Overlapping,chr103327381033274210,-1.35578521994656,-0.239154173314365
1,153775839,153776239,401,*,2881,ENSG00000143624,153728050,153774808,+,downstream,47789,1031,Overlapping,chr1153775839153776239,-0.744703900069556,-0.407551548357884
7,76267251,76267651,401,*,2897,ENSG00000106211,76302673,76304295,+,upstream,-35422,35022,NearestLocation,chr77626725176267651,-1.49281871380291,-0.316778295817864
2,237412909,237413309,401,*,2912,ENSG00000163359,237324003,237414328,-,inside,1419,1019,NearestLocation,chr2237412909237413309,-0.404399414707721,-0.390915216240205
17,77309145,77309545,401,*,2932,ENSG00000184640,77280569,77500596,+,inside,28576,28576,Overlapping,chr177730914577309545,-1.09519890533808,-0.430876560242829
1,14522744,14523144,401,*,2953,ENSG00000189337,13892792,15118043,+,inside,629952,594899,Overlapping,chr11452274414523144,-1.02718358502866,-0.784122855187501
8,103140637,103141037,401,*,2988,ENSG00000164929,103140713,103230305,+,overlapStart,-76,76,NearestLocation,chr8103140637103141037,-0.558289576482838,-1.01301951773819
8,41309065,41309465,401,*,2990,ENSG00000104332,41261962,41309473,-,inside,408,8,NearestLocation,chr84130906541309465,-0.726099106801885,-0.882207792195179
16,56424925,56425325,401,*,3030,ENSG00000159461,56361452,56425545,-,inside,620,220,NearestLocation,chr165642492556425325,-0.316330213772852,-0.704448803354536
5,150155453,150155853,401,*,3032,ENSG00000113721,150113839,150155872,-,inside,419,19,NearestLocation,chr5150155453150155853,-0.627106314907024,-0.429418561469233
2,24920171,24920571,401,*,3034,ENSG00000138031,24819169,24920237,-,overlapStart,66,66,NearestLocation,chr22492017124920571,-0.444850590533147,-0.645130261724226
11,12434050,12434450,401,*,3043,ENSG00000197702,12377563,12535356,+,inside,56487,56487,NearestLocation,chr111243405012434450,-1.03258190822499,-0.457243022959117
1,20652924,20653324,401,*,3064,ENSG00000158828,20633458,20651511,+,downstream,19466,1413,Overlapping,chr12065292420653324,-2.10305982716318,-0.707760625057888
19,1423985,1424385,401,*,3088,ENSG00000071626,1407569,1435687,+,inside,16416,11302,Overlapping,chr1914239851424385,-2.03735817043504,-0.582704369173003
3,11509329,11509729,401,*,3089,ENSG00000197548,11272309,11557665,+,inside,237020,47936,Overlapping,chr31150932911509729,-2.03735817043504,-0.474891525894044
5,418092,418492,401,*,3090,ENSG00000063438,321714,438291,+,inside,96378,19799,Overlapping,chr5418092418492,-2.03735817043504,-0.38363469091126
10,129467228,129467628,401,*,3111,ENSG00000170430,129467190,129770983,+,inside,38,38,NearestLocation,chr10129467228129467628,-0.586469361756443,-0.374129014677903
12,8634721,8635121,401,*,3133,ENSG00000197614,8637346,8662888,-,downstream,28167,2225,Overlapping,chr1286347218635121,-1.649394819161,-0.571197508226789
10,79267639,79268039,401,*,3156,ENSG00000108175,79068966,79316519,+,inside,198673,48480,Overlapping,chr107926763979268039,-1.692718403236,-0.351206350121892
19,40690287,40690687,401,*,3194,ENSG00000105245,40665905,40690972,-,inside,685,285,NearestLocation,chr194069028740690687,-0.402017381831315,-0.707911472081166
5,172870480,172870880,401,*,3211,ENSG00000113719,172834251,172952792,+,inside,36229,36229,NearestLocation,chr5172870480172870880,-1.19599520827461,-0.878292340461046
8,27633799,27634199,401,*,3285,ENSG00000168077,27633868,27676776,+,overlapStart,-69,69,NearestLocation,chr82763379927634199,-0.485258592166525,-0.55108720088801
17,6556019,6556419,401,*,3291,ENSG00000091622,6451263,6556555,-,inside,536,136,NearestLocation,chr1765560196556419,-0.856626124992467,-1.41166645324799
