seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
11,615671,616071,401,*,X417,ENSG00000185507,612553,615983,3431,-,0,overlapStart,0,interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122],chr11615671616071,0.914771815749127,1.04603193972983
20,63573849,63574249,401,*,X433,ENSG00000130589,63558086,63574239,16154,-,0,overlapStart,0,helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021],chr206357384963574249,0.651996770156559,0.773586816539872
5,142012666,142013066,401,*,X517,ENSG00000113552,141991749,142013041,21293,-,0,overlapStart,0,glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417],chr5142012666142013066,0.705943508239514,0.771171353266778
1,70354339,70354739,401,*,X799,ENSG00000197568,70354786,70385339,30554,+,46,upstream,46,HERV-H LTR-associating 3 [Source:HGNC Symbol;Acc:HGNC:4906],chr17035433970354739,0.506102002084251,0.488271397492872
1,244834950,244835350,401,*,X895,ENSG00000203667,244835616,244845057,9442,+,265,upstream,265,cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970],chr1244834950244835350,0.523711825860381,0.26321050564804
17,44345233,44345633,401,*,X1040,ENSG00000030582,44345246,44353106,7861,+,0,overlapStart,0,granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601],chr174434523344345633,0.797368584179486,0.306540336095183
12,56266800,56267200,401,*,X1047,ENSG00000135469,56266890,56270966,4077,+,0,overlapStart,0,coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515],chr125626680056267200,0.693016333589108,0.639238985313398
10,58267506,58267906,401,*,X1051,ENSG00000122873,58269162,58289586,20425,+,1255,upstream,1255,CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880],chr105826750658267906,0.425679749858496,0.397881889664779
11,58579244,58579644,401,*,X1471,ENSG00000110031,58526871,58578220,51350,-,1023,upstream,1023,leupaxin [Source:HGNC Symbol;Acc:HGNC:14061],chr115857924458579644,0.347014972000919,0.665623950377313
14,24161232,24161632,401,*,X1507,ENSG00000213928,24161265,24166565,5301,+,0,overlapStart,0,interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131],chr142416123224161632,0.836307614904445,0.477682959616926
17,82735217,82735617,401,*,X1621,ENSG00000167363,82735615,82751196,15582,+,0,overlapStart,0,fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822],chr178273521782735617,0.59168538852058,1.01406089982543
12,114408339,114408739,401,*,X1705,ENSG00000089225,114353911,114408442,54532,-,0,overlapStart,0,T-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11604],chr12114408339114408739,0.591290304610625,0.706632028935399
22,28741986,28742386,401,*,X1848,ENSG00000100209,28742039,28757515,15477,+,0,overlapStart,0,HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913],chr222874198628742386,0.613676087288252,0.409066034175948
19,52397868,52398268,401,*,X1865,ENSG00000269834,52388842,52397791,8950,-,76,upstream,76,ZNF528 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51305],chr195239786852398268,0.842200447788208,1.26280136742272
19,56393247,56393647,401,*,X2146,ENSG00000267454,56393656,56399172,5517,+,8,upstream,8,ZNF582 divergent transcript [Source:HGNC Symbol;Acc:HGNC:25213],chr195639324756393647,0.707120094972917,0.908686238301067
9,133356147,133356547,401,*,X2343,ENSG00000148291,133356550,133361158,4609,+,2,upstream,2,surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475],chr9133356147133356547,0.487854792077121,0.345951495109113
3,187368384,187368784,401,*,X2955,ENSG00000136514,187368385,187372076,3692,+,0,overlapStart,0,receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992],chr3187368384187368784,0.765082240411152,0.874190500802061
2,162318339,162318739,401,*,X3161,ENSG00000115267,162267074,162318684,51611,-,0,overlapStart,0,interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873],chr2162318339162318739,0.47223462524053,0.965022794900978
2,162318339,162318739,401,*,X3161,ENSG00000115271,162318840,162371595,52756,+,100,upstream,100,grancalcin [Source:HGNC Symbol;Acc:HGNC:15990],chr2162318339162318739,0.47223462524053,1.14255191415508
