seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
7,73719323,73719723,401,*,X187,ENSG00000106089,73699206,73719672,20467,-,0,overlapStart,0,syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433],chr77371932373719723,0.761239371544232,0.566129758677205
8,94948899,94949299,401,*,X226,ENSG00000253878,94950037,94951396,1360,+,737,upstream,737,novel transcript,chr89494889994949299,0.686207456573968,0.67652357429603
12,56266798,56267198,401,*,X655,ENSG00000135469,56266890,56270966,4077,+,0,overlapStart,0,coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515],chr125626679856267198,0.727381325254973,0.841339816909787
17,16568830,16569230,401,*,X835,ENSG00000141040,16546954,16569204,22251,-,0,overlapStart,0,zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502],chr171656883016569230,0.720345012472326,0.590802867098167
19,18373899,18374299,401,*,X1099,ENSG00000130513,18374731,18389176,14446,+,431,upstream,431,growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142],chr191837389918374299,1.76473913183078,1.70248499048226
5,128083409,128083809,401,*,X1585,ENSG00000064651,128083766,128189677,105912,+,0,overlapStart,0,solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911],chr5128083409128083809,0.49418117015553,0.546432049056423
10,43138354,43138754,401,*,X1708,ENSG00000169826,43138445,43185302,46858,+,0,overlapStart,0,chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292],chr104313835443138754,0.389225183817689,0.541340489325528
9,35490086,35490486,401,*,X1813,ENSG00000198853,35490111,35561898,71788,+,0,overlapStart,0,RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625],chr93549008635490486,0.406968561039877,0.378945477620484
19,44165039,44165439,401,*,X2224,ENSG00000167380,44165073,44178381,13309,+,0,overlapStart,0,zinc finger protein 226 [Source:HGNC Symbol;Acc:HGNC:13019],chr194416503944165439,0.561957759064817,0.498376787413436
1,206635526,206635926,401,*,X2422,ENSG00000143479,206635536,206684419,48884,+,0,overlapStart,0,dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094],chr1206635526206635926,0.343285182554968,0.557478662448618
