seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
21,46002308,46002708,401,*,75,ENSG00000142156,45981770,46005050,+,inside,20538,2342,NearestLocation,chr214600230846002708,-5.31621264046139,-0.42544409490846
7,260918,261318,401,*,84,ENSG00000177706,192571,260772,+,downstream,68347,146,Overlapping,chr7260918261318,-5.27020020626772,-1.39740535737953
1,108174138,108174538,401,*,154,ENSG00000085491,108134043,108200849,-,inside,26711,26311,Overlapping,chr1108174138108174538,-4.77342074499577,-0.341230677954721
1,1491051,1491451,401,*,158,ENSG00000160072,1471765,1497848,+,inside,19286,6397,Overlapping,chr114910511491451,-4.75021133812173,-0.940924240902589
22,19722149,19722549,401,*,166,ENSG00000184702,19714503,19724224,+,inside,7646,1675,Overlapping,chr221972214919722549,-4.69405984990057,-0.466932594104356
3,138542235,138542635,401,*,193,ENSG00000114107,138494344,138594538,-,inside,52303,47891,NearestLocation,chr3138542235138542635,-4.58597845830612,-0.445967633226125
6,18228757,18229157,401,*,208,ENSG00000124795,18223860,18264548,-,inside,35791,4897,NearestLocation,chr61822875718229157,-4.53256560982291,-0.635282702323749
16,4884197,4884597,401,*,228,ENSG00000140632,4803203,4847288,-,upstream,-36909,36909,NearestLocation,chr1648841974884597,-4.48706838744262,-2.16890854006617
19,56621829,56622229,401,*,247,ENSG00000197951,56595300,56626481,+,inside,26529,4252,Overlapping,chr195662182956622229,-3.45653077803047,-0.628949667104154
16,53698275,53698675,401,*,257,ENSG00000103494,53598153,53703938,-,inside,5663,5263,Overlapping,chr165369827553698675,-4.36826747547804,-0.6042636397657
16,53698275,53698675,401,*,257,ENSG00000140718,53701692,54158512,+,upstream,-3417,3017,NearestLocation,chr165369827553698675,-4.36826747547804,-1.09481625890719
14,65633727,65634127,401,*,263,ENSG00000033170,65410592,65744121,+,inside,223135,109994,Overlapping,chr146563372765634127,-4.4297889295273,-0.364485909532517
19,18668113,18668513,401,*,264,ENSG00000167487,18637025,18671721,+,inside,31088,3208,Overlapping,chr191866811318668513,-4.4297889295273,-1.49813405985422
19,18668113,18668513,401,*,264,ENSG00000105662,18683678,18782333,+,upstream,-15565,15165,NearestLocation,chr191866811318668513,-4.4297889295273,-0.853086534780978
1,1294916,1295316,401,*,285,ENSG00000131584,1292390,1309609,-,inside,14693,2526,Overlapping,chr112949161295316,-4.35932672074596,-1.04973881280763
1,15943116,15943516,401,*,287,ENSG00000116809,15941869,15976132,-,inside,33016,1247,Overlapping,chr11594311615943516,-4.27852368722215,-0.354311772062404
8,37697656,37698056,401,*,295,ENSG00000183779,37695782,37700019,+,inside,1874,1874,NearestLocation,chr83769765637698056,-2.78222326859422,-0.283361120961441
19,57720305,57720705,401,*,297,ENSG00000269026,57682045,57753575,+,inside,38260,32870,Overlapping,chr195772030557720705,-4.28995841163231,-0.842771880776735
1,214608577,214608977,401,*,314,ENSG00000117724,214603195,214664571,+,inside,5382,5382,Overlapping,chr1214608577214608977,-3.27848161984457,-0.893605484118916
2,101459756,101460156,401,*,336,ENSG00000196460,101397359,101475112,-,inside,15356,14956,NearestLocation,chr2101459756101460156,-4.22409910949601,-0.389451600187013
21,37109031,37109431,401,*,351,ENSG00000182670,37073226,37203112,+,inside,35805,35805,Overlapping,chr213710903137109431,-4.19252573638436,-0.559520284435883
10,48450524,48450924,401,*,391,ENSG00000128805,48446036,48656265,-,inside,205741,4488,Overlapping,chr104845052448450924,-4.15766970189955,-0.437429442571785
12,122591777,122592177,401,*,393,ENSG00000184445,122527246,122626396,+,inside,64531,34219,Overlapping,chr12122591777122592177,-3.23853377399458,-0.649641248100905
3,47848531,47848931,401,*,406,ENSG00000047849,47850690,48089272,-,downstream,240741,1759,Overlapping,chr34784853147848931,-4.16754064351032,-0.714977784911064
19,875563,875963,401,*,409,ENSG00000197766,859453,867884,+,downstream,16110,7679,NearestLocation,chr19875563875963,-4.0426118835549,-1.94329844927783
19,875563,875963,401,*,409,ENSG00000175221,867630,893218,-,inside,17655,7933,Overlapping,chr19875563875963,-4.0426118835549,-0.327560389960985
2,45542213,45542613,401,*,410,ENSG00000068784,45388680,45612165,-,inside,69952,69552,Overlapping,chr24554221345542613,-3.25511076268411,-0.931708893886475
20,3671793,3672193,401,*,430,ENSG00000149451,3667965,3682246,-,inside,10453,3828,Overlapping,chr2036717933672193,-4.08803326586411,-0.348532181777404
21,46118369,46118769,401,*,434,ENSG00000142173,46098112,46132848,+,inside,20257,14079,NearestLocation,chr214611836946118769,-3.1696796838949,-0.814758154923082
16,15587192,15587592,401,*,435,ENSG00000166780,15434475,15625028,+,inside,152717,37436,Overlapping,chr161558719215587592,-4.10107474497852,-0.625294138355083
10,73915676,73916076,401,*,451,ENSG00000122861,73909177,73917496,+,inside,6499,1420,NearestLocation,chr107391567673916076,-4.05052465955558,-0.443228785939586
17,6447580,6447980,401,*,452,ENSG00000129195,6444441,6451469,+,inside,3139,3139,NearestLocation,chr1764475806447980,-4.05052465955558,-1.42761117243589
9,21824585,21824985,401,*,472,ENSG00000099810,21802636,21937651,+,inside,21949,21949,Overlapping,chr92182458521824985,-4.03139820783032,-0.594687467681968
9,21824585,21824985,401,*,472,ENSG00000264545,21802636,22029594,+,inside,21949,21949,Overlapping,chr92182458521824985,-4.03139820783032,-0.675502069931405
11,47239595,47239995,401,*,474,ENSG00000134574,47214465,47239217,+,downstream,25130,378,Overlapping,chr114723959547239995,-3.91147285608403,-0.367295007773502
6,144441728,144442128,401,*,493,ENSG00000152818,144285335,144853034,+,inside,156393,156393,Overlapping,chr6144441728144442128,-3.14291493971346,-2.28768277012676
17,78820445,78820845,401,*,495,ENSG00000055483,78787381,78841441,-,inside,20996,20596,NearestLocation,chr177882044578820845,-4.04495938403932,-0.409513334415097
9,110941624,110942024,401,*,497,ENSG00000198121,110873263,111038470,-,inside,96846,68361,Overlapping,chr9110941624110942024,-3.96114285324613,-0.280604883101491
1,15969317,15969717,401,*,501,ENSG00000116809,15941869,15976132,-,inside,6815,6415,Overlapping,chr11596931715969717,-3.85049225751024,-0.354311772062404
3,127606320,127606720,401,*,506,ENSG00000073111,127598410,127622436,+,inside,7910,7910,NearestLocation,chr3127606320127606720,-3.98947294632582,-1.00753434770589
19,46776674,46777074,401,*,510,ENSG00000105281,46774883,46788594,-,inside,11920,1791,Overlapping,chr194677667446777074,-3.9022687009271,-0.453094139791731
6,131008237,131008637,401,*,511,ENSG00000079819,130839347,131063322,-,inside,55085,54685,NearestLocation,chr6131008237131008637,-3.86585553166631,-0.763735337019155
6,132354564,132354964,401,*,512,ENSG00000079931,132296055,132401475,-,inside,46911,46511,NearestLocation,chr6132354564132354964,-3.86585553166631,-0.705119148836969
5,177294252,177294652,401,*,513,ENSG00000165671,177131830,177300213,+,inside,162422,5561,Overlapping,chr5177294252177294652,-3.84729839899259,-1.2853284445866
10,93521040,93521440,401,*,522,ENSG00000138180,93496612,93529092,+,inside,24428,7652,Overlapping,chr109352104093521440,-3.05981525493787,-1.29333826029953
3,52601496,52601896,401,*,554,ENSG00000163939,52545352,52685917,-,inside,84421,56144,Overlapping,chr35260149652601896,-3.06922020297247,-0.473522727602941
1,26268406,26268806,401,*,557,ENSG00000130695,26234200,26278808,+,inside,34206,10002,Overlapping,chr12626840626268806,-3.95225115344024,-0.598275232853218
2,105881753,105882153,401,*,561,ENSG00000071051,105744912,105894274,+,inside,136841,12121,Overlapping,chr2105881753105882153,-3.86269554120542,-0.437569769509962
1,2306029,2306429,401,*,565,ENSG00000157933,2228319,2310213,+,inside,77710,3784,Overlapping,chr123060292306429,-2.39004753646051,-0.420130295601567
17,2056949,2057349,401,*,589,ENSG00000070366,2059839,2303785,-,downstream,246836,2490,Overlapping,chr1720569492057349,-2.0934705159167,-0.615142994132149
5,141399684,141400084,401,*,591,ENSG00000262576,141355021,141512975,+,inside,44663,44663,Overlapping,chr5141399684141400084,-3.93176683144234,-1.53315944013602
5,141399684,141400084,401,*,591,ENSG00000253910,141359994,141512975,+,inside,39690,39690,Overlapping,chr5141399684141400084,-3.93176683144234,-1.10964274601492
5,141399684,141400084,401,*,591,ENSG00000262209,141370242,141512975,+,inside,29442,29442,Overlapping,chr5141399684141400084,-3.93176683144234,-1.4843115527093
5,141399684,141400084,401,*,591,ENSG00000253731,141373891,141512975,+,inside,25793,25793,Overlapping,chr5141399684141400084,-3.93176683144234,-2.08238894634124
5,141399684,141400084,401,*,591,ENSG00000253953,141387698,141512975,+,inside,11986,11986,Overlapping,chr5141399684141400084,-3.93176683144234,-0.439553299667655
5,141399684,141400084,401,*,591,ENSG00000261934,141402778,141512975,+,upstream,-3094,2694,Overlapping,chr5141399684141400084,-3.93176683144234,-0.565039890537092
14,102297738,102298138,401,*,597,ENSG00000080823,102224500,102305190,-,inside,7452,7052,NearestLocation,chr14102297738102298138,-3.98366662155239,-1.08615577819523
3,29701711,29702111,401,*,598,ENSG00000144642,28574791,30010391,+,inside,1126920,308280,Overlapping,chr32970171129702111,-3.94927503348062,-0.686490628980235
20,35843185,35843585,401,*,599,ENSG00000025293,35771974,35950370,+,inside,71211,71211,Overlapping,chr203584318535843585,-3.76382677732829,-0.674668864056814
5,179121548,179121948,401,*,623,ENSG00000087116,179110853,179345461,-,inside,223913,10695,Overlapping,chr5179121548179121948,-3.04050599129387,-1.70996162133178
16,11556142,11556542,401,*,624,ENSG00000189067,11547722,11636381,-,inside,80239,8420,Overlapping,chr161155614211556542,-3.09707268340149,-0.251320637405286
19,11941220,11941620,401,*,626,ENSG00000196757,11925068,11950773,+,inside,16152,9153,Overlapping,chr191194122011941620,-2.32035193971962,-0.8609357844119
19,11941220,11941620,401,*,626,ENSG00000267179,11925075,11979290,+,inside,16145,16145,Overlapping,chr191194122011941620,-2.32035193971962,-0.90398787685061
