seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
15,70853890,70854290,401,*,X280,ENSG00000166173,70829130,70854157,25028,-,0,overlapStart,0,La ribonucleoprotein 6, translational regulator [Source:HGNC Symbol;Acc:HGNC:24012],chr157085389070854290,-2.846334566526,0.46210224568479
8,47738265,47738665,401,*,X430,ENSG00000221869,47736913,47738164,1252,-,100,upstream,100,CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835],chr84773826547738665,-2.392066179458,0.80082573431526
1,111755920,111756320,401,*,X810,ENSG00000197852,111680630,111755824,75195,-,95,upstream,95,inka box actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:28045],chr1111755920111756320,-3.18460768700056,0.471878166722388
4,39044955,39045355,401,*,X868,ENSG00000109790,39045039,39126857,81819,+,0,overlapStart,0,kelch like family member 5 [Source:HGNC Symbol;Acc:HGNC:6356],chr43904495539045355,-1.99021873416624,0.404466871938647
7,100015558,100015958,401,*,X929,ENSG00000106261,100015572,100041689,26118,+,0,overlapStart,0,zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol;Acc:HGNC:13101],chr7100015558100015958,-1.95341336805469,0.466187549112605
18,8609420,8609820,401,*,X1676,ENSG00000206418,8609437,8639383,29947,+,0,overlapStart,0,RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332],chr1886094208609820,-2.65492297728287,0.36590886951087
20,18288129,18288529,401,*,X1736,ENSG00000125846,18288283,18316996,28714,+,0,overlapStart,0,zinc finger protein 133 [Source:HGNC Symbol;Acc:HGNC:12917],chr201828812918288529,-4.12507898208739,0.377733430976731
18,3012779,3013179,401,*,X1753,ENSG00000101577,2916994,3013144,96151,-,0,overlapStart,0,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450],chr1830127793013179,-1.65277000848498,0.374814252849699
6,139374647,139375047,401,*,X1773,ENSG00000164442,139371807,139374648,2842,-,0,overlapStart,0,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987],chr6139374647139375047,-2.15827029146059,0.587508950755146
16,70454267,70454667,401,*,X1797,ENSG00000157353,70454595,70480274,25680,+,0,overlapStart,0,fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500],chr167045426770454667,-2.04026690332194,0.75184588452001
16,74606764,74607164,401,*,X1799,ENSG00000090863,74447427,74607144,159718,-,0,overlapStart,0,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316],chr167460676474607164,-2.29714430947974,0.289479607066952
3,139389193,139389593,401,*,X1864,ENSG00000248932,139389761,139782699,392939,+,167,upstream,167,COPB2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55579],chr3139389193139389593,-2.46361436146555,0.674717478779772
5,76716041,76716441,401,*,X1885,ENSG00000181104,76716126,76735770,19645,+,0,overlapStart,0,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537],chr57671604176716441,-2.26716855415769,0.452012787005121
19,34734131,34734531,401,*,X1952,ENSG00000197841,34734155,34745378,11224,+,0,overlapStart,0,zinc finger protein 181 [Source:HGNC Symbol;Acc:HGNC:12971],chr193473413134734531,-2.68417757047711,0.557130105859631
