seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
16,4338165,4338565,401,*,35,ENSG00000126603,4314761,4339597,+,inside,23404,1032,Overlapping,chr1643381654338565,3.11317891617786,0.326799788168946
14,96204869,96205269,401,*,115,ENSG00000168398,96204679,96244166,+,inside,190,190,Overlapping,chr149620486996205269,0.922353915349986,0.407568639624023
14,96204869,96205269,401,*,115,ENSG00000258691,96204844,96263929,+,inside,25,25,NearestLocation,chr149620486996205269,0.922353915349986,0.405098128453522
4,158170379,158170779,401,*,169,ENSG00000164125,158124474,158173318,-,inside,2939,2539,Overlapping,chr4158170379158170779,1.35333945223327,0.897258761233655
4,158170379,158170779,401,*,169,ENSG00000248429,158170752,158202877,+,overlapStart,-373,27,NearestLocation,chr4158170379158170779,1.35333945223327,1.5026111571713
8,23103130,23103530,401,*,195,ENSG00000173535,23102921,23117445,+,inside,209,209,NearestLocation,chr82310313023103530,0.819797483580127,1.17773126522482
16,70691672,70692072,401,*,473,ENSG00000132613,70661204,70686053,-,upstream,-5619,5619,NearestLocation,chr167069167270692072,1.91661177634057,0.472320196290164
11,75340488,75340888,401,*,522,ENSG00000137486,75260122,75351705,-,inside,11217,10817,Overlapping,chr117534048875340888,1.92962573242673,0.322807792375056
11,104968028,104968428,401,*,804,ENSG00000196954,104942866,104969366,-,inside,1338,938,NearestLocation,chr11104968028104968428,1.77489460666766,0.292874577087002
8,142681417,142681817,401,*,809,ENSG00000234616,142657460,142681968,-,inside,551,151,NearestLocation,chr8142681417142681817,0.991097403239199,0.3730902360111
17,45120680,45121080,401,*,973,ENSG00000161714,45108959,45133354,-,inside,12674,11721,Overlapping,chr174512068045121080,2.14044274988035,0.353384433304065
12,54391025,54391425,401,*,991,ENSG00000161642,54369133,54391298,-,overlapStart,273,127,NearestLocation,chr125439102554391425,1.1180749368519,0.540570344671666
19,14375786,14376186,401,*,1017,ENSG00000123146,14380501,14408725,+,upstream,-4715,4315,NearestLocation,chr191437578614376186,1.76916106023348,0.368973410197163
11,67056669,67057069,401,*,1061,ENSG00000173156,67056847,67072017,+,overlapStart,-178,178,NearestLocation,chr116705666967057069,0.736233606352058,0.59081968145939
11,789765,790165,401,*,1086,ENSG00000184524,787115,790113,-,overlapStart,348,52,NearestLocation,chr11789765790165,0.715266665519925,0.650472608781108
13,113838702,113839102,401,*,1197,ENSG00000233695,113815630,113845744,+,inside,23072,6642,NearestLocation,chr13113838702113839102,0.953231847926169,0.615676455039296
16,88430211,88430611,401,*,1229,ENSG00000225614,88382959,88440757,+,inside,47252,10146,Overlapping,chr168843021188430611,1.03521866477047,0.410770281247845
11,66877555,66877955,401,*,1309,ENSG00000173621,66856647,66860475,+,downstream,20908,17080,NearestLocation,chr116687755566877955,2.60992803318157,0.373917077143753
10,71256877,71257277,401,*,1326,ENSG00000237512,71217220,71218294,-,upstream,-38583,38583,NearestLocation,chr107125687771257277,2.30659460682561,1.1075850324219
19,42122269,42122669,401,*,1372,ENSG00000028277,42086110,42196585,-,inside,74316,36159,Overlapping,chr194212226942122669,1.89649765723003,0.427173006098759
11,64854037,64854437,401,*,1407,ENSG00000110047,64851642,64888296,-,inside,34259,2395,Overlapping,chr116485403764854437,1.72163210610446,0.310924196420002
5,179835889,179836289,401,*,1449,ENSG00000161011,179806398,179838078,+,inside,29491,1789,Overlapping,chr5179835889179836289,2.46110221959817,0.533209533437182
19,47004033,47004433,401,*,1546,ENSG00000130751,47019837,47045775,+,upstream,-15804,15404,NearestLocation,chr194700403347004433,1.06861486978562,0.69877302533296
7,137846508,137846908,401,*,1588,ENSG00000157680,137381037,137847092,-,inside,584,184,Overlapping,chr7137846508137846908,0.453074999074582,0.589940132154554
3,45035755,45036155,401,*,1674,ENSG00000163815,45001548,45036071,+,overlapEnd,34207,84,Overlapping,chr34503575545036155,0.783505198506133,0.549072130278157
22,50277398,50277798,401,*,1704,ENSG00000185386,50263713,50270767,-,upstream,-6631,6631,NearestLocation,chr225027739850277798,2.29412596918942,0.575634822702245
22,50277398,50277798,401,*,1704,ENSG00000196576,50274979,50307646,-,inside,30248,2419,Overlapping,chr225027739850277798,2.29412596918942,0.614280537118742
8,37841609,37842009,401,*,1762,ENSG00000020181,37784191,37844896,+,inside,57418,2887,Overlapping,chr83784160937842009,1.77955279635966,0.407832208538511
22,44752436,44752836,401,*,1882,ENSG00000248405,44702233,44862706,+,inside,50203,50203,Overlapping,chr224475243644752836,1.28489567610403,0.63444852706013
22,44752436,44752836,401,*,1882,ENSG00000241484,44752558,44862788,+,overlapStart,-122,122,NearestLocation,chr224475243644752836,1.28489567610403,0.602357051409438
12,6182042,6182442,401,*,1891,ENSG00000010278,6199715,6238271,+,upstream,-17673,17273,NearestLocation,chr1261820426182442,1.58858881459166,0.38665794657236
11,67081724,67082124,401,*,1901,ENSG00000173156,67056847,67072017,+,downstream,24877,9707,NearestLocation,chr116708172467082124,1.80338825283855,0.59081968145939
1,18923987,18924387,401,*,1924,ENSG00000169991,18904280,18956676,-,inside,32689,19707,Overlapping,chr11892398718924387,1.11381768214058,0.616761137923937
10,102118479,102118879,401,*,1926,ENSG00000198728,102106489,102120368,-,inside,1889,1489,NearestLocation,chr10102118479102118879,1.15584990405791,0.191654542468649
3,184604003,184604403,401,*,1935,ENSG00000182580,184561785,184582408,+,downstream,42218,21595,NearestLocation,chr3184604003184604403,1.07297546037947,0.572389093061721
1,9351457,9351857,401,*,2001,ENSG00000171621,9292894,9369532,+,inside,58563,17675,NearestLocation,chr193514579351857,2.28400390587569,0.387700627994375
13,113802257,113802657,401,*,2033,ENSG00000233695,113815630,113845744,+,upstream,-13373,12973,NearestLocation,chr13113802257113802657,1.44000303173926,0.615676455039296
16,29666429,29666829,401,*,2136,ENSG00000103485,29663279,29698699,+,inside,3150,3150,NearestLocation,chr162966642929666829,1.55844649867085,0.490528946544948
19,47239674,47240074,401,*,2184,ENSG00000105327,47220822,47232766,-,upstream,-6908,6908,NearestLocation,chr194723967447240074,0.583302965441801,0.295111604246685
20,51542457,51542857,401,*,2416,ENSG00000101096,51386957,51562831,-,inside,20374,19974,NearestLocation,chr205154245751542857,1.15745983236472,0.969854400969496
19,55369535,55369935,401,*,2615,ENSG00000095752,55364382,55370463,-,inside,928,528,NearestLocation,chr195536953555369935,0.388156137745153,0.334359326495446
3,16176774,16177174,401,*,2748,ENSG00000131386,16174680,16231992,+,inside,2094,2094,NearestLocation,chr31617677416177174,1.76193112662662,0.78410881372411
17,38886117,38886517,401,*,2762,ENSG00000002834,38869859,38921770,+,inside,16258,16258,NearestLocation,chr173888611738886517,2.14650038212576,0.273702724054895
1,11785212,11785612,401,*,2794,ENSG00000177000,11785723,11806455,-,downstream,21243,111,Overlapping,chr11178521211785612,1.20553777810224,0.339351362140376
11,2909077,2909477,401,*,2818,ENSG00000110628,2899721,2925246,+,inside,9356,9356,Overlapping,chr1129090772909477,1.07645667783467,0.3970106781067
12,101877707,101878107,401,*,2832,ENSG00000136048,101877580,102012130,+,inside,127,127,NearestLocation,chr12101877707101878107,0.425262734293532,0.492011491973047
14,105168323,105168723,401,*,2851,ENSG00000257622,105152194,105181194,-,inside,12871,12471,Overlapping,chr14105168323105168723,0.442075154058195,0.722734660164794
12,77940909,77941309,401,*,2901,ENSG00000067798,77324641,78213010,+,inside,616268,271701,Overlapping,chr127794090977941309,1.01440172960266,0.412882157923793
9,129761768,129762168,401,*,2958,ENSG00000148344,129738331,129753042,-,upstream,-8726,8726,NearestLocation,chr9129761768129762168,1.03575468330004,0.302721142802114
5,150641708,150642108,401,*,2978,ENSG00000171992,150601080,150659207,+,inside,40628,17099,Overlapping,chr5150641708150642108,1.1774214255524,0.720284199534205
20,51456648,51457048,401,*,2991,ENSG00000101096,51386957,51562831,-,inside,106183,69691,Overlapping,chr205145664851457048,0.998340464720644,0.969854400969496
10,122494249,122494649,401,*,3002,ENSG00000166033,122458551,122514907,+,inside,35698,20258,Overlapping,chr10122494249122494649,1.08366634010094,0.614317337907616
22,19950623,19951023,401,*,3025,ENSG00000184470,19875517,19941820,-,upstream,-8803,8803,NearestLocation,chr221995062319951023,2.24735795379687,0.30007279762688
22,19950623,19951023,401,*,3025,ENSG00000093010,19941371,19969975,+,inside,9252,9252,Overlapping,chr221995062319951023,2.24735795379687,0.335128970915735
2,218607759,218608159,401,*,3041,ENSG00000115556,218607855,218637184,+,overlapStart,-96,96,NearestLocation,chr2218607759218608159,1.09121732665349,0.883500937303303
19,44808979,44809379,401,*,3052,ENSG00000187244,44809071,44821421,+,overlapStart,-92,92,NearestLocation,chr194480897944809379,0.584350702663841,0.475887226169746
19,55485165,55485565,401,*,3070,ENSG00000090971,55485188,55487568,+,overlapStart,-23,23,NearestLocation,chr195548516555485565,0.527957198599455,0.344113964701203
7,100168125,100168525,401,*,3139,ENSG00000197093,100159244,100168617,-,inside,492,92,NearestLocation,chr7100168125100168525,0.674468285376284,0.431690466620379
11,117199332,117199732,401,*,3336,ENSG00000149577,117178736,117197445,+,downstream,20596,1887,Overlapping,chr11117199332117199732,0.62271438914131,0.384742332491614
1,11805427,11805827,401,*,3397,ENSG00000177000,11785723,11806455,-,inside,1028,628,Overlapping,chr11180542711805827,0.533293520046151,0.339351362140376
11,469527,469927,401,*,3481,ENSG00000174915,448268,491399,+,inside,21259,21259,Overlapping,chr11469527469927,1.52575648837403,0.235258071502965
11,2899454,2899854,401,*,3512,ENSG00000110628,2899721,2925246,+,overlapStart,-267,133,NearestLocation,chr1128994542899854,1.74668677489826,0.3970106781067
20,47785206,47785606,401,*,3540,ENSG00000196562,47656348,47786616,-,inside,1410,1010,NearestLocation,chr204778520647785606,0.375220863795988,0.697211375173182
19,19627953,19628353,401,*,4091,ENSG00000089639,19629476,19643657,-,downstream,15704,1123,Overlapping,chr191962795319628353,0.548470573256401,0.345016641666639
22,19890603,19891003,401,*,4281,ENSG00000184470,19875517,19941820,-,inside,51217,15086,Overlapping,chr221989060319891003,1.43162949293936,0.30007279762688
