seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
1,165827767,165828167,401,*,30,ENSG00000143183,165724293,165827755,-,upstream,-12,12,NearestLocation,chr1165827767165828167,-0.930976624373409,0.293009226506511
16,14302375,14302775,401,*,50,ENSG00000262454,14301389,14331067,+,inside,986,986,NearestLocation,chr161430237514302775,-0.941911704551194,0.731489255634318
Y,2866674,2867074,401,*,163,ENSG00000129824,2841602,2932000,+,inside,25072,25072,Overlapping,chrY28666742867074,-2.23145089900719,0.539746030237613
6,7312702,7313102,401,*,182,ENSG00000124783,7268306,7347446,-,inside,34744,34344,Overlapping,chr673127027313102,-0.612614297211373,0.415250294462595
4,121823344,121823744,401,*,200,ENSG00000138686,121824329,121870487,-,downstream,47143,585,Overlapping,chr4121823344121823744,-1.04440683513014,0.285884289328894
12,105330791,105331191,401,*,294,ENSG00000257642,105304867,105327017,-,upstream,-3774,3774,NearestLocation,chr12105330791105331191,-0.520264779788614,0.535216780769076
8,11867627,11868027,401,*,362,ENSG00000164733,11842524,11869533,-,inside,1906,1506,NearestLocation,chr81186762711868027,-0.589716183042892,0.254446819658876
12,124422868,124423268,401,*,377,ENSG00000196498,124324415,124567589,-,inside,144721,98453,Overlapping,chr12124422868124423268,-1.36176563772422,0.295438924990551
X,47145272,47145672,401,*,390,ENSG00000147123,47142071,47145466,-,overlapStart,194,194,Overlapping,chrX4714527247145672,-1.02186464277597,0.243417306414704
21,33588264,33588664,401,*,399,ENSG00000205758,33589341,33643926,-,downstream,55662,677,Overlapping,chr213358826433588664,-0.643869247491862,0.488336358167178
6,137197405,137197805,401,*,400,ENSG00000027697,137197483,137219449,-,overlapEnd,22044,78,NearestLocation,chr6137197405137197805,-1.42737890335023,0.523420854335114
12,120446380,120446780,401,*,430,ENSG00000170855,120443964,120446384,-,overlapStart,4,4,NearestLocation,chr12120446380120446780,-0.780532108103102,1.10679849171279
9,34329612,34330012,401,*,431,ENSG00000164978,34329506,34343711,+,inside,106,106,NearestLocation,chr93432961234330012,-0.788108286917375,0.300585974235819
3,120450476,120450876,401,*,438,ENSG00000163430,120392293,120450993,-,inside,517,117,NearestLocation,chr3120450476120450876,-0.466815755992554,0.488587790513059
21,31668412,31668812,401,*,465,ENSG00000142168,31659666,31668931,+,inside,8746,119,Overlapping,chr213166841231668812,-1.78673397382596,0.378960398620106
3,51967349,51967749,401,*,473,ENSG00000090097,51957454,51974016,-,inside,6667,6267,Overlapping,chr35196734951967749,-0.774189584208347,0.442530227633963
3,51967349,51967749,401,*,473,ENSG00000272762,51961212,51974031,-,inside,6682,6137,Overlapping,chr35196734951967749,-0.774189584208347,0.453295866990961
3,51967349,51967749,401,*,473,ENSG00000114779,51968510,51983409,-,downstream,16060,761,Overlapping,chr35196734951967749,-0.774189584208347,0.457986492035412
14,22829898,22830298,401,*,480,ENSG00000172590,22829879,22835037,+,inside,19,19,NearestLocation,chr142282989822830298,-0.895197837805298,0.399454700542176
6,37222248,37222648,401,*,513,ENSG00000172738,37212180,37258155,-,inside,35907,10068,Overlapping,chr63722224837222648,-1.40636329306927,1.23364787763723
17,43014814,43015214,401,*,559,ENSG00000068079,43006740,43014456,+,downstream,8074,358,NearestLocation,chr174301481443015214,-2.53435341832146,0.482334224665403
17,43014814,43015214,401,*,559,ENSG00000108828,43014607,43025123,-,inside,10309,207,Overlapping,chr174301481443015214,-2.53435341832146,0.612483733222023
1,182383306,182383706,401,*,584,ENSG00000135821,182378098,182392206,-,inside,8900,5208,NearestLocation,chr1182383306182383706,-1.4821064515574,0.351287135413545
1,44800470,44800870,401,*,592,ENSG00000173846,44800377,44805990,+,inside,93,93,NearestLocation,chr14480047044800870,-0.492441615651949,0.461339089888424
7,24979725,24980125,401,*,594,ENSG00000070882,24796540,24981634,-,inside,1909,1509,NearestLocation,chr72497972524980125,-0.572543423129382,0.43900798791958
5,132293832,132294232,401,*,628,ENSG00000072682,132190147,132295315,-,inside,1483,1083,Overlapping,chr5132293832132294232,-0.665943961983741,0.500374318418931
2,236593523,236593923,401,*,630,ENSG00000144476,236567787,236582354,+,downstream,25736,11169,NearestLocation,chr2236593523236593923,-3.02782247138418,0.541027626529013
2,171522995,171523395,401,*,655,ENSG00000071967,171522247,171558129,+,inside,748,748,NearestLocation,chr2171522995171523395,-0.693705314604697,0.493484700988805
10,110008167,110008567,401,*,670,ENSG00000148700,109996368,110135565,+,inside,11799,11799,Overlapping,chr10110008167110008567,-0.618107732267538,0.327840002730011
8,38231595,38231995,401,*,676,ENSG00000085788,38225218,38275558,+,inside,6377,6377,Overlapping,chr83823159538231995,-0.517497702269307,0.640768672612099
3,48503795,48504195,401,*,682,ENSG00000164054,48467798,48504826,-,inside,1031,631,NearestLocation,chr34850379548504195,-0.702062884874045,0.365727971799338
10,114938270,114938670,401,*,683,ENSG00000165832,114938195,114977676,+,inside,75,75,NearestLocation,chr10114938270114938670,-0.634923843870759,0.337027696175861
2,174682391,174682791,401,*,698,ENSG00000115935,174559572,174682916,-,inside,525,125,NearestLocation,chr2174682391174682791,-0.505934117323026,0.256472324745971
5,134157365,134157765,401,*,703,ENSG00000113558,134148935,134176964,-,inside,19599,8430,NearestLocation,chr5134157365134157765,-1.09184229978322,0.422247267831395
2,127701436,127701836,401,*,710,ENSG00000173349,127701497,127705242,+,overlapStart,-61,61,NearestLocation,chr2127701436127701836,-0.499030806064471,0.730401958576469
X,47586469,47586869,401,*,721,ENSG00000102265,47582408,47586789,+,overlapEnd,4061,80,Overlapping,chrX4758646947586869,-0.859341721328066,0.491038973565543
11,119422756,119423156,401,*,731,ENSG00000154096,119415476,119424985,-,inside,2229,1829,NearestLocation,chr11119422756119423156,-0.659195175295493,0.431333066460571
15,82539977,82540377,401,*,750,ENSG00000260836,82536788,82573194,-,inside,33217,3189,Overlapping,chr158253997782540377,-0.631621273368888,0.924871067545132
15,82539977,82540377,401,*,750,ENSG00000214575,82543201,82648861,-,downstream,108884,2824,Overlapping,chr158253997782540377,-0.631621273368888,1.14308263349987
12,93467445,93467845,401,*,768,ENSG00000198015,93467514,93516214,+,overlapStart,-69,69,NearestLocation,chr129346744593467845,-0.707778918655863,0.32116124575354
17,18858073,18858473,401,*,788,ENSG00000141127,18840085,18931287,+,inside,17988,17988,Overlapping,chr171885807318858473,-0.534153951372252,0.55278440750348
1,235955237,235955637,401,*,804,ENSG00000229291,235957879,235971825,-,downstream,16588,2242,Overlapping,chr1235955237235955637,-1.76732221815496,1.17875928280102
5,150554750,150555150,401,*,817,ENSG00000171992,150601080,150659207,+,upstream,-46330,45930,NearestLocation,chr5150554750150555150,-1.57496899201001,0.471152806391317
6,43575586,43575986,401,*,822,ENSG00000170734,43576185,43620523,+,upstream,-599,199,Overlapping,chr64357558643575986,-0.760671701999446,0.549122244393142
19,57435386,57435786,401,*,827,ENSG00000268163,57437970,57477536,-,downstream,42150,2184,Overlapping,chr195743538657435786,-0.817694450456395,0.444099363953623
17,81044701,81045101,401,*,843,ENSG00000175866,81035122,81117434,+,inside,9579,9579,NearestLocation,chr178104470181045101,-2.48972632707814,0.363442553433378
15,34101485,34101885,401,*,855,ENSG00000134153,34084017,34101862,-,overlapStart,377,23,NearestLocation,chr153410148534101885,-0.578983760736793,0.444879261226828
9,129111522,129111922,401,*,875,ENSG00000119383,129110950,129148946,+,inside,572,572,Overlapping,chr9129111522129111922,-0.684400050874529,0.287302684498105
7,39623652,39624052,401,*,877,ENSG00000006451,39623565,39708120,+,inside,87,87,NearestLocation,chr73962365239624052,-0.509177763760462,0.510364120698455
X,130110234,130110634,401,*,878,ENSG00000102034,130063955,130110716,-,inside,482,82,NearestLocation,chrX130110234130110634,-0.801050683249745,0.308070537689648
12,7935172,7935572,401,*,934,ENSG00000059804,7919230,7936187,-,inside,1015,615,NearestLocation,chr1279351727935572,-0.494300682828261,0.485203731522027
2,20224397,20224797,401,*,945,ENSG00000115884,20200797,20225433,-,inside,1036,636,NearestLocation,chr22022439720224797,-0.641327252967688,0.65406732097044
5,126594677,126595077,401,*,946,ENSG00000164904,126531200,126595362,-,inside,685,285,NearestLocation,chr5126594677126595077,-0.868461340180811,0.464400891787845
19,4343604,4344004,401,*,964,ENSG00000178078,4324043,4342786,-,upstream,-818,818,Overlapping,chr1943436044344004,-0.819382466905956,0.653326358376482
6,44126909,44127309,401,*,968,ENSG00000137216,44126914,44155519,+,overlapStart,-5,5,NearestLocation,chr64412690944127309,-0.594777170119388,0.654170739492755
19,36054983,36055383,401,*,987,ENSG00000161277,36034984,36054739,-,upstream,-244,244,NearestLocation,chr193605498336055383,-0.759677269403062,0.652874109921293
12,114682839,114683239,401,*,1021,ENSG00000135111,114670255,114684175,-,inside,1336,936,Overlapping,chr12114682839114683239,-0.580572142212405,0.405679723234568
12,6384127,6384527,401,*,1069,ENSG00000111321,6375045,6391571,+,inside,9082,7044,Overlapping,chr1263841276384527,-0.601413065523613,0.266521167224678
2,174248164,174248564,401,*,1070,ENSG00000138430,174072447,174248599,-,inside,435,35,NearestLocation,chr2174248164174248564,-0.601413065523613,0.285332716012735
2,64751231,64751631,401,*,1076,ENSG00000179833,64631621,64751005,-,upstream,-226,226,NearestLocation,chr26475123164751631,-1.16297491383067,0.610942525996253
8,90051716,90052116,401,*,1077,ENSG00000104325,90001405,90053633,+,inside,50311,1517,Overlapping,chr89005171690052116,-2.29025304843431,0.580669149325469
12,71685986,71686386,401,*,1093,ENSG00000258064,71674204,71698968,+,inside,11782,11782,Overlapping,chr127168598671686386,-0.734253672131927,0.950258466586125
6,144095130,144095530,401,*,1116,ENSG00000169976,144094884,144095573,-,inside,443,43,NearestLocation,chr6144095130144095530,-0.593031297585989,0.302195238799266
17,76492983,76493383,401,*,1134,ENSG00000129667,76470891,76501790,-,inside,8807,8407,NearestLocation,chr177649298376493383,-1.47491918141339,0.533332530511768
2,150486188,150486588,401,*,1137,ENSG00000115963,150468195,150539011,-,inside,52823,17993,NearestLocation,chr2150486188150486588,-0.380851462462941,0.821375781663473
22,50293135,50293535,401,*,1152,ENSG00000196576,50274979,50307646,-,inside,14511,14111,NearestLocation,chr225029313550293535,-0.917080922420594,0.6223112054165
18,657637,658037,401,*,1153,ENSG00000176912,630886,658340,-,inside,703,303,Overlapping,chr18657637658037,-0.604743591203214,0.655741356827078
10,73096296,73096696,401,*,1224,ENSG00000122884,73007217,73096974,-,inside,678,278,NearestLocation,chr107309629673096696,-0.4117540057989,0.436071848427875
2,27663885,27664285,401,*,1228,ENSG00000119760,27650809,27663840,-,upstream,-45,45,NearestLocation,chr22766388527664285,-0.607174263736755,0.426652402025406
17,44023403,44023803,401,*,1241,ENSG00000091947,44011188,44023946,-,inside,543,143,NearestLocation,chr174402340344023803,-2.26555500442578,0.326511935627009
17,76479371,76479771,401,*,1245,ENSG00000129667,76470891,76501790,-,inside,22419,8480,NearestLocation,chr177647937176479771,-2.3279332789274,0.533332530511768
3,56943805,56944205,401,*,1246,ENSG00000163947,56727418,57079329,-,inside,135524,135124,Overlapping,chr35694380556944205,-2.3279332789274,0.773186296896042
10,33335624,33336024,401,*,1253,ENSG00000099250,33177492,33336262,-,inside,638,238,NearestLocation,chr103333562433336024,-0.552942794192037,0.240460461026361
1,156008966,156009366,401,*,1304,ENSG00000163479,156009048,156020951,-,overlapEnd,11985,82,Overlapping,chr1156008966156009366,-0.889666801628283,0.23451744693273
14,51490343,51490743,401,*,1318,ENSG00000139926,51489100,51730727,+,inside,1243,1243,NearestLocation,chr145149034351490743,-1.69299899496721,0.239639106940659
11,67489439,67489839,401,*,1333,ENSG00000110711,67468174,67491154,+,inside,21265,1315,Overlapping,chr116748943967489839,-1.37623194106431,0.354686576409916
2,112024663,112025063,401,*,1335,ENSG00000153214,112055269,112119318,+,upstream,-30606,30206,NearestLocation,chr2112024663112025063,-1.37623194106431,0.384204685467432
11,2902226,2902626,401,*,1355,ENSG00000110628,2899721,2925246,+,inside,2505,2505,Overlapping,chr1129022262902626,-0.775872312290701,0.850050240899938
17,81035007,81035407,401,*,1365,ENSG00000175866,81035122,81117434,+,overlapStart,-115,115,NearestLocation,chr178103500781035407,-0.822936767162586,0.363442553433378
20,45856996,45857396,401,*,1367,ENSG00000101473,45841721,45857405,-,inside,409,9,NearestLocation,chr204585699645857396,-0.809496452944299,0.45385207120353
4,70993496,70993896,401,*,1375,ENSG00000173542,70902326,71022449,+,inside,91170,28553,Overlapping,chr47099349670993896,-0.680480910097131,0.516030824225097
19,17747531,17747931,401,*,1406,ENSG00000130475,17747718,17788568,+,overlapStart,-187,187,NearestLocation,chr191774753117747931,-1.60086371473935,0.76676745942011
14,22981889,22982289,401,*,1427,ENSG00000258457,22982698,22999078,+,upstream,-809,409,Overlapping,chr142298188922982289,-0.451230414551183,0.608705660958513
3,10026185,10026585,401,*,1435,ENSG00000186162,10014237,10026395,-,overlapStart,210,190,Overlapping,chr31002618510026585,-0.644584995759616,0.793761485386257
12,124567191,124567591,401,*,1462,ENSG00000196498,124324415,124567589,-,overlapStart,398,2,NearestLocation,chr12124567191124567591,-0.468449828165761,0.295438924990551
22,43151513,43151913,401,*,1485,ENSG00000100300,43151547,43163242,+,overlapStart,-34,34,NearestLocation,chr224315151343151913,-0.688145789262796,0.229262349915893
15,75023581,75023981,401,*,1491,ENSG00000198794,74957219,75021495,+,downstream,66362,2086,Overlapping,chr157502358175023981,-0.681892395088339,1.48022687656478
12,49762777,49763177,401,*,1545,ENSG00000139644,49707725,49764934,+,inside,55052,1757,Overlapping,chr124976277749763177,-1.27883043183441,0.339856559517629
19,16627584,16627984,401,*,1589,ENSG00000268790,16577642,16660115,-,inside,32531,32131,Overlapping,chr191662758416627984,-0.398585348296061,0.204272796165647
19,16627584,16627984,401,*,1589,ENSG00000214046,16630751,16660442,-,downstream,32858,2767,Overlapping,chr191662758416627984,-0.398585348296061,0.205987878172948
8,22599790,22600190,401,*,1597,ENSG00000120913,22578279,22598025,+,downstream,21511,1765,Overlapping,chr82259979022600190,-0.552897438051578,0.530836186697583
8,22599790,22600190,401,*,1597,ENSG00000248235,22589274,22602084,+,inside,10516,1894,Overlapping,chr82259979022600190,-0.552897438051578,0.527931063354938
15,64365660,64366060,401,*,1606,ENSG00000169118,64165525,64356173,-,upstream,-9487,9487,NearestLocation,chr156436566064366060,-1.39127683993152,0.44050762706868
13,36999009,36999409,401,*,1617,ENSG00000120697,36949738,37000763,-,inside,1754,1354,Overlapping,chr133699900936999409,-0.573041155289702,0.261135656780415
9,114597939,114598339,401,*,1650,ENSG00000136888,114587706,114598915,+,inside,10233,576,NearestLocation,chr9114597939114598339,-1.08493084320581,0.412386388913369
14,75661291,75661691,401,*,1661,ENSG00000133935,75649791,75660876,-,upstream,-415,415,NearestLocation,chr147566129175661691,-0.517246333916494,0.393981828106945
5,122077400,122077800,401,*,1675,ENSG00000113083,122063195,122078413,-,inside,1013,613,NearestLocation,chr5122077400122077800,-0.3992298535697,0.6280222499281
12,119668036,119668436,401,*,1676,ENSG00000111725,119667864,119681624,+,inside,172,172,Overlapping,chr12119668036119668436,-0.596381552204265,0.524132394211731
12,104986358,104986758,401,*,1714,ENSG00000151131,104986316,105074197,+,inside,42,42,NearestLocation,chr12104986358104986758,-0.638248249487488,0.588639171084273
5,72848596,72848996,401,*,1733,ENSG00000083312,72816312,72916733,+,inside,32284,32284,Overlapping,chr57284859672848996,-0.572693147062873,0.320393957413702
16,58507597,58507997,401,*,1758,ENSG00000103034,58462846,58513628,+,inside,44751,5631,Overlapping,chr165850759758507997,-2.38013478998668,0.735205516140553
5,72320371,72320771,401,*,1804,ENSG00000049883,72320367,72368395,+,inside,4,4,NearestLocation,chr57232037172320771,-0.829697279136548,0.407762569697956
9,33280884,33281284,401,*,1815,ENSG00000086065,33264879,33282070,+,inside,16005,786,Overlapping,chr93328088433281284,-1.49096968890838,0.2288608521105
3,49444123,49444523,401,*,1819,ENSG00000145029,49422333,49429326,-,upstream,-14797,14797,NearestLocation,chr34944412349444523,-1.52067533436845,0.533386683373725
5,151740222,151740622,401,*,1836,ENSG00000177556,151742316,151772532,-,downstream,32310,1694,Overlapping,chr5151740222151740622,-0.745253624074525,0.508381430793422
