seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
12,118060811,118061211,401,*,10,ENSG00000176871,118032687,118062430,-,inside,1619,1219,NearestLocation,chr12118060811118061211,0.676757285963786,-0.803279623044974
2,46542739,46543139,401,*,12,ENSG00000250565,46490750,46542577,-,upstream,-162,162,NearestLocation,chr24654273946543139,0.782521389781921,-1.09803782329136
2,46542739,46543139,401,*,12,ENSG00000119729,46541806,46584688,+,inside,933,933,Overlapping,chr24654273946543139,0.782521389781921,-1.10325418388006
10,124917118,124917518,401,*,17,ENSG00000249456,124917143,124942881,+,overlapStart,-25,25,NearestLocation,chr10124917118124917518,0.606561298984801,-0.576663747139662
17,7479138,7479538,401,*,18,ENSG00000174282,7459366,7484263,-,inside,5125,4725,Overlapping,chr1774791387479538,0.7299257979444,-0.690523682862193
1,9293140,9293540,401,*,21,ENSG00000171621,9292894,9369532,+,inside,246,246,NearestLocation,chr192931409293540,0.490603498739569,-0.486368144001584
1,2228051,2228451,401,*,22,ENSG00000157933,2228319,2310213,+,overlapStart,-268,132,NearestLocation,chr122280512228451,0.795517334461877,-0.729018418996951
6,1389729,1390129,401,*,26,ENSG00000137273,1389576,1395603,+,inside,153,153,NearestLocation,chr613897291390129,0.604157035088241,-0.826815483874549
9,95004798,95005198,401,*,28,ENSG00000148120,94726699,95087159,+,inside,278099,81961,Overlapping,chr99500479895005198,0.615336759446827,-0.612292114201906
16,527882,528282,401,*,30,ENSG00000103326,527712,554636,+,inside,170,170,NearestLocation,chr16527882528282,0.708615562154037,-1.23616083736082
22,41091928,41092328,401,*,35,ENSG00000100393,41092592,41180077,+,upstream,-664,264,Overlapping,chr224109192841092328,0.56709418777143,-0.505998822595826
15,90001508,90001908,401,*,36,ENSG00000140548,90001324,90082206,+,inside,184,184,NearestLocation,chr159000150890001908,0.631947402887208,-0.802585057768222
18,76822440,76822840,401,*,37,ENSG00000264278,76794732,76822295,-,upstream,-145,145,Overlapping,chr187682244076822840,0.603762148090717,-0.58374682977176
7,128531432,128531832,401,*,40,ENSG00000273270,128524016,128531069,-,upstream,-363,363,NearestLocation,chr7128531432128531832,0.60463296047462,-0.893068036862668
17,81891101,81891501,401,*,54,ENSG00000183684,81887835,81891586,-,inside,485,85,Overlapping,chr178189110181891501,0.505978602016884,-0.758627968945401
1,33256501,33256901,401,*,58,ENSG00000160094,33256492,33300719,+,inside,9,9,NearestLocation,chr13325650133256901,0.747969792815668,-0.577952635984026
9,131739546,131739946,401,*,62,ENSG00000107263,131576770,131740076,-,inside,530,130,NearestLocation,chr9131739546131739946,0.627546078755439,-2.29073312079819
9,93451855,93452255,401,*,65,ENSG00000048828,93451685,93566112,+,inside,170,170,NearestLocation,chr99345185593452255,0.839062566455945,-0.574753857748296
19,2151187,2151587,401,*,68,ENSG00000104885,2163933,2232578,+,upstream,-12746,12346,NearestLocation,chr1921511872151587,0.815337277500709,-0.718020197702604
22,37019397,37019797,401,*,70,ENSG00000128309,37019635,37029821,+,overlapStart,-238,162,NearestLocation,chr223701939737019797,0.683582169620517,-0.420842191148784
2,36356019,36356419,401,*,71,ENSG00000150938,36355778,36551135,+,inside,241,241,NearestLocation,chr23635601936356419,0.532265864254053,-1.36399984619956
19,6279624,6280024,401,*,75,ENSG00000130382,6210381,6279975,-,overlapStart,351,49,NearestLocation,chr1962796246280024,0.741905165238266,-1.5581599449242
7,1530777,1531177,401,*,78,ENSG00000198517,1530702,1543043,+,inside,75,75,NearestLocation,chr715307771531177,0.538452330304575,-0.904235349371291
17,83080016,83080416,401,*,79,ENSG00000176845,83079609,83095122,+,inside,407,407,NearestLocation,chr178308001683080416,0.490508318843303,-0.958665084301218
16,11345398,11345798,401,*,80,ENSG00000175643,11249619,11381662,+,inside,95779,35864,Overlapping,chr161134539811345798,0.903092476210225,-1.32443205605211
9,130835183,130835583,401,*,89,ENSG00000097007,130713016,130887675,+,inside,122167,52092,Overlapping,chr9130835183130835583,0.702130545425308,-0.872006656173531
22,49827342,49827742,401,*,98,ENSG00000100425,49773283,49827873,-,inside,531,131,NearestLocation,chr224982734249827742,0.658289348398892,-0.883319797461432
8,38467836,38468236,401,*,102,ENSG00000077782,38400215,38468834,-,inside,998,598,NearestLocation,chr83846783638468236,0.557620911776326,-0.393552499834217
19,18280728,18281128,401,*,103,ENSG00000130522,18279694,18281622,-,inside,894,494,NearestLocation,chr191828072818281128,0.510332188184567,-1.61149053012197
12,132490124,132490524,401,*,110,ENSG00000112787,132489551,132585188,+,inside,573,573,NearestLocation,chr12132490124132490524,0.848667653940701,-0.974647335976759
20,63969306,63969706,401,*,112,ENSG00000196700,63956704,63969930,-,inside,624,224,NearestLocation,chr206396930663969706,0.862907811408665,-0.728623792192783
7,99143718,99144118,401,*,116,ENSG00000198742,99027440,99144108,-,overlapStart,390,10,NearestLocation,chr79914371899144118,0.660033764997406,-1.42888089371729
3,194486441,194486841,401,*,118,ENSG00000133657,194402672,194498364,-,inside,11923,11523,Overlapping,chr3194486441194486841,0.47365319183605,-0.559565805255637
17,81927207,81927607,401,*,120,ENSG00000197063,81918270,81927735,-,inside,528,128,NearestLocation,chr178192720781927607,0.480040390285561,-0.613310349899137
1,1890545,1890945,401,*,122,ENSG00000078369,1785285,1891117,-,inside,572,172,NearestLocation,chr118905451890945,0.470445874251658,-2.08641392156155
13,75635941,75636341,401,*,135,ENSG00000261105,75604700,75635994,-,overlapStart,53,53,NearestLocation,chr137563594175636341,0.696740306936507,-0.438353054048491
20,3786358,3786758,401,*,137,ENSG00000125817,3783851,3786740,-,overlapStart,382,18,NearestLocation,chr2037863583786758,0.655819455581054,-0.483631849164843
9,124257910,124258310,401,*,140,ENSG00000119408,124257606,124353307,+,inside,304,304,NearestLocation,chr9124257910124258310,0.46786142797835,-0.328959894769455
12,132761339,132761739,401,*,142,ENSG00000176915,132725503,132761832,-,inside,493,93,NearestLocation,chr12132761339132761739,0.510063585443068,-0.929490593174643
6,163414435,163414835,401,*,144,ENSG00000112531,163414000,163578592,+,inside,435,435,NearestLocation,chr6163414435163414835,0.559083910037407,-1.41207896693037
20,297643,298043,401,*,154,ENSG00000247315,297570,300321,+,inside,73,73,NearestLocation,chr20297643298043,0.461354038897126,-0.969907875859833
16,81444852,81445252,401,*,166,ENSG00000153815,81444808,81711762,+,inside,44,44,NearestLocation,chr168144485281445252,0.631700710357965,-0.561888107710471
18,79485225,79485625,401,*,182,ENSG00000131196,79395856,79529325,+,inside,89369,43700,Overlapping,chr187948522579485625,1.45127369369058,-0.604935851790185
