seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
1,43384689,43385089,401,*,89,ENSG00000229431,43385113,43389155,+,upstream,-424,24,NearestLocation,chr14338468943385089,-2.93062069827822,0.834512034123878
8,132496010,132496410,401,*,289,ENSG00000184156,132120859,132481095,-,upstream,-14915,14915,NearestLocation,chr8132496010132496410,-3.09387310962858,0.910334768565205
3,23966692,23967092,401,*,431,ENSG00000197885,23889951,23946591,-,upstream,-20101,20101,NearestLocation,chr32396669223967092,-2.92281974959623,0.577047482623455
1,236550341,236550741,401,*,890,ENSG00000116977,236518000,236552981,+,inside,32341,2240,Overlapping,chr1236550341236550741,-2.63678542931315,0.386948248575672
8,132220473,132220873,401,*,1377,ENSG00000184156,132120859,132481095,-,inside,260622,99614,Overlapping,chr8132220473132220873,-2.59620991776508,0.910334768565205
1,181033843,181034243,401,*,1775,ENSG00000153029,181033374,181061938,+,inside,469,469,NearestLocation,chr1181033843181034243,-1.05420529412658,0.686777766676559
7,22549728,22550128,401,*,1856,ENSG00000105889,22419444,22727613,-,inside,177885,130284,Overlapping,chr72254972822550128,-1.09896355221222,0.718532796995745
17,2034888,2035288,401,*,1911,ENSG00000108963,2030137,2043898,+,inside,4751,4751,NearestLocation,chr1720348882035288,-1.62978997495115,0.370802491425257
4,103019325,103019725,401,*,2351,ENSG00000164038,103019868,103085829,-,downstream,66504,143,Overlapping,chr4103019325103019725,-0.665092038202271,0.51291596868545
7,22727110,22727510,401,*,2582,ENSG00000105889,22419444,22727613,-,inside,503,103,NearestLocation,chr72272711022727510,-0.689221433673668,0.718532796995745
3,101561788,101562188,401,*,2641,ENSG00000174173,101561868,101566446,+,overlapStart,-80,80,NearestLocation,chr3101561788101562188,-0.579513185646886,0.529628453564895
2,142882199,142882599,401,*,3206,ENSG00000115919,142877657,143055833,+,inside,4542,4542,NearestLocation,chr2142882199142882599,-1.93837969238228,0.993747993223166
