seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
5,176536603,176537003,401,*,149,ENSG00000146083,176526712,176538025,-,inside,1422,1022,NearestLocation,chr5176536603176537003,-1.96218851739896,0.364017118180973
11,64318612,64319012,401,*,158,ENSG00000173153,64305497,64316743,+,downstream,13115,1869,Overlapping,chr116431861264319012,-1.96218851739896,0.298941563748812
22,50275043,50275443,401,*,192,ENSG00000185386,50263713,50270767,-,upstream,-4276,4276,NearestLocation,chr225027504350275443,-1.74108938369535,0.575634822702245
22,50275043,50275443,401,*,192,ENSG00000196576,50274979,50307646,-,inside,32603,64,Overlapping,chr225027504350275443,-1.74108938369535,0.614280537118742
6,32151314,32151714,401,*,240,ENSG00000204314,32148359,32153083,-,inside,1769,1369,NearestLocation,chr63215131432151714,-1.66979487620758,0.490605208532694
4,70705053,70705453,401,*,479,ENSG00000018189,70704204,70808619,+,inside,849,849,Overlapping,chr47070505370705453,-1.78081909924446,0.339559782836186
20,47785236,47785636,401,*,481,ENSG00000196562,47656348,47786616,-,inside,1380,980,NearestLocation,chr204778523647785636,-2.30267633993341,0.697211375173182
3,14178122,14178522,401,*,540,ENSG00000154767,14145147,14178621,-,inside,499,99,NearestLocation,chr31417812214178522,-1.99449833956113,0.277026746838885
19,42175272,42175672,401,*,689,ENSG00000028277,42086110,42196585,-,inside,21313,20913,NearestLocation,chr194217527242175672,-1.020664913085,0.427173006098759
3,4979316,4979716,401,*,697,ENSG00000134107,4979437,4985323,+,overlapStart,-121,121,NearestLocation,chr349793164979716,-1.020664913085,0.324978612767831
3,45995412,45995812,401,*,746,ENSG00000163820,45917903,45995824,-,inside,412,12,NearestLocation,chr34599541245995812,-1.59561132216416,0.227500262116827
