seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
4,88378980,88379380,401,*,9,ENSG00000138642,88378739,88443097,+,inside,241,241,NearestLocation,chr48837898088379380,1.0506896296511,0.751503140299272
16,3305425,3305825,401,*,60,ENSG00000162086,3305406,3318852,+,inside,19,19,NearestLocation,chr1633054253305825,0.997824294535418,0.558887824599531
2,37156641,37157041,401,*,67,ENSG00000055332,37099210,37157522,-,inside,881,481,NearestLocation,chr23715664137157041,0.737375734669679,0.335374687128662
3,171810160,171810560,401,*,115,ENSG00000075651,171600404,171810950,-,inside,790,390,NearestLocation,chr3171810160171810560,0.946986932781392,0.570737941827204
21,41362054,41362454,401,*,131,ENSG00000183486,41361999,41409393,+,inside,55,55,NearestLocation,chr214136205441362454,1.63846430426756,1.24988744649681
5,179806445,179806845,401,*,178,ENSG00000161011,179806398,179838078,+,inside,47,47,NearestLocation,chr5179806445179806845,0.588859319092912,0.590478640743395
8,94948901,94949301,401,*,188,ENSG00000164938,94925972,94949378,-,inside,477,77,NearestLocation,chr89494890194949301,0.699811088030852,0.638698803567588
2,85754245,85754645,401,*,247,ENSG00000168874,85751344,85791383,+,inside,2901,2901,NearestLocation,chr28575424585754645,0.911874960814118,0.376888171331332
12,57110786,57111186,401,*,293,ENSG00000166888,57095408,57132139,-,inside,21353,15378,Overlapping,chr125711078657111186,0.83393387603019,0.392429046457556
14,94080775,94081175,401,*,338,ENSG00000089737,94048287,94081202,-,inside,427,27,NearestLocation,chr149408077594081175,0.580058865950838,0.241206899600998
X,66638555,66638955,401,*,373,ENSG00000131080,66595637,66639298,-,inside,743,343,NearestLocation,chrX6663855566638955,1.21463947410634,0.461965073650017
11,615671,616071,401,*,417,ENSG00000185507,612553,615983,-,overlapStart,312,88,NearestLocation,chr11615671616071,0.914771815749127,1.04603193972983
20,63573849,63574249,401,*,433,ENSG00000130589,63558086,63574239,-,overlapStart,390,10,NearestLocation,chr206357384963574249,0.651996770156559,0.773586816539872
5,142012666,142013066,401,*,517,ENSG00000113552,141991749,142013041,-,overlapStart,375,25,NearestLocation,chr5142012666142013066,0.705943508239514,0.771171353266778
19,39833670,39834070,401,*,537,ENSG00000105204,39825350,39834201,-,inside,531,131,NearestLocation,chr193983367039834070,0.830516899462171,0.565631181040149
6,16238668,16239068,401,*,541,ENSG00000137198,16238587,16295549,+,inside,81,81,NearestLocation,chr61623866816239068,0.975255745087642,0.690833641560542
10,89328772,89329172,401,*,556,ENSG00000119917,89327307,89377473,+,inside,1465,1465,NearestLocation,chr108932877289329172,2.46786005838707,1.08467557054549
2,64454139,64454539,401,*,570,ENSG00000119862,64453969,64461381,+,inside,170,170,NearestLocation,chr26445413964454539,0.597101006927436,0.651767845724915
5,36690019,36690419,401,*,680,ENSG00000079215,36596588,36688334,+,downstream,93431,1685,Overlapping,chr53669001936690419,0.970213824367047,0.93726554899287
8,38901306,38901706,401,*,716,ENSG00000169499,38901235,38973912,+,inside,71,71,NearestLocation,chr83890130638901706,0.504008639785467,0.39636719459202
6,21595190,21595590,401,*,741,ENSG00000124766,21593751,21598619,+,inside,1439,1439,Overlapping,chr62159519021595590,0.520486332595932,0.462630548777994
19,56404011,56404411,401,*,785,ENSG00000198440,56397966,56436035,+,inside,6045,6045,NearestLocation,chr195640401156404411,0.742156638971911,0.592598513286755
1,70354339,70354739,401,*,799,ENSG00000197568,70354786,70385339,+,upstream,-447,47,Overlapping,chr17035433970354739,0.506102002084251,0.488271397492872
17,76501055,76501455,401,*,845,ENSG00000129667,76470891,76501790,-,inside,735,335,NearestLocation,chr177650105576501455,0.794037776306903,0.671990939254697
1,244834950,244835350,401,*,895,ENSG00000203667,244835616,244845057,+,upstream,-666,266,Overlapping,chr1244834950244835350,0.523711825860381,0.26321050564804
4,139015870,139016270,401,*,1000,ENSG00000151014,139015781,139045939,+,inside,89,89,NearestLocation,chr4139015870139016270,0.392274716462023,0.407075618769454
17,40362891,40363291,401,*,1023,ENSG00000183153,40360652,40364737,-,inside,1846,1446,NearestLocation,chr174036289140363291,0.839659270489794,0.722383857069795
17,44345233,44345633,401,*,1040,ENSG00000030582,44345246,44353106,+,overlapStart,-13,13,NearestLocation,chr174434523344345633,0.797368584179486,0.306540336095183
12,56266800,56267200,401,*,1047,ENSG00000135469,56266890,56270966,+,overlapStart,-90,90,NearestLocation,chr125626680056267200,0.693016333589108,0.639238985313398
10,58267506,58267906,401,*,1051,ENSG00000122873,58269162,58289586,+,upstream,-1656,1256,Overlapping,chr105826750658267906,0.425679749858496,0.397881889664779
X,40267134,40267534,401,*,1064,ENSG00000236393,40262917,40299061,+,inside,4217,4217,NearestLocation,chrX4026713440267534,1.39555851047649,1.49738684562574
8,143976346,143976746,401,*,1141,ENSG00000178685,143977153,144012772,-,downstream,36426,407,Overlapping,chr8143976346143976746,0.665092085075679,0.653904290573831
15,31215663,31216063,401,*,1155,ENSG00000259448,31215622,31224445,+,inside,41,41,NearestLocation,chr153121566331216063,0.764836636829471,1.80620353829678
14,35404162,35404562,401,*,1241,ENSG00000100906,35401513,35404749,-,inside,587,187,NearestLocation,chr143540416235404562,0.364418927551116,0.407608996623432
11,58579244,58579644,401,*,1471,ENSG00000110031,58526871,58578220,-,upstream,-1024,1024,Overlapping,chr115857924458579644,0.347014972000919,0.665623950377313
14,24161232,24161632,401,*,1507,ENSG00000213928,24161265,24166565,+,overlapStart,-33,33,NearestLocation,chr142416123224161632,0.836307614904445,0.477682959616926
10,13100147,13100547,401,*,1540,ENSG00000123240,13099449,13138308,+,inside,698,698,Overlapping,chr101310014713100547,0.415062752635401,0.271521673621794
20,4686497,4686897,401,*,1543,ENSG00000171867,4686350,4701590,+,inside,147,147,NearestLocation,chr2046864974686897,0.315295122920643,0.265118010627053
5,179821054,179821454,401,*,1557,ENSG00000161011,179806398,179838078,+,inside,14656,14656,Overlapping,chr5179821054179821454,0.344702397115316,0.590478640743395
18,79988616,79989016,401,*,1562,ENSG00000226742,79964582,79970822,+,downstream,24034,17794,NearestLocation,chr187998861679989016,0.516231282753214,0.497906516721277
4,139735277,139735677,401,*,1600,ENSG00000085871,139665768,139740745,+,inside,69509,5068,Overlapping,chr4139735277139735677,1.01497189476561,0.596351560888371
6,159727598,159727998,401,*,1609,ENSG00000112096,159669069,159762529,-,inside,34931,34531,Overlapping,chr6159727598159727998,0.372495311351614,0.435235872653886
17,82735217,82735617,401,*,1621,ENSG00000167363,82735615,82751196,+,overlapStart,-398,2,NearestLocation,chr178273521782735617,0.59168538852058,1.01406089982543
3,183635951,183636351,401,*,1701,ENSG00000114796,183635610,183684519,+,inside,341,341,NearestLocation,chr3183635951183636351,0.492715101503477,0.459840848013331
12,114408339,114408739,401,*,1705,ENSG00000089225,114353911,114408442,-,overlapStart,103,103,NearestLocation,chr12114408339114408739,0.591290304610625,0.706632028935399
