seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
1,165827767,165828167,401,*,X30,ENSG00000143183,165724293,165827755,103463,-,11,upstream,11,transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188],chr1165827767165828167,-0.930976624373409,0.293009226506511
X,47145272,47145672,401,*,X390,ENSG00000147123,47142071,47145466,3396,-,0,overlapStart,0,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372],chrX4714527247145672,-1.02186464277597,0.243417306414704
12,120446380,120446780,401,*,X430,ENSG00000170855,120443964,120446384,2421,-,0,overlapStart,0,TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937],chr12120446380120446780,-0.780532108103102,1.10679849171279
2,127701436,127701836,401,*,X710,ENSG00000173349,127701497,127705242,3746,+,0,overlapStart,0,SFT2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28767],chr2127701436127701836,-0.499030806064471,0.730401958576469
12,93467445,93467845,401,*,X768,ENSG00000198015,93467514,93516214,48701,+,0,overlapStart,0,mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493],chr129346744593467845,-0.707778918655863,0.32116124575354
6,43575586,43575986,401,*,X822,ENSG00000170734,43576185,43620523,44339,+,198,upstream,198,DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181],chr64357558643575986,-0.760671701999446,0.549122244393142
15,34101485,34101885,401,*,X855,ENSG00000134153,34084017,34101862,17846,-,0,overlapStart,0,ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301],chr153410148534101885,-0.578983760736793,0.444879261226828
19,4343604,4344004,401,*,X964,ENSG00000178078,4324043,4342786,18744,-,817,upstream,817,signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430],chr1943436044344004,-0.819382466905956,0.653326358376482
6,44126909,44127309,401,*,X968,ENSG00000137216,44126914,44155519,28606,+,0,overlapStart,0,transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735],chr64412690944127309,-0.594777170119388,0.654170739492755
19,36054983,36055383,401,*,X987,ENSG00000161277,36034984,36054739,19756,-,243,upstream,243,THAP domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23191],chr193605498336055383,-0.759677269403062,0.652874109921293
2,64751231,64751631,401,*,X1076,ENSG00000179833,64631621,64751005,119385,-,225,upstream,225,SERTA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30784],chr26475123164751631,-1.16297491383067,0.610942525996253
2,27663885,27664285,401,*,X1228,ENSG00000119760,27650809,27663840,13032,-,44,upstream,44,SPT7 like, STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632],chr22766388527664285,-0.607174263736755,0.426652402025406
17,81035007,81035407,401,*,X1365,ENSG00000175866,81035122,81117434,82313,+,0,overlapStart,0,BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947],chr178103500781035407,-0.822936767162586,0.363442553433378
19,17747531,17747931,401,*,X1406,ENSG00000130475,17747718,17788568,40851,+,0,overlapStart,0,FCH and mu domain containing endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29002],chr191774753117747931,-1.60086371473935,0.76676745942011
14,22981889,22982289,401,*,X1427,ENSG00000258457,22982698,22999078,16381,+,408,upstream,408,AJUBA divergent transcript [Source:HGNC Symbol;Acc:HGNC:55449],chr142298188922982289,-0.451230414551183,0.608705660958513
3,10026185,10026585,401,*,X1435,ENSG00000186162,10014237,10026395,12159,-,0,overlapStart,0,cell death inducing DFFA like effector c pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24230],chr31002618510026585,-0.644584995759616,0.793761485386257
12,124567191,124567591,401,*,X1462,ENSG00000196498,124324415,124567589,243175,-,0,overlapStart,0,nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673],chr12124567191124567591,-0.468449828165761,0.295438924990551
22,43151513,43151913,401,*,X1485,ENSG00000100300,43151547,43163242,11696,+,0,overlapStart,0,translocator protein [Source:HGNC Symbol;Acc:HGNC:1158],chr224315151343151913,-0.688145789262796,0.229262349915893
14,75661291,75661691,401,*,X1661,ENSG00000133935,75649791,75660876,11086,-,414,upstream,414,ergosterol biosynthesis 28 homolog [Source:HGNC Symbol;Acc:HGNC:1187],chr147566129175661691,-0.517246333916494,0.393981828106945
4,88697506,88697906,401,*,X1869,ENSG00000177432,88695913,88697829,1917,-,0,overlapStart,0,nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968],chr48869750688697906,-0.743964717904265,0.415279621224619
4,158671288,158671688,401,*,X1877,ENSG00000171503,158671968,158710742,38775,+,279,upstream,279,electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483],chr4158671288158671688,-0.487984335121506,0.582373072051659
14,91060117,91060517,401,*,X2140,ENSG00000133943,91060333,91225632,165300,+,0,overlapStart,0,D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498],chr149106011791060517,-0.415783930518173,0.484603191693213
