seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
10,31362187,31362587,401,*,70,ENSG00000148516,31318495,31529814,+,inside,43692,43692,Overlapping,chr103136218731362587,0.999454866347922,-0.620005077390088
5,142345197,142345597,401,*,80,ENSG00000231185,142325293,142672001,+,inside,19904,19904,Overlapping,chr5142345197142345597,1.54535423883119,-1.94178588429798
3,149831014,149831414,401,*,121,ENSG00000082996,149812770,149962139,+,inside,18244,18244,NearestLocation,chr3149831014149831414,1.26359212143063,-0.573398497147776
3,177412643,177413043,401,*,262,ENSG00000228221,177441910,177767379,+,upstream,-29267,28867,NearestLocation,chr3177412643177413043,1.00055771559684,-1.33166813219362
4,98319337,98319737,401,*,269,ENSG00000138698,98261384,98443858,+,inside,57953,57953,Overlapping,chr49831933798319737,2.468891233218,-0.458363356082989
21,16061112,16061512,401,*,279,ENSG00000215386,15928296,16645467,+,inside,132816,132816,Overlapping,chr211606111216061512,1.0279700565554,-1.0075008155562
11,122536708,122537108,401,*,318,ENSG00000255248,122028325,122556721,-,inside,20013,19613,NearestLocation,chr11122536708122537108,1.78636233833499,-0.597194853426944
7,111500349,111500749,401,*,396,ENSG00000184903,110662644,111562517,-,inside,62168,61768,NearestLocation,chr7111500349111500749,1.38486357291886,-0.710048324333342
9,92354041,92354441,401,*,426,ENSG00000188312,92325953,92620529,+,inside,28088,28088,Overlapping,chr99235404192354441,1.3415946334319,-0.48242530727829
8,105387359,105387759,401,*,560,ENSG00000169946,104590733,105804539,+,inside,796626,416780,Overlapping,chr8105387359105387759,0.883396112792406,-1.57697885552297
16,78555211,78555611,401,*,585,ENSG00000186153,78099400,79212667,+,inside,455811,455811,Overlapping,chr167855521178555611,2.1256347620342,-0.542708671575336
2,75241610,75242010,401,*,606,ENSG00000115353,75046463,75199520,-,upstream,-42090,42090,NearestLocation,chr27524161075242010,1.29182168096367,-2.23655272267644
1,33797819,33798219,401,*,738,ENSG00000121904,33513998,34165842,-,inside,368023,283821,Overlapping,chr13379781933798219,1.49767980433965,-0.827827599004166
6,154966372,154966772,401,*,754,ENSG00000146426,154832697,155257723,+,inside,133675,133675,Overlapping,chr6154966372154966772,1.271378418779,-0.529414491799151
10,14566229,14566629,401,*,906,ENSG00000065809,14518557,14774897,-,inside,208668,47672,Overlapping,chr101456622914566629,1.38323524417663,-0.709378761662856
3,79502165,79502565,401,*,1043,ENSG00000169855,78597239,79767998,-,inside,265833,265433,Overlapping,chr37950216579502565,0.617062694791302,-0.847595888832559
16,75021140,75021540,401,*,1058,ENSG00000103091,74871362,75000173,-,upstream,-20967,20967,NearestLocation,chr167502114075021540,1.06513477465428,-0.969613444195306
3,74712012,74712412,401,*,1091,ENSG00000113805,74262568,74614659,-,upstream,-97353,97353,NearestLocation,chr37471201274712412,0.759222898737701,-0.660276779233651
6,42467942,42468342,401,*,1258,ENSG00000124496,42224931,42452051,-,upstream,-15891,15891,NearestLocation,chr64246794242468342,1.26825885526626,-1.57607837260137
4,53256137,53256537,401,*,1277,ENSG00000184178,52872982,53366066,-,inside,109929,109529,Overlapping,chr45325613753256537,0.895199470383487,-0.796910070907084
9,10285815,10286215,401,*,1284,ENSG00000153707,8314246,10613002,-,inside,327187,326787,Overlapping,chr91028581510286215,1.36746812347733,-0.878132626867073
5,155936681,155937081,401,*,1301,ENSG00000170624,155870344,156767788,+,inside,66337,66337,NearestLocation,chr5155936681155937081,0.733977034537445,-0.531709625708652
8,118158621,118159021,401,*,1307,ENSG00000182197,117794490,118111826,-,upstream,-46795,46795,NearestLocation,chr8118158621118159021,0.80734072869031,-0.664350938112341
3,149945454,149945854,401,*,1338,ENSG00000082996,149812770,149962139,+,inside,132684,16285,Overlapping,chr3149945454149945854,0.855838189879814,-0.573398497147776
1,214608540,214608940,401,*,1349,ENSG00000117724,214603195,214664571,+,inside,5345,5345,Overlapping,chr1214608540214608940,0.694965691371245,-0.443331424567465
10,94459629,94460029,401,*,1360,ENSG00000119969,94501434,94613905,+,upstream,-41805,41405,NearestLocation,chr109445962994460029,0.82549127626088,-0.355458791052284
