seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
1,40111199,40111599,401,*,223,ENSG00000131238,40072710,40097260,-,upstream,-13939,13939,NearestLocation,chr14011119940111599,1.15940476102401,0.276458362371963
19,13920601,13921001,401,*,343,ENSG00000132024,13906201,13930879,+,inside,14400,9878,Overlapping,chr191392060113921001,0.955709760591885,0.31563048343951
7,636563,636963,401,*,348,ENSG00000188191,549197,727650,-,inside,91087,87366,Overlapping,chr7636563636963,1.26995959909244,0.390018225863479
19,58117830,58118230,401,*,449,ENSG00000121413,58083838,58118427,-,inside,597,197,NearestLocation,chr195811783058118230,0.622074918482047,0.562935302322834
10,124371662,124372062,401,*,529,ENSG00000065154,124397303,124418976,-,downstream,47314,25241,NearestLocation,chr10124371662124372062,1.36675738981117,0.402707030564128
7,73434289,73434689,401,*,668,ENSG00000188763,73433778,73436120,+,inside,511,511,NearestLocation,chr77343428973434689,0.87540322795716,1.68506162441408
2,38643097,38643497,401,*,829,ENSG00000143891,38666081,38741237,+,upstream,-22984,22584,NearestLocation,chr23864309738643497,0.687520355518579,0.427473048898338
18,35352526,35352926,401,*,1253,ENSG00000172466,35332227,35345482,-,upstream,-7044,7044,NearestLocation,chr183535252635352926,0.749086385624508,0.323761934764141
6,33059862,33060262,401,*,1304,ENSG00000223865,33075990,33089696,+,upstream,-16128,15728,NearestLocation,chr63305986233060262,1.35595945383628,0.32738393075532
13,111396118,111396518,401,*,1356,ENSG00000153495,111316184,111344249,+,downstream,79934,51869,NearestLocation,chr13111396118111396518,1.21253050941647,0.807682710792235
8,143727792,143728192,401,*,1516,ENSG00000180921,143723933,143738234,-,inside,10442,3859,Overlapping,chr8143727792143728192,0.60809764337346,1.1821437430675
8,143727792,143728192,401,*,1516,ENSG00000265660,143733083,143733153,-,downstream,5361,4891,NearestLocation,chr8143727792143728192,0.60809764337346,1.41905298392839
1,1439252,1439652,401,*,1623,ENSG00000179403,1434861,1442882,+,inside,4391,3230,NearestLocation,chr114392521439652,1.00497756256229,1.58584191479092
8,17640707,17641107,401,*,1982,ENSG00000104213,17576433,17644071,+,inside,64274,2964,Overlapping,chr81764070717641107,0.990999488151721,0.600503312930802
8,17640707,17641107,401,*,1982,ENSG00000129422,17643795,17801094,-,downstream,160387,2688,Overlapping,chr81764070717641107,0.990999488151721,0.709078398449347
4,152704621,152705021,401,*,2247,ENSG00000170006,152618628,152680012,-,upstream,-24609,24609,NearestLocation,chr4152704621152705021,0.893277542251497,0.502359341441885
2,39564373,39564773,401,*,2562,ENSG00000231312,39436530,39665343,+,inside,127843,100570,Overlapping,chr23956437339564773,0.725931530562162,0.601503838007127
1,53206176,53206576,401,*,2631,ENSG00000157184,53196792,53214197,+,inside,9384,7621,Overlapping,chr15320617653206576,0.819061904446515,0.460568375302581
7,80066343,80066743,401,*,2747,ENSG00000127955,79768028,80226181,+,inside,298315,159438,Overlapping,chr78006634380066743,0.766597587207313,0.36496949554647
7,80020286,80020686,401,*,3005,ENSG00000127955,79768028,80226181,+,inside,252258,205495,Overlapping,chr78002028680020686,0.830178878508026,0.36496949554647
