seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
6,33391823,33392223,401,*,X346,ENSG00000237649,33391823,33409896,18074,+,0,inside,0,kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389],chr63339182333392223,-0.714124451624539,-0.610380826693147
17,2303263,2303663,401,*,X455,ENSG00000167720,2303383,2325260,21878,+,0,overlapStart,0,serine racemase [Source:HGNC Symbol;Acc:HGNC:14398],chr1723032632303663,-0.579855484265467,-0.443044333681471
20,45812559,45812959,401,*,X554,ENSG00000175063,45812576,45816957,4382,+,0,overlapStart,0,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937],chr204581255945812959,-0.711398062502345,-0.465911833842951
15,65517337,65517737,401,*,X744,ENSG00000074603,65442463,65517704,75242,-,0,overlapStart,0,dipeptidyl peptidase 8 [Source:HGNC Symbol;Acc:HGNC:16490],chr156551733765517737,-0.495156903741532,-0.328065617267242
17,8210263,8210663,401,*,X814,ENSG00000178999,8204733,8210600,5868,-,0,overlapStart,0,aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390],chr1782102638210663,-0.736241267314418,-0.487124409243269
6,26198158,26198558,401,*,X944,ENSG00000197409,26196784,26197286,503,-,871,upstream,871,H3 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4767],chr62619815826198558,-1.14657920411357,-0.671776355105383
22,38982328,38982728,401,*,X994,ENSG00000179750,38982347,38992804,10458,+,0,overlapStart,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352],chr223898232838982728,-1.2406208111017,-0.305395342878781
14,49620941,49621341,401,*,X1043,ENSG00000165502,49618530,49620626,2097,-,314,upstream,314,ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346],chr144962094149621341,-0.568009750019373,-0.284159248085032
2,71130107,71130507,401,*,X1060,ENSG00000124370,71109684,71130239,20556,-,0,overlapStart,0,methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732],chr27113010771130507,-0.663897062333912,-0.292360469860606
1,156572216,156572616,401,*,X1098,ENSG00000183856,156525405,156572604,47200,-,0,overlapStart,0,IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669],chr1156572216156572616,-0.772636610979704,-0.45871099784174
4,83455309,83455709,401,*,X1158,ENSG00000163319,83455932,83469735,13804,+,222,upstream,222,mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:HGNC:16633],chr48345530983455709,-0.680112737396842,-0.336435630941302
2,61065856,61066256,401,*,X1209,ENSG00000162929,61065871,61138034,72164,+,0,overlapStart,0,SANT and BTB domain regulator of CSR [Source:HGNC Symbol;Acc:HGNC:29387],chr26106585661066256,-0.423959061120583,-0.254173621316783
10,100185638,100186038,401,*,X1576,ENSG00000107566,100150094,100186033,35940,-,0,overlapStart,0,ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947],chr10100185638100186038,-0.521328690453444,-0.361871561127568
10,102714116,102714516,401,*,X1831,ENSG00000138175,102673731,102714397,40667,-,0,overlapStart,0,ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694],chr10102714116102714516,-0.546545912700868,-0.415743944519335
6,27133045,27133445,401,*,X1946,ENSG00000124635,27125897,27132795,6899,-,249,upstream,249,H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761],chr62713304527133445,-0.913848249275097,-0.559672530072254
6,26103933,26104333,401,*,X2094,ENSG00000197061,26103933,26104337,405,+,0,inside,0,H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787],chr62610393326104333,-0.79353018845778,-0.639464034907439
1,246566428,246566828,401,*,X2165,ENSG00000162852,246566444,246668595,102152,+,0,overlapStart,0,consortin, connexin sorting protein [Source:HGNC Symbol;Acc:HGNC:26486],chr1246566428246566828,-0.647716028911892,-0.251332272950235
8,38030446,38030846,401,*,X2192,ENSG00000187840,38030534,38060365,29832,+,0,overlapStart,0,eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288],chr83803044638030846,-0.464148588216776,-0.388330324962315
11,73876548,73876948,401,*,X2292,ENSG00000175575,73876699,73931114,54416,+,0,overlapStart,0,proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687],chr117387654873876948,-0.588480338064782,-0.372196027008102
12,57089213,57089613,401,*,X2306,ENSG00000166881,57055643,57088063,32421,-,1149,upstream,1149,nuclear envelope integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29001],chr125708921357089613,-0.542584478567806,-0.32103881166902
3,49856205,49856605,401,*,X2657,ENSG00000183763,49828601,49856574,27974,-,0,overlapStart,0,TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764],chr34985620549856605,-0.52597692981415,-0.535645860527069
7,158704642,158705042,401,*,X2661,ENSG00000146918,158631169,158704804,73636,-,0,overlapStart,0,non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904],chr7158704642158705042,-0.608169514832819,-0.450940401516681
1,228457535,228457935,401,*,X2673,ENSG00000181218,228434777,228457873,23097,-,0,overlapStart,0,H2A.W histone [Source:HGNC Symbol;Acc:HGNC:20507],chr1228457535228457935,-0.553479029525079,-0.610173778917861
1,228457535,228457935,401,*,X2673,ENSG00000196890,228458103,228463104,5002,+,167,upstream,167,H2B.U histone 1 [Source:HGNC Symbol;Acc:HGNC:20514],chr1228457535228457935,-0.553479029525079,-0.656918182900985
16,81006396,81006796,401,*,X2827,ENSG00000166451,81006552,81033114,26563,+,0,overlapStart,0,centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873],chr168100639681006796,-0.399024596819822,-0.546777376712011
13,21176406,21176806,401,*,X2885,ENSG00000165480,21153595,21176552,22958,-,0,overlapStart,0,spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262],chr132117640621176806,-0.466081347638365,-0.730123891979616
6,170552976,170553376,401,*,X3095,ENSG00000008018,170535120,170553307,18188,-,0,overlapStart,0,proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537],chr6170552976170553376,-0.662128976170004,-0.292490077017327
1,149813000,149813400,401,*,X3096,ENSG00000203814,149782689,149812373,29685,-,626,upstream,626,H2B clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:24700],chr1149813000149813400,-1.81277824178448,-0.584327461908074
X,101098129,101098529,401,*,X3121,ENSG00000102384,101098188,101166126,67939,+,0,overlapStart,0,centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968],chrX101098129101098529,-1.13469334490439,-0.39809801084922
2,110677712,110678112,401,*,X3245,ENSG00000169679,110637528,110678063,40536,-,0,overlapStart,0,BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148],chr2110677712110678112,-0.424461095661931,-0.458916848336359
1,23778350,23778750,401,*,X3312,ENSG00000057757,23778418,23788232,9815,+,0,overlapStart,0,PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022],chr12377835023778750,-0.441336296117522,-0.297332519684089
8,117520667,117521067,401,*,X3535,ENSG00000164758,117520713,117540262,19550,+,0,overlapStart,0,mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032],chr8117520667117521067,-0.355784453699461,-0.339122519931782
17,40287816,40288216,401,*,X3572,ENSG00000094804,40287879,40304657,16779,+,0,overlapStart,0,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744],chr174028781640288216,-0.644022045499194,-0.83728789034745
4,169757566,169757966,401,*,X3595,ENSG00000056050,169729470,169757944,28475,-,0,overlapStart,0,histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051],chr4169757566169757966,-0.450665093747475,-0.444038936976471
20,25390006,25390406,401,*,X3623,ENSG00000101003,25391008,25452700,61693,+,601,upstream,601,GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980],chr202539000625390406,-0.369779833529925,-0.434867138133034
6,31158466,31158866,401,*,X3872,ENSG00000137310,31158547,31167159,8613,+,0,overlapStart,0,transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629],chr63115846631158866,-0.421144553877466,-0.334330624080964
22,20080181,20080581,401,*,X3890,ENSG00000128191,20080232,20111877,31646,+,0,overlapStart,0,DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847],chr222008018120080581,-0.395544716448272,-0.353838489033218
3,45388489,45388889,401,*,X3911,ENSG00000011376,45388561,45554726,166166,+,0,overlapStart,0,leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095],chr34538848945388889,-0.692491451711049,-0.370342485316685
15,41332203,41332603,401,*,X4020,ENSG00000104147,41309273,41332591,23319,-,0,overlapStart,0,Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300],chr154133220341332603,-0.383482895536044,-0.632347372666458
19,32971621,32972021,401,*,X4204,ENSG00000121289,32875925,32971991,96067,-,0,overlapStart,0,centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907],chr193297162132972021,-0.441615088803165,-0.267591766202384
15,42548452,42548852,401,*,X4208,ENSG00000137814,42548828,42569994,21167,+,0,overlapStart,0,HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530],chr154254845242548852,-0.372778870863555,-0.298295916436716
6,106629510,106629910,401,*,X4237,ENSG00000130347,106570771,106629498,58728,-,11,upstream,11,reticulon 4 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18647],chr6106629510106629910,-0.386693117598106,-0.504961079860162
