chr	start	stop	name	-1xlog10(p-value)	xSqrd	-1xlog10(Right-Tail Probability)	-1xlog10(AdjustedP-value)
chr1	869985	870262	MSPC_Peak_20131	67	308.546	67	66.541
chr1	883105	883402	MSPC_Peak_20130	61	280.915	61	60.593
chr1	899748	900039	MSPC_Peak_20129	27	124.34	27	26.973
chr1	904725	905055	MSPC_Peak_20128	61	280.915	61	60.593
chr1	910002	910524	MSPC_Peak_20127	74	340.783	74	73.496
chr1	917051	917570	MSPC_Peak_20126	54	248.679	54	53.685
chr1	917601	917879	MSPC_Peak_20125	49	225.653	49	48.723
chr1	918373	918837	MSPC_Peak_20124	58	267.1	58	57.639
chr1	919114	919771	MSPC_Peak_20123	96	442.096	96	95.367
chr1	920505	920804	MSPC_Peak_20122	46	211.838	46	45.774
chr1	923070	923668	MSPC_Peak_20121	46	211.838	46	45.774
chr1	924609	926405	MSPC_Peak_20120	241	1109.846	241	239.87
chr1	927146	927560	MSPC_Peak_20119	36	165.786	36	35.902
chr1	927660	927970	MSPC_Peak_20118	46	211.838	46	45.774
chr1	933484	934001	MSPC_Peak_20117	61	280.915	61	60.594
chr1	934962	936279	MSPC_Peak_20116	216.296	1008.532	216.296	215.231
chr1	936562	937386	MSPC_Peak_20115	108	497.358	108	107.306
chr1	939741	940223	MSPC_Peak_20114	191.349	893.403	191.349	190.351
chr1	940348	943521	MSPC_Peak_20113	0	1726.939	0	0
chr1	967343	968179	MSPC_Peak_20112	72	331.572	72	71.518
chr1	970837	971792	MSPC_Peak_20111	74	340.783	74	73.496
chr1	971825	972102	MSPC_Peak_20110	31	142.76	31	30.955
chr1	973451	973759	MSPC_Peak_20109	49	225.653	49	48.723
chr1	973820	974205	MSPC_Peak_20108	32	147.365	32	31.929
chr1	975997	976580	MSPC_Peak_20107	74	340.783	74	73.496
chr1	1033848	1034438	MSPC_Peak_20106	40	184.207	40	39.847
chr1	1034590	1034916	MSPC_Peak_20105	55	253.284	55	54.655
chr1	1039537	1040111	MSPC_Peak_20104	51	234.864	51	50.709
chr1	1058346	1059563	MSPC_Peak_20103	131.509	617.093	131.509	130.714
chr1	1059772	1060893	MSPC_Peak_20102	159.427	746.038	159.427	158.53
chr1	1060924	1062103	MSPC_Peak_20101	152.446	713.801	152.446	151.571
chr1	1062134	1062708	MSPC_Peak_20100	43	198.022	43	42.797
chr1	1062739	1063983	MSPC_Peak_20099	118	543.41	118	117.263
chr1	1064039	1064881	MSPC_Peak_20098	137	630.908	137	136.181
chr1	1068245	1070028	MSPC_Peak_20097	168.404	787.484	168.404	167.476
chr1	1070118	1070422	MSPC_Peak_20096	38	174.996	38	37.861
chr1	1074746	1075281	MSPC_Peak_20095	55	253.284	55	54.655
chr1	1121365	1121741	MSPC_Peak_20094	38	174.996	38	37.861
