seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
13,20988838,20989238,401,*,52,ENSG00000150457,20973036,21061586,-,inside,72748,15802,Overlapping,chr132098883820989238,-5.28020048432409,0.60807599017409
1,1354682,1355082,401,*,99,ENSG00000107404,1335276,1349418,-,upstream,-5264,5264,NearestLocation,chr113546821355082,-4.79882880534008,1.0112252533773
19,1250357,1250757,401,*,130,ENSG00000167470,1248553,1259143,+,inside,1804,1804,Overlapping,chr1912503571250757,-2.37839465787717,0.913762059415855
14,102507282,102507682,401,*,131,ENSG00000156381,102501767,102509799,-,inside,2517,2117,NearestLocation,chr14102507282102507682,-4.54397897618323,1.31027798365747
1,23362417,23362817,401,*,140,ENSG00000125945,23359448,23369836,-,inside,7419,2969,Overlapping,chr12336241723362817,-4.53743503362109,0.78924865221467
1,23362417,23362817,401,*,140,ENSG00000249087,23368949,23371839,+,upstream,-6532,6132,NearestLocation,chr12336241723362817,-4.53743503362109,1.52327753929738
16,3119899,3120299,401,*,141,ENSG00000122386,3112560,3120517,+,inside,7339,218,NearestLocation,chr1631198993120299,-4.62118836290583,0.457440103962718
19,49882603,49883003,401,*,150,ENSG00000204673,49869033,49878459,-,upstream,-4144,4144,NearestLocation,chr194988260349883003,-3.32967003345238,0.663472821012896
19,49882603,49883003,401,*,150,ENSG00000104946,49877666,49888750,+,inside,4937,4937,Overlapping,chr194988260349883003,-3.32967003345238,1.27163481017605
19,5695072,5695472,401,*,152,ENSG00000167733,5680604,5688523,+,downstream,14468,6549,NearestLocation,chr1956950725695472,-4.53250752345393,0.856044793538728
7,100683962,100684362,401,*,162,ENSG00000146830,100679507,100694250,-,inside,10288,4455,NearestLocation,chr7100683962100684362,-4.4380164768594,1.07312071527042
7,99531378,99531778,401,*,163,ENSG00000160908,99473877,99504857,-,upstream,-26521,26521,NearestLocation,chr79953137899531778,-4.39106877490064,1.40817808893958
7,99531378,99531778,401,*,163,ENSG00000196652,99504662,99534700,+,inside,26716,2922,Overlapping,chr79953137899531778,-4.39106877490064,0.523099997580497
19,55482363,55482763,401,*,174,ENSG00000197483,55476617,55484487,+,inside,5746,1724,Overlapping,chr195548236355482763,-4.49124889572366,0.580346405201412
19,55482363,55482763,401,*,174,ENSG00000090971,55485188,55487568,+,upstream,-2825,2425,NearestLocation,chr195548236355482763,-4.49124889572366,0.504279089182424
2,86545455,86545855,401,*,178,ENSG00000115561,86503430,86563479,-,inside,18024,17624,Overlapping,chr28654545586545855,-4.37358896595013,1.01717876354395
