seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
8,60516853,60517253,401,*,23,ENSG00000104388,60516936,60623644,+,overlapStart,-83,83,Overlapping,chr86051685360517253,-3.04107813661207,-0.137716677437241
20,61329209,61329609,401,*,45,ENSG00000179242,61252261,61940617,+,inside,76948,76948,Overlapping,chr206132920961329609,-2.25475737692874,-0.60519765296267
10,97274184,97274584,401,*,223,ENSG00000269891,97153045,97292637,-,inside,18453,18053,Overlapping,chr109727418497274584,-1.74108938369535,-0.474537682778783
10,97274184,97274584,401,*,223,ENSG00000213390,97222173,97292673,-,inside,18489,18089,Overlapping,chr109727418497274584,-1.74108938369535,-0.477206673827343
15,89088036,89088436,401,*,239,ENSG00000140526,89087459,89202355,+,inside,577,577,Overlapping,chr158908803689088436,-1.66979487620758,-0.317343490881266
9,130920540,130920940,401,*,246,ENSG00000130720,130902438,130939286,-,inside,18746,18102,Overlapping,chr9130920540130920940,-1.53847255615718,-0.388360017624018
8,42897080,42897480,401,*,342,ENSG00000168172,42896946,43030535,+,inside,134,134,NearestLocation,chr84289708042897480,-2.14809001109945,-0.593696907648288
15,41417294,41417694,401,*,388,ENSG00000137815,41408408,41483563,+,inside,8886,8886,Overlapping,chr154141729441417694,-2.09053395256134,-0.366381049359721
1,170663926,170664326,401,*,429,ENSG00000116132,170662728,170739421,+,inside,1198,1198,NearestLocation,chr1170663926170664326,-1.45611563589091,-0.185146644740636
19,3512203,3512603,401,*,434,ENSG00000105325,3506311,3538334,+,inside,5892,5892,NearestLocation,chr1935122033512603,-1.59479317191085,-0.22041172094834
19,20911577,20911977,401,*,446,ENSG00000105750,20923222,20950697,+,upstream,-11645,11245,NearestLocation,chr192091157720911977,-1.45611563589091,-0.598040190150383
3,14178122,14178522,401,*,540,ENSG00000170860,14178817,14201122,+,upstream,-695,295,Overlapping,chr31417812214178522,-1.99449833956113,-0.311937575240312
2,111119093,111119493,401,*,644,ENSG00000172965,111006015,111523376,-,inside,404283,113078,Overlapping,chr2111119093111119493,-1.6497495575966,-0.50559597188329
3,152269465,152269865,401,*,667,ENSG00000152601,152243828,152465780,+,inside,25637,25637,Overlapping,chr3152269465152269865,-1.20519194685172,-0.374064477402039
