seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
1,155860197,155860597,401,*,86,ENSG00000132718,155859567,155885199,+,inside,630,630,NearestLocation,chr1155860197155860597,1.14981393088342,0.973038988560872
15,83284252,83284652,401,*,132,ENSG00000169594,83255884,83284664,-,inside,412,12,NearestLocation,chr158328425283284652,0.488385807862684,0.688099207050097
12,65825312,65825712,401,*,134,ENSG00000241749,65758020,65826997,-,inside,1685,1285,Overlapping,chr126582531265825712,0.387911693303554,1.12858057918506
3,136751810,136752210,401,*,168,ENSG00000118007,136336236,136752403,-,inside,593,193,NearestLocation,chr3136751810136752210,0.468649438462781,0.337612585439612
7,73719323,73719723,401,*,187,ENSG00000106089,73699206,73719672,-,overlapStart,349,51,NearestLocation,chr77371932373719723,0.761239371544232,0.566129758677205
8,94948899,94949299,401,*,226,ENSG00000253878,94950037,94951396,+,upstream,-1138,738,Overlapping,chr89494889994949299,0.686207456573968,0.67652357429603
4,139555738,139556138,401,*,302,ENSG00000145391,139495941,139606699,-,inside,50961,50561,Overlapping,chr4139555738139556138,0.448311955681496,0.393303200808891
6,130019135,130019535,401,*,397,ENSG00000198945,130013699,130141449,+,inside,5436,5436,NearestLocation,chr6130019135130019535,0.546239477278294,0.603284394315209
14,34874641,34875041,401,*,420,ENSG00000198604,34752731,34875647,-,inside,1006,606,Overlapping,chr143487464134875041,0.479396456077912,0.375305615580153
2,206443565,206443965,401,*,543,ENSG00000114948,206443532,206621127,+,inside,33,33,NearestLocation,chr2206443565206443965,0.849172949393912,0.728453861780071
1,206684888,206685288,401,*,560,ENSG00000143479,206635536,206684419,+,downstream,49352,469,Overlapping,chr1206684888206685288,0.397639830038914,0.557478662448618
12,56266798,56267198,401,*,655,ENSG00000135469,56266890,56270966,+,overlapStart,-92,92,NearestLocation,chr125626679856267198,0.727381325254973,0.841339816909787
13,23470235,23470635,401,*,687,ENSG00000232977,23465776,23487712,+,inside,4459,4459,NearestLocation,chr132347023523470635,1.61822004784492,0.480371986094107
18,79988330,79988730,401,*,779,ENSG00000226742,79964582,79970822,+,downstream,23748,17508,NearestLocation,chr187998833079988730,0.516566756478519,0.650955054217485
7,48089196,48089596,401,*,780,ENSG00000183696,48088628,48108736,+,inside,568,568,NearestLocation,chr74808919648089596,0.652083781547687,0.415599854061809
1,10494530,10494930,401,*,816,ENSG00000160049,10456522,10472529,-,upstream,-22001,22001,NearestLocation,chr11049453010494930,2.19272974535464,0.460648119469479
17,16568830,16569230,401,*,835,ENSG00000141040,16546954,16569204,-,overlapStart,374,26,NearestLocation,chr171656883016569230,0.720345012472326,0.590802867098167
12,110468812,110469212,401,*,949,ENSG00000204856,110468415,110490385,+,inside,397,397,NearestLocation,chr12110468812110469212,0.496550675015778,0.641394778717591
19,18373899,18374299,401,*,1099,ENSG00000130513,18374731,18389176,+,upstream,-832,432,NearestLocation,chr191837389918374299,1.76473913183078,1.70248499048226
9,105694833,105695233,401,*,1303,ENSG00000095209,105694541,105776629,+,inside,292,292,NearestLocation,chr9105694833105695233,0.678136561561404,0.617251372304147
8,100158039,100158439,401,*,1482,ENSG00000104450,100157906,100259278,+,inside,133,133,NearestLocation,chr8100158039100158439,0.399005183305572,0.742295046526166
19,52453663,52454063,401,*,1506,ENSG00000258405,52453553,52516882,+,inside,110,110,Overlapping,chr195245366352454063,0.938832584593171,0.851217597445459
