seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
3,49411720,49412120,401,*,4,ENSG00000145022,49412212,49416476,+,upstream,-492,92,NearestLocation,chr34941172049412120,3.51144814310072,-0.530392447673595
1,25900296,25900696,401,*,10,ENSG00000117632,25884181,25906991,-,inside,6695,6295,Overlapping,chr12590029625900696,3.15590614757863,-0.635607145337916
4,16256202,16256602,401,*,24,ENSG00000263327,16226685,16320140,+,inside,29517,29517,Overlapping,chr41625620216256602,3.24373024679382,-1.12916305864044
1,40399993,40400393,401,*,26,ENSG00000084070,40344850,40423326,+,inside,55143,22933,Overlapping,chr14039999340400393,3.69949789815951,-0.53493708775289
6,38676268,38676668,401,*,27,ENSG00000124767,38675925,38703145,-,inside,26877,343,NearestLocation,chr63867626838676668,2.78981179589231,-0.36043794301822
4,73742703,73743103,401,*,28,ENSG00000169429,73740519,73743716,+,inside,2184,613,NearestLocation,chr47374270373743103,3.68842797233112,-2.04586672414088
17,75778334,75778734,401,*,35,ENSG00000132475,75776434,75785893,-,inside,7559,1900,Overlapping,chr177577833475778734,2.3771466479743,-0.3067500742211
14,75134407,75134807,401,*,36,ENSG00000170348,75131469,75176612,-,inside,42205,2938,Overlapping,chr147513440775134807,2.64864888297827,-0.608683380405053
1,40859867,40860267,401,*,39,ENSG00000179862,40861054,40862363,-,downstream,2496,787,NearestLocation,chr14085986740860267,5.08661676091726,-0.685560218861728
7,100100859,100101259,401,*,46,ENSG00000166508,100092728,100101940,-,inside,1081,681,Overlapping,chr7100100859100101259,3.82771591736454,-0.514510201578526
7,100100859,100101259,401,*,46,ENSG00000221838,100101549,100110345,+,upstream,-690,290,NearestLocation,chr7100100859100101259,3.82771591736454,-0.520100438513774
9,133991588,133991988,401,*,51,ENSG00000160293,133761894,133992604,-,inside,1016,616,NearestLocation,chr9133991588133991988,3.99743412288664,-1.60552512014153
18,21741114,21741514,401,*,53,ENSG00000101752,21704957,21870953,+,inside,36157,36157,Overlapping,chr182174111421741514,2.93511308368969,-0.441359703559629
1,7984922,7985322,401,*,55,ENSG00000116288,7954291,7985505,+,inside,30631,183,Overlapping,chr179849227985322,2.8886279279237,-0.733385894384073
2,65431600,65432000,401,*,59,ENSG00000198369,65310851,65432637,-,inside,1037,637,NearestLocation,chr26543160065432000,3.46811979070978,-0.276551688296915
1,40339710,40340110,401,*,63,ENSG00000084070,40344850,40423326,+,upstream,-5140,4740,NearestLocation,chr14033971040340110,3.54864463506975,-0.53493708775289
4,140381060,140381460,401,*,64,ENSG00000196951,140283724,140373406,-,upstream,-7654,7654,NearestLocation,chr4140381060140381460,3.31375318586673,-1.14717077920325
22,23787567,23787967,401,*,65,ENSG00000099956,23786931,23838009,+,inside,636,636,NearestLocation,chr222378756723787967,4.67157926163841,-0.371852483843221
6,39845233,39845633,401,*,67,ENSG00000146122,39792298,39904877,+,inside,52935,52935,Overlapping,chr63984523339845633,3.06427979519143,-0.404498848859439
17,66378673,66379073,401,*,70,ENSG00000154229,66302613,66810743,+,inside,76060,76060,Overlapping,chr176637867366379073,3.2184273567848,-1.3513561476323
7,24980781,24981181,401,*,73,ENSG00000070882,24796540,24981634,-,inside,853,453,NearestLocation,chr72498078124981181,3.78465400316751,-1.03801988285139
1,183626762,183627162,401,*,76,ENSG00000162704,183620846,183635783,-,inside,9021,5916,NearestLocation,chr1183626762183627162,3.27589046329778,-0.299981160084283
2,24075815,24076215,401,*,77,ENSG00000219626,24076526,24169640,+,upstream,-711,311,Overlapping,chr22407581524076215,3.52311800089441,-0.46281816910279
9,133375403,133375803,401,*,82,ENSG00000148248,133361450,133376166,-,inside,763,363,NearestLocation,chr9133375403133375803,2.55587643850124,-0.52262758578266
14,91509636,91510036,401,*,83,ENSG00000100796,91457508,91510554,-,inside,918,518,NearestLocation,chr149150963691510036,2.5876107190776,-0.716713190906572
10,32957551,32957951,401,*,91,ENSG00000150093,32887273,33005792,-,inside,48241,47841,Overlapping,chr103295755132957951,2.40844139321247,-0.968047228736855
7,56063498,56063898,401,*,104,ENSG00000129103,56064002,56080670,+,upstream,-504,104,NearestLocation,chr75606349856063898,3.47028300296959,-0.337608147419771
16,589389,589789,401,*,122,ENSG00000197562,589357,629272,+,inside,32,32,NearestLocation,chr16589389589789,3.5998740570191,-0.826265130514326
8,43140493,43140893,401,*,124,ENSG00000165102,43140464,43202855,+,inside,29,29,NearestLocation,chr84314049343140893,2.76644416039496,-0.263206153162852
17,66303186,66303586,401,*,126,ENSG00000154229,66302613,66810743,+,inside,573,573,NearestLocation,chr176630318666303586,2.70888507068052,-1.3513561476323
1,19713902,19714302,401,*,131,ENSG00000162542,19682240,19799945,-,inside,86043,31662,Overlapping,chr11971390219714302,2.99559702992642,-0.38291409559389
11,46845886,46846286,401,*,139,ENSG00000175216,46743048,46846308,-,inside,422,22,NearestLocation,chr114684588646846286,2.54020423841035,-0.431614554421463
7,39950779,39951179,401,*,164,ENSG00000065883,39950121,40099580,+,inside,658,658,NearestLocation,chr73995077939951179,2.69940973057001,-0.653609496199871
6,138693252,138693652,401,*,165,ENSG00000225177,138692548,138697288,+,inside,704,704,Overlapping,chr6138693252138693652,3.04626743388683,-1.16216268286013
1,156212746,156213146,401,*,173,ENSG00000160783,156212993,156240042,+,overlapStart,-247,153,Overlapping,chr1156212746156213146,2.9837126097642,-0.273918716292318
2,28771894,28772294,401,*,176,ENSG00000213639,28751640,28802940,+,inside,20254,20254,Overlapping,chr22877189428772294,2.88532050224843,-0.328348732803732
12,108731030,108731430,401,*,182,ENSG00000110880,108645109,108731526,-,inside,496,96,NearestLocation,chr12108731030108731430,2.12051065446512,-1.10026878056215
22,23094049,23094449,401,*,186,ENSG00000128266,23070519,23125032,+,inside,23530,23530,NearestLocation,chr222309404923094449,3.55879784413197,-0.842803503904189
8,47735370,47735770,401,*,187,ENSG00000164808,47260878,47736306,+,inside,474492,536,Overlapping,chr84773537047735770,3.55879784413197,-1.22145681431357
12,6533690,6534090,401,*,188,ENSG00000010292,6493356,6531955,+,downstream,40334,1735,Overlapping,chr1265336906534090,3.4072289790767,-0.393731877811717
2,10303292,10303692,401,*,191,ENSG00000115756,10302889,10427617,+,inside,403,403,NearestLocation,chr21030329210303692,2.92136792351668,-0.725674101795822
2,105791104,105791504,401,*,192,ENSG00000071051,105744912,105894274,+,inside,46192,46192,NearestLocation,chr2105791104105791504,2.84359393648137,-0.437569769509962
1,53855130,53855530,401,*,194,ENSG00000058799,53851719,53889798,-,inside,34668,3411,Overlapping,chr15385513053855530,3.27716444510662,-0.651960734174676
12,72272451,72272851,401,*,195,ENSG00000072657,72087266,72670758,+,inside,185185,185185,Overlapping,chr127227245172272851,2.96773193231015,-1.41836596447089
22,29769808,29770208,401,*,196,ENSG00000100319,29730956,29767011,-,upstream,-2797,2797,Overlapping,chr222976980829770208,1.91770277922898,-0.390744957469166
9,110049479,110049879,401,*,197,ENSG00000157654,109498325,110172512,+,inside,551154,122633,Overlapping,chr9110049479110049879,2.20683798195022,-0.959200062510515
5,135398567,135398967,401,*,198,ENSG00000113648,135334381,135399914,-,inside,1347,947,Overlapping,chr5135398567135398967,2.18483655774025,-0.319141904379672
11,64166231,64166631,401,*,202,ENSG00000133315,63998558,64166113,-,upstream,-118,118,NearestLocation,chr116416623164166631,3.39218971199525,-0.830025186403956
17,76146039,76146439,401,*,206,ENSG00000141576,76142465,76240493,-,inside,94454,3574,Overlapping,chr177614603976146439,2.83068987009449,-0.741957007261478
22,46250747,46251147,401,*,213,ENSG00000205643,46244011,46250311,-,upstream,-436,436,NearestLocation,chr224625074746251147,2.55219013597716,-0.585443803626755
12,76030732,76031132,401,*,217,ENSG00000257839,76032658,76033897,+,upstream,-1926,1526,Overlapping,chr127603073276031132,1.82699858314702,-0.875608336542298
9,133971349,133971749,401,*,224,ENSG00000160293,133761894,133992604,-,inside,21255,20855,NearestLocation,chr9133971349133971749,2.81790020060373,-1.60552512014153
18,48660029,48660429,401,*,232,ENSG00000134030,48539031,48863217,+,inside,120998,120998,Overlapping,chr184866002948660429,2.48840851624057,-0.972696755694333
10,86968074,86968474,401,*,236,ENSG00000272734,86965345,86971311,-,inside,3237,2729,Overlapping,chr108696807486968474,2.76518808224737,-0.631162638975146
10,86968074,86968474,401,*,236,ENSG00000148671,86968432,86983934,+,overlapStart,-358,42,NearestLocation,chr108696807486968474,2.76518808224737,-0.739632803208423
10,86968074,86968474,401,*,236,ENSG00000271880,86970741,87010126,+,upstream,-2667,2267,Overlapping,chr108696807486968474,2.76518808224737,-0.667911830854199
6,34282105,34282505,401,*,240,ENSG00000272325,34279679,34392669,-,inside,110564,2426,Overlapping,chr63428210534282505,3.960769975148,-0.39412076300546
6,166505546,166505946,401,*,241,ENSG00000071242,166409364,166906451,-,inside,400905,96182,Overlapping,chr6166505546166505946,3.73331740880338,-1.31166191061961
17,13601494,13601894,401,*,250,ENSG00000153976,13494032,13601929,-,inside,435,35,NearestLocation,chr171360149413601894,3.10434932680315,-0.313014726969703
4,10020529,10020929,401,*,252,ENSG00000109667,9771153,10054936,-,inside,34407,34007,Overlapping,chr41002052910020929,3.10434932680315,-0.66187940733228
17,12115435,12115835,401,*,259,ENSG00000065559,12020829,12143830,+,inside,94606,27995,Overlapping,chr171211543512115835,2.38796956388036,-0.805909383722949
9,134625092,134625492,401,*,270,ENSG00000130635,134641803,134844843,+,upstream,-16711,16311,NearestLocation,chr9134625092134625492,3.82358235508346,-1.13105545080406
11,85663164,85663564,401,*,279,ENSG00000171202,85647967,85656547,+,downstream,15197,6617,NearestLocation,chr118566316485663564,2.5998740570191,-0.63375610862506
1,161159268,161159668,401,*,298,ENSG00000143258,161159450,161165723,+,overlapStart,-182,182,Overlapping,chr1161159268161159668,3.08451936716423,-0.621535570041523
10,122113110,122113510,401,*,302,ENSG00000138162,121989163,122254545,+,inside,123947,123947,Overlapping,chr10122113110122113510,2.97383534341081,-0.857641517360323
1,56535612,56536012,401,*,304,ENSG00000162407,56494761,56645301,-,inside,109689,40851,Overlapping,chr15653561256536012,2.77508685436776,-1.06254352122242
13,75636296,75636696,401,*,319,ENSG00000261105,75604700,75635994,-,upstream,-302,302,NearestLocation,chr137563629675636696,2.73782748286781,-0.488620099849408
7,1906249,1906649,401,*,323,ENSG00000002822,1815793,2233243,-,inside,326994,90456,Overlapping,chr719062491906649,2.5876107190776,-1.04933341471479
19,10961358,10961758,401,*,325,ENSG00000127616,10960932,11079426,+,inside,426,426,NearestLocation,chr191096135810961758,2.51798763864371,-0.274712007793433
8,38468012,38468412,401,*,326,ENSG00000077782,38400215,38468834,-,inside,822,422,NearestLocation,chr83846801238468412,2.51798763864371,-1.09188148191986
