seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
10,124916919,124917319,401,*,10,ENSG00000249456,124917143,124942881,+,overlapStart,-224,176,Overlapping,chr10124916919124917319,0.67304416090998,-0.773716767232618
10,3784657,3785057,401,*,21,ENSG00000067082,3775996,3785281,-,inside,624,224,NearestLocation,chr1037846573785057,0.634763563591711,-0.310176071494509
16,89489690,89490090,401,*,22,ENSG00000167522,89267630,89490561,-,inside,871,471,NearestLocation,chr168948969089490090,0.588087813702484,-0.621295472677478
13,27171207,27171607,401,*,35,ENSG00000152484,27066156,27171811,-,inside,604,204,NearestLocation,chr132717120727171607,0.628861695925541,-0.467904635986039
7,128031618,128032018,401,*,52,ENSG00000197157,127652194,128092609,+,inside,379424,60591,Overlapping,chr7128031618128032018,0.985525470195692,-0.511582179884699
12,6927762,6928162,401,*,63,ENSG00000111676,6924463,6942321,+,inside,3299,3299,NearestLocation,chr1269277626928162,0.69281250040019,-0.34427943995906
22,49827355,49827755,401,*,69,ENSG00000100425,49773283,49827873,-,inside,518,118,NearestLocation,chr224982735549827755,0.626358365626468,-0.754809790866663
20,37178997,37179397,401,*,114,ENSG00000118705,37178410,37241619,+,inside,587,587,NearestLocation,chr203717899737179397,0.661382716750996,-0.282887713330941
22,37019392,37019792,401,*,124,ENSG00000128309,37019635,37029821,+,overlapStart,-243,157,NearestLocation,chr223701939237019792,0.661995588412884,-0.328768825128964
14,89417096,89417496,401,*,148,ENSG00000259053,89412312,89954659,-,inside,537563,4784,Overlapping,chr148941709689417496,0.732365665516614,-0.534511452316497
1,9293128,9293528,401,*,151,ENSG00000171621,9292894,9369532,+,inside,234,234,NearestLocation,chr192931289293528,0.407915703920105,-0.424031160934441
22,37906295,37906695,401,*,168,ENSG00000100139,37905657,37942822,+,inside,638,638,NearestLocation,chr223790629537906695,0.614160308056665,-0.380912992472862
13,48037640,48038040,401,*,174,ENSG00000136159,48037726,48047221,+,overlapStart,-86,86,NearestLocation,chr134803764048038040,1.06138254227379,-1.09492735910876
1,22710475,22710875,401,*,182,ENSG00000133216,22710839,22921500,+,overlapStart,-364,36,NearestLocation,chr12271047522710875,0.802276753507416,-0.853669204518369
2,84970788,84971188,401,*,183,ENSG00000176407,84971093,85059472,+,overlapStart,-305,95,NearestLocation,chr28497078884971188,0.602948527078074,-0.321692511172656
3,113019301,113019701,401,*,185,ENSG00000163608,113002444,113019861,-,inside,560,160,Overlapping,chr3113019301113019701,0.828946337196286,-0.680410981780209
2,43226172,43226572,401,*,196,ENSG00000152518,43222402,43226606,-,inside,434,34,NearestLocation,chr24322617243226572,0.624857736679131,-0.426742638502267
10,126905394,126905794,401,*,239,ENSG00000150760,126905409,127452517,+,overlapStart,-15,15,NearestLocation,chr10126905394126905794,0.543742507083628,-0.65850091480201
16,74606731,74607131,401,*,259,ENSG00000090863,74447427,74607144,-,inside,413,13,NearestLocation,chr167460673174607131,0.594865629757508,-1.23830022578569
1,31937967,31938367,401,*,263,ENSG00000184007,31906421,31944856,-,inside,6889,6489,Overlapping,chr13193796731938367,0.590650040004431,-0.532592685945243
12,57110786,57111186,401,*,293,ENSG00000123384,57128483,57213361,+,upstream,-17697,17297,NearestLocation,chr125711078657111186,0.83393387603019,-0.33653352739686
