seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
6,110875339,110875739,401,*,29,ENSG00000123505,110874770,110898879,+,inside,569,569,NearestLocation,chr6110875339110875739,0.62837035035268,0.36932156299747
1,35192292,35192692,401,*,45,ENSG00000116560,35176378,35193446,-,inside,1154,754,NearestLocation,chr13519229235192692,0.526255156366153,0.352693124487321
17,51166507,51166907,401,*,232,ENSG00000011052,51153590,51171744,+,inside,12917,4837,Overlapping,chr175116650751166907,0.747157262458607,0.203337291273514
19,13153718,13154118,401,*,244,ENSG00000160888,13150411,13154911,+,inside,3307,793,Overlapping,chr191315371813154118,0.494408177313845,0.564307754083759
14,49599704,49600104,401,*,258,ENSG00000165501,49598761,49614672,+,inside,943,943,Overlapping,chr144959970449600104,0.564309504605425,0.279850282467447
14,49599704,49600104,401,*,258,ENSG00000258568,49599994,49600572,+,overlapStart,-290,110,NearestLocation,chr144959970449600104,0.564309504605425,0.418234030624395
14,22837188,22837588,401,*,381,ENSG00000172590,22829879,22835037,+,downstream,7309,2151,Overlapping,chr142283718822837588,0.491098110675892,0.319438262508775
9,122346871,122347271,401,*,423,ENSG00000095303,122370530,122395703,+,upstream,-23659,23259,NearestLocation,chr9122346871122347271,0.911156803417478,0.319092477840919
10,17229870,17230270,401,*,532,ENSG00000026025,17228241,17237593,+,inside,1629,1629,Overlapping,chr101722987017230270,0.368814814801373,0.318892260170399
1,150578845,150579245,401,*,633,ENSG00000143384,150560895,150579738,-,inside,893,493,NearestLocation,chr1150578845150579245,0.380655631621653,0.558135008147191
14,55129204,55129604,401,*,689,ENSG00000131981,55124110,55145423,+,inside,5094,5094,NearestLocation,chr145512920455129604,0.429544587895328,0.285602903328021
12,53452271,53452671,401,*,761,ENSG00000197111,53452102,53481162,+,inside,169,169,NearestLocation,chr125345227153452671,0.482316548898083,0.291484570251795
1,20485270,20485670,401,*,779,ENSG00000162545,20482391,20486210,-,inside,940,540,NearestLocation,chr12048527020485670,0.477021816226209,0.344635418257214
8,123395950,123396350,401,*,882,ENSG00000156802,123319850,123416350,-,inside,20400,20000,Overlapping,chr8123395950123396350,0.380988802150537,0.333030748436106
19,17859843,17860243,401,*,1027,ENSG00000105640,17859910,17864153,+,overlapStart,-67,67,NearestLocation,chr191785984317860243,0.524156892309775,0.260628688943426
14,24179846,24180246,401,*,1060,ENSG00000196497,24180219,24188869,-,overlapEnd,9023,27,Overlapping,chr142417984624180246,2.26173043528836,0.405948850279559
11,64878010,64878410,401,*,1113,ENSG00000110047,64851642,64888296,-,inside,10286,9886,Overlapping,chr116487801064878410,0.553555404367491,0.269578066459848
12,130872158,130872558,401,*,1156,ENSG00000132341,130872037,130877678,+,inside,121,121,NearestLocation,chr12130872158130872558,0.438232477567525,0.199171609776689
7,139360008,139360408,401,*,1500,ENSG00000269955,139341360,139422599,+,inside,18648,18648,Overlapping,chr7139360008139360408,0.351557678345846,0.172472868665585
10,86970755,86971155,401,*,1592,ENSG00000148671,86968432,86983934,+,inside,2323,2323,Overlapping,chr108697075586971155,0.427945931686428,0.3645577809311
10,130136546,130136946,401,*,1694,ENSG00000108010,130136391,130184521,+,inside,155,155,NearestLocation,chr10130136546130136946,0.401969677943471,0.255321481906336
15,101294763,101295163,401,*,1745,ENSG00000131876,101281510,101295282,-,inside,519,119,NearestLocation,chr15101294763101295163,0.463364296458016,0.20146526710641
7,43869070,43869470,401,*,1900,ENSG00000062582,43866558,43869893,-,inside,823,423,NearestLocation,chr74386907043869470,0.377846990653711,0.419007067443088
7,2241718,2242118,401,*,1919,ENSG00000106268,2242226,2251146,+,upstream,-508,108,Overlapping,chr722417182242118,0.405946512007177,0.235170968932167
11,64856205,64856605,401,*,1921,ENSG00000110047,64851642,64888296,-,inside,32091,4563,Overlapping,chr116485620564856605,1.33737679788034,0.269578066459848
12,93441547,93441947,401,*,2059,ENSG00000177889,93405673,93441947,-,inside,400,0,NearestLocation,chr129344154793441947,0.246779384216762,0.247621812873212
15,89814296,89814696,401,*,2145,ENSG00000166825,89784895,89815401,-,inside,1105,705,NearestLocation,chr158981429689814696,0.598043075559815,0.341189632329228
6,31795663,31796063,401,*,2154,ENSG00000204392,31797396,31806966,-,downstream,11303,1333,Overlapping,chr63179566331796063,0.37684073203343,0.252583706450817
7,133081732,133082132,401,*,2384,ENSG00000106554,132784870,133082090,-,overlapStart,358,42,NearestLocation,chr7133081732133082132,0.48863530833304,0.199620437500227
22,37804761,37805161,401,*,2437,ENSG00000189060,37805229,37807432,+,upstream,-468,68,NearestLocation,chr223780476137805161,0.470344695209315,0.289952271936324
15,89893623,89894023,401,*,2509,ENSG00000250021,89834308,89912882,-,inside,19259,18859,Overlapping,chr158989362389894023,0.467979896130983,0.43713904731458
15,89893623,89894023,401,*,2509,ENSG00000242498,89895006,89912952,-,downstream,19329,983,Overlapping,chr158989362389894023,0.467979896130983,0.417381079243376
1,153612710,153613110,401,*,2723,ENSG00000188643,153606886,153613145,-,inside,435,35,NearestLocation,chr1153612710153613110,0.389074531611547,0.239451710218215
