seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
9,96418106,96418506,401,*,X6,ENSG00000165244,96385941,96418370,32430,-,0,overlapStart,0,zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320],chr99641810696418506,-2.13481679790235,-1.92034820655267
10,128126064,128126464,401,*,X18,ENSG00000148773,128096659,128126423,29765,-,0,overlapStart,0,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107],chr10128126064128126464,-1.38013478998668,-1.75688800320305
13,113584714,113585114,401,*,X49,ENSG00000198176,113584721,113641473,56753,+,0,overlapStart,0,transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749],chr13113584714113585114,-0.88243894930446,-0.50948235916752
10,13161509,13161909,401,*,X52,ENSG00000065328,13161558,13211110,49553,+,0,overlapStart,0,minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043],chr101316150913161909,-1.74012456475664,-1.74537609916173
13,113491020,113491420,401,*,X56,ENSG00000150403,113491021,113554590,63570,+,0,overlapStart,0,transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329],chr13113491020113491420,-0.921395891562462,-0.61073112121631
19,11155420,11155820,401,*,X60,ENSG00000161888,11131520,11155807,24288,-,0,overlapStart,0,SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913],chr191115542011155820,-1.26821346830336,-1.38286882983421
12,10613220,10613620,401,*,X68,ENSG00000111196,10604193,10613609,9417,-,0,overlapStart,0,mago homolog B, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:25504],chr121061322010613620,-1.17756733779211,-0.302379431486882
6,24774928,24775328,401,*,X86,ENSG00000112312,24774931,24786099,11169,+,0,overlapStart,0,geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493],chr62477492824775328,-1.22427452833221,-0.988080870911176
12,132686758,132687158,401,*,X100,ENSG00000176894,132687587,132704985,17399,+,428,upstream,428,peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716],chr12132686758132687158,-1.01343397679457,-0.681005074914355
6,89829854,89830254,401,*,X113,ENSG00000118412,89829894,89874436,44543,+,0,overlapStart,0,caspase 8 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1510],chr68982985489830254,-1.23223448121196,-0.456694623099667
13,52455396,52455796,401,*,X172,ENSG00000136108,52455429,52476628,21200,+,0,overlapStart,0,cytoskeleton associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1990],chr135245539652455796,-0.919159837110517,-0.633043250169204
3,52770603,52771003,401,*,X177,ENSG00000114904,52708444,52770946,62503,-,0,overlapStart,0,NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399],chr35277060352771003,-0.900627048084734,-0.516114490394559
17,74987624,74988024,401,*,X206,ENSG00000109089,74987632,75005800,18169,+,0,overlapStart,0,cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999],chr177498762474988024,-0.77876603631298,-0.370812958002651
7,135557866,135558266,401,*,X218,ENSG00000155561,135557917,135648757,90841,+,0,overlapStart,0,nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658],chr7135557866135558266,-0.953817626597724,-0.754241213318425
10,62268560,62268960,401,*,X225,ENSG00000182010,62183035,62268844,85810,-,0,overlapStart,0,rhotekin 2 [Source:HGNC Symbol;Acc:HGNC:19364],chr106226856062268960,-1.07722640439104,-0.773136375391932
2,238158922,238159322,401,*,X229,ENSG00000178752,238158970,238168900,9931,+,0,overlapStart,0,erythroferrone [Source:HGNC Symbol;Acc:HGNC:26727],chr2238158922238159322,-1.0366930435549,-1.56797282749793
13,94601773,94602173,401,*,X237,ENSG00000152749,94601857,94634661,32805,+,0,overlapStart,0,G protein-coupled receptor 180 [Source:HGNC Symbol;Acc:HGNC:28899],chr139460177394602173,-0.749818005256394,-0.903548099449955
20,17968203,17968603,401,*,X245,ENSG00000125871,17969018,17991122,22105,+,414,upstream,414,mitochondrial genome maintenance exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:16205],chr201796820317968603,-0.553400150231507,-0.398643259737597
4,1871111,1871511,401,*,X260,ENSG00000109685,1871393,1982207,110815,+,0,overlapStart,0,nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766],chr418711111871511,-0.948460807322363,-0.651510458103062
1,89633038,89633438,401,*,X270,ENSG00000171488,89633072,89769903,136832,+,0,overlapStart,0,leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075],chr18963303889633438,-0.731828087970105,-0.649276578630948
1,89633038,89633438,401,*,X270,ENSG00000271949,89633140,89933250,300111,+,0,overlapStart,0,novel transcript, LRRC8C-LRRC8D readthrough,chr18963303889633438,-0.731828087970105,-0.640734461132715
18,46104359,46104759,401,*,X291,ENSG00000152240,46104378,46128333,23956,+,0,overlapStart,0,HAUS augmin like complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:25174],chr184610435946104759,-0.973617719184115,-0.609549072867544
9,37592143,37592543,401,*,X306,ENSG00000256966,37512547,37592469,79923,-,0,overlapStart,0,novel transcript,chr93759214337592543,-0.742246529678497,-0.27767603954669
1,100132676,100133076,401,*,X312,ENSG00000156876,100083563,100132955,49393,-,0,overlapStart,0,SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403],chr1100132676100133076,-1.25888845708392,-1.43165654594253
