seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
2,85581705,85582105,401,*,X3,ENSG00000168899,85584431,85593406,8976,+,2325,upstream,2325,vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646],chr28558170585582105,3.69905039595297,-0.682976603511285
5,139293529,139293929,401,*,X12,ENSG00000120725,138946724,139293557,346834,-,0,overlapStart,0,SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624],chr5139293529139293929,4.50336543927344,-1.25347974937547
14,74493065,74493465,401,*,X14,ENSG00000165898,74493756,74497106,3351,+,290,upstream,290,iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857],chr147449306574493465,3.61080911334256,-0.37427259231222
15,84747706,84748106,401,*,X56,ENSG00000166716,84748592,84806445,57854,+,485,upstream,485,zinc finger protein 592 [Source:HGNC Symbol;Acc:HGNC:28986],chr158474770684748106,3.1425928437343,-0.40375557196279
6,166998138,166998538,401,*,X106,ENSG00000213066,166999317,167094789,95473,+,778,upstream,778,centrosomal protein 43 [Source:HGNC Symbol;Acc:HGNC:17012],chr6166998138166998538,3.69993313755895,-1.01530843901932
19,47111535,47111935,401,*,X111,ENSG00000142230,47113274,47210636,97363,+,1338,upstream,1338,SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660],chr194711153547111935,3.21810257333118,-0.568808966616999
7,56063084,56063484,401,*,X181,ENSG00000129103,56064002,56080670,16669,+,517,upstream,517,sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415],chr75606308456063484,2.48545443100335,-0.863657514240276
17,4986890,4987290,401,*,X211,ENSG00000262227,4987706,4988446,741,+,415,upstream,415,novel transcript, antisense to INCA1,chr1749868904987290,2.47638785553839,-0.547369609745043
17,81238365,81238765,401,*,X350,ENSG00000224877,81239305,81241310,2006,+,539,upstream,539,NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551],chr178123836581238765,3.74387444073556,-0.283205067368207
18,36187857,36188257,401,*,X367,ENSG00000260552,36179996,36187459,7464,-,397,upstream,397,cell fate and sterol metabolism associated divergent transcript of MOCOS [Source:HGNC Symbol;Acc:HGNC:51610],chr183618785736188257,2.96409824136856,-1.35382901378497
15,42210739,42211139,401,*,X371,ENSG00000166887,42158701,42208307,49607,-,2431,upstream,2431,VPS39 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:20593],chr154221073942211139,2.22567905536176,-0.549339950797073
1,7953948,7954348,401,*,X454,ENSG00000116288,7954291,7985505,31215,+,0,overlapStart,0,Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369],chr179539487954348,2.54651791668709,-0.376782949238491
11,60914105,60914505,401,*,X458,ENSG00000110108,60914158,60923443,9286,+,0,overlapStart,0,transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771],chr116091410560914505,2.30579462233367,-0.333692657895204
13,50126581,50126981,401,*,X491,ENSG00000231607,49956670,50125720,169051,-,860,upstream,860,deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748],chr135012658150126981,3.11497063683779,-0.584154092133932
19,6279612,6280012,401,*,X575,ENSG00000130382,6210381,6279975,69595,-,0,overlapStart,0,MLLT1 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7134],chr1962796126280012,2.81947288252188,-0.805575656227936
2,108719400,108719800,401,*,X640,ENSG00000153201,108719482,108785809,66328,+,0,overlapStart,0,RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848],chr2108719400108719800,3.09055489956961,-0.408693422681228
13,75636318,75636718,401,*,X993,ENSG00000261105,75604700,75635994,31295,-,323,upstream,323,LMO7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50277],chr137563631875636718,2.26151218997097,-0.588022722299499
19,2165744,2166144,401,*,X1072,ENSG00000065000,2100988,2164468,63481,-,1275,upstream,1275,adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568],chr1921657442166144,2.42594061426927,-0.574551916187662
11,118996337,118996737,401,*,X1075,ENSG00000186166,118998138,119015793,17656,+,1400,upstream,1400,centrosomal AT-AC splicing factor [Source:HGNC Symbol;Acc:HGNC:30460],chr11118996337118996737,2.32887748674844,-1.33277359730987
3,50608358,50608758,401,*,X1189,ENSG00000114738,50611520,50649291,37772,+,2761,upstream,2761,MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888],chr35060835850608758,2.18121625316874,-0.279395230509985
11,16740860,16741260,401,*,X1339,ENSG00000110693,15966449,16739591,773143,-,1268,upstream,1268,SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421],chr111674086016741260,2.41074765127357,-0.530774359420307
20,35700731,35701131,401,*,X1352,ENSG00000244005,35668052,35699355,31304,-,1375,upstream,1375,NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910],chr203570073135701131,2.31466821308399,-0.9726677302762
1,93176532,93176932,401,*,X1371,ENSG00000122483,93179919,93278730,98812,+,2986,upstream,2986,coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370],chr19317653293176932,1.75370184164208,-1.04183457049748
22,50481450,50481850,401,*,X1566,ENSG00000128165,50481543,50486440,4898,+,0,overlapStart,0,adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898],chr225048145050481850,1.70610218588668,-4.86273628655142
1,223992954,223993354,401,*,X1821,ENSG00000272645,223951394,223992625,41232,-,328,upstream,328,general transcription factor IIi pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:51732],chr1223992954223993354,3.06654549970546,-1.0059591213125
6,159760714,159761114,401,*,X1841,ENSG00000120437,159762045,159779112,17068,+,930,upstream,930,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94],chr6159760714159761114,2.69993313755895,-0.507323149024806
3,47380076,47380476,401,*,X2101,ENSG00000076201,47381011,47413435,32425,+,534,upstream,534,protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406],chr34738007647380476,2.03622472758067,-0.482569958380224
14,50418527,50418927,401,*,X2401,ENSG00000100490,50326265,50416461,90197,-,2065,upstream,2065,cyclin dependent kinase like 1 [Source:HGNC Symbol;Acc:HGNC:1781],chr145041852750418927,2.52454659580476,-0.929849043689863
3,9746833,9747233,401,*,X2455,ENSG00000114026,9749944,9788219,38276,+,2710,upstream,2710,8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125],chr397468339747233,1.74025222819152,-1.17072712878792
10,86967312,86967712,401,*,X2460,ENSG00000148671,86968432,86983934,15503,+,719,upstream,719,adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043],chr108696731286967712,1.6436834512727,-0.761548056502938
1,11691646,11692046,401,*,X2463,ENSG00000116670,11674480,11691650,17171,-,0,overlapStart,0,mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764],chr11169164611692046,1.95525399233155,-0.407965861044394
1,1402080,1402480,401,*,X2662,ENSG00000221978,1385711,1399335,13625,-,2744,upstream,2744,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],chr114020801402480,1.28467490223692,-0.621899419660069
