seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
10,124916919,124917319,401,*,X10,ENSG00000249456,124917143,124942881,25739,+,0,overlapStart,0,novel transcript, sense overlapping ZRANB1,chr10124916919124917319,0.67304416090998,-0.773716767232618
22,37019392,37019792,401,*,X124,ENSG00000128309,37019635,37029821,10187,+,0,overlapStart,0,mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223],chr223701939237019792,0.661995588412884,-0.328768825128964
13,48037640,48038040,401,*,X174,ENSG00000136159,48037726,48047221,9496,+,0,overlapStart,0,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063],chr134803764048038040,1.06138254227379,-1.09492735910876
1,22710475,22710875,401,*,X182,ENSG00000133216,22710839,22921500,210662,+,0,overlapStart,0,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393],chr12271047522710875,0.802276753507416,-0.853669204518369
2,84970788,84971188,401,*,X183,ENSG00000176407,84971093,85059472,88380,+,0,overlapStart,0,potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589],chr28497078884971188,0.602948527078074,-0.321692511172656
10,126905394,126905794,401,*,X239,ENSG00000150760,126905409,127452517,547109,+,0,overlapStart,0,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987],chr10126905394126905794,0.543742507083628,-0.65850091480201
12,123972310,123972710,401,*,X566,ENSG00000270095,123971457,123971714,258,-,595,upstream,595,novel transcript, sense intronic to CCDC92,chr12123972310123972710,0.573607381866652,-0.746350293775389
8,10054288,10054688,401,*,X571,ENSG00000175806,10054292,10428891,374600,+,0,overlapStart,0,methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377],chr81005428810054688,0.584756956998139,-0.811566141261196
10,22003397,22003797,401,*,X703,ENSG00000136770,21756548,22003769,247222,-,0,overlapStart,0,DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090],chr102200339722003797,0.648741303113662,-0.509156597145836
1,72283324,72283724,401,*,X709,ENSG00000172260,71395943,72282539,886597,-,784,upstream,784,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302],chr17228332472283724,0.659954038443727,-0.642484442494773
4,38867724,38868124,401,*,X732,ENSG00000207944,38868032,38868127,96,+,0,overlapStart,0,microRNA 574 [Source:HGNC Symbol;Acc:HGNC:32830],chr43886772438868124,0.457280181786961,-0.66392244085802
8,23457312,23457712,401,*,X769,ENSG00000197217,23385783,23457695,71913,-,0,overlapStart,0,ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573],chr82345731223457712,0.464342460722807,-0.820722461417942
6,30326819,30327219,401,*,X959,ENSG00000270604,30234039,30326134,92096,-,684,upstream,684,HLA complex group 17 [Source:HGNC Symbol;Acc:HGNC:31339],chr63032681930327219,0.536609305296181,-1.24662039130303
16,17470664,17471064,401,*,X1018,ENSG00000103489,17101769,17470960,369192,-,0,overlapStart,0,xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516],chr161747066417471064,0.526420918436344,-0.877839776857248
4,5711158,5711558,401,*,X1109,ENSG00000072840,5711201,5814305,103105,+,0,overlapStart,0,EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497],chr457111585711558,0.529534684228324,-0.582343223531574
17,51260481,51260881,401,*,X1177,ENSG00000011258,51177425,51260163,82739,-,317,upstream,317,mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866],chr175126048151260881,0.798139102451121,-0.623215168785588
18,11908427,11908827,401,*,X1191,ENSG00000154889,11882622,11908366,25745,-,60,upstream,60,metallophosphoesterase 1 [Source:HGNC Symbol;Acc:HGNC:15988],chr181190842711908827,0.675494753222985,-0.750738107902906
3,42013753,42014153,401,*,X1228,ENSG00000182606,42013802,42225890,212089,+,0,overlapStart,0,trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947],chr34201375342014153,0.360113828676901,-0.603264295265564
X,123732666,123733066,401,*,X1262,ENSG00000125676,123600561,123733056,132496,-,0,overlapStart,0,THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073],chrX123732666123733066,0.645006830799039,-0.505745374668659
5,154190375,154190775,401,*,X1310,ENSG00000164574,154190730,154420984,230255,+,0,overlapStart,0,polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873],chr5154190375154190775,0.491734397450491,-1.02249609520584
19,1848144,1848544,401,*,X1321,ENSG00000079313,1815248,1848483,33236,-,0,overlapStart,0,RNA exonuclease 1 homolog [Source:HGNC Symbol;Acc:HGNC:24616],chr1918481441848544,0.299963874464129,-0.448783513058454
2,109128980,109129380,401,*,X1446,ENSG00000172985,109129205,109504634,375430,+,0,overlapStart,0,SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699],chr2109128980109129380,0.537545763173007,-0.802673994952414
12,15882412,15882812,401,*,X1503,ENSG00000151491,15620134,15882329,262196,-,82,upstream,82,epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420],chr121588241215882812,0.445863424351615,-0.290582802507432
9,100098451,100098851,401,*,X1598,ENSG00000119509,100099243,100302175,202933,+,391,upstream,391,inversin [Source:HGNC Symbol;Acc:HGNC:17870],chr9100098451100098851,0.481289274410561,-0.547838384655606
10,120456873,120457273,401,*,X1703,ENSG00000203805,120457227,120592065,134839,+,0,overlapStart,0,phospholipid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:23531],chr10120456873120457273,0.57665894960433,-0.899144862426953
5,892500,892900,401,*,X2028,ENSG00000071539,892884,919357,26474,+,0,overlapStart,0,thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307],chr5892500892900,0.398659765048679,-0.265504640765815
11,117098087,117098487,401,*,X2039,ENSG00000160584,116843402,117098437,255036,-,0,overlapStart,0,SIK family kinase 3 [Source:HGNC Symbol;Acc:HGNC:29165],chr11117098087117098487,0.398945261003038,-0.861507869071238
13,23979693,23980093,401,*,X2269,ENSG00000182957,23979805,24307074,327270,+,0,overlapStart,0,spermatogenesis associated 13 [Source:HGNC Symbol;Acc:HGNC:23222],chr132397969323980093,0.578087508338694,-0.753612924553894
12,95217657,95218057,401,*,X2603,ENSG00000028203,95217746,95302799,85054,+,0,overlapStart,0,vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258],chr129521765795218057,0.555160752417489,-0.426241030695391
6,100464935,100465335,401,*,X2816,ENSG00000112246,100385009,100464921,79913,-,13,upstream,13,SIM bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10882],chr6100464935100465335,0.618151291922255,-0.817625602553078
10,112446998,112447398,401,*,X3179,ENSG00000151532,112446998,112818744,371747,+,0,inside,0,vesicle transport through interaction with t-SNAREs 1A [Source:HGNC Symbol;Acc:HGNC:17792],chr10112446998112447398,0.475339154438203,-0.480673186795548
17,4997843,4998243,401,*,X3198,ENSG00000129250,4997950,5028401,30452,+,0,overlapStart,0,kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317],chr1749978434998243,0.490601967900714,-0.266773911517834
