seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
11,126942932,126943332,401,*,1842,ENSG00000149571,126423358,127003460,-,inside,60528,60128,Overlapping,chr11126942932126943332,3.3909651558423,-1.04950156715491
12,131943275,131943675,401,*,1990,ENSG00000183495,131949942,132080460,+,upstream,-6667,6267,NearestLocation,chr12131943275131943675,3.37031732171712,-0.811544296603899
22,37941420,37941820,401,*,2636,ENSG00000100139,37905657,37942822,+,inside,35763,1002,Overlapping,chr223794142037941820,2.90368369037245,-1.06218050991237
5,169754855,169755255,401,*,2742,ENSG00000134516,169637268,170083382,+,inside,117587,117587,Overlapping,chr5169754855169755255,4.4893861913895,-0.747271339229919
2,109258470,109258870,401,*,2844,ENSG00000172985,109129205,109504634,+,inside,129265,129265,Overlapping,chr2109258470109258870,3.58183779899859,-0.666753890961016
19,45364470,45364870,401,*,2878,ENSG00000104884,45349837,45370918,-,inside,6448,6048,NearestLocation,chr194536447045364870,2.87957419810907,-0.640400377410335
16,84285215,84285615,401,*,3078,ENSG00000103175,84294846,84329844,+,upstream,-9631,9231,NearestLocation,chr168428521584285615,4.25685142990719,-0.640186752242335
20,61800746,61801146,401,*,3131,ENSG00000179242,61252261,61940617,+,inside,548485,139471,Overlapping,chr206180074661801146,3.23074030660551,-1.08435117522063
20,61724180,61724580,401,*,3550,ENSG00000179242,61252261,61940617,+,inside,471919,216037,Overlapping,chr206172418061724580,2.78003852455816,-1.08435117522063
19,18932707,18933107,401,*,3772,ENSG00000268193,18907013,18934397,-,inside,1690,1290,NearestLocation,chr191893270718933107,2.93023947033239,-0.423779194404354
19,18932707,18933107,401,*,3772,ENSG00000051128,18929201,18941261,-,inside,8554,3506,Overlapping,chr191893270718933107,2.93023947033239,-0.416984271052316
20,61329177,61329577,401,*,3878,ENSG00000179242,61252261,61940617,+,inside,76916,76916,Overlapping,chr206132917761329577,3.23620276339349,-1.08435117522063
2,109396185,109396585,401,*,4413,ENSG00000172985,109129205,109504634,+,inside,266980,108049,Overlapping,chr2109396185109396585,2.84069819879379,-0.666753890961016
14,69713543,69713943,401,*,4619,ENSG00000100647,69611596,69715144,+,inside,101947,1201,Overlapping,chr146971354369713943,2.91417485829358,-0.70231962578519
3,128361336,128361736,401,*,4628,ENSG00000132394,128153481,128408646,+,inside,207855,46910,Overlapping,chr3128361336128361736,3.36434885379135,-1.08204838535492
20,61738098,61738498,401,*,4967,ENSG00000179242,61252261,61940617,+,inside,485837,202119,Overlapping,chr206173809861738498,3.00577383494772,-1.08435117522063
18,7936146,7936546,401,*,4996,ENSG00000173482,7566782,8406861,+,inside,369364,369364,Overlapping,chr1879361467936546,2.38445291254009,-0.601176115996382
2,109371659,109372059,401,*,5138,ENSG00000172985,109129205,109504634,+,inside,242454,132575,Overlapping,chr2109371659109372059,2.83566947130684,-0.666753890961016
12,132068182,132068582,401,*,5244,ENSG00000183495,131949942,132080460,+,inside,118240,11878,Overlapping,chr12132068182132068582,2.44730782110312,-0.811544296603899
3,128341872,128342272,401,*,5710,ENSG00000132394,128153481,128408646,+,inside,188391,66374,Overlapping,chr3128341872128342272,2.44481264316215,-1.08204838535492
5,122053959,122054359,401,*,6078,ENSG00000113083,122063195,122078413,-,downstream,24454,8836,NearestLocation,chr5122053959122054359,2.44121998971664,-0.345045380636044
3,128329542,128329942,401,*,6161,ENSG00000132394,128153481,128408646,+,inside,176061,78704,Overlapping,chr3128329542128329942,2.2010955856419,-1.08204838535492
8,1837416,1837816,401,*,6199,ENSG00000104728,1823926,1958641,+,inside,13490,13490,NearestLocation,chr818374161837816,2.81057428598097,-0.588767598328338
9,123395522,123395922,401,*,6362,ENSG00000119522,123379654,123930152,-,inside,534630,15868,Overlapping,chr9123395522123395922,2.21151243998785,-0.381365003554161
7,158783334,158783734,401,*,6416,ENSG00000117868,158730995,158830253,-,inside,46919,46519,NearestLocation,chr7158783334158783734,2.40111082122087,-1.40839800589578
8,1853070,1853470,401,*,6585,ENSG00000104728,1823926,1958641,+,inside,29144,29144,NearestLocation,chr818530701853470,2.73384089244364,-0.588767598328338
14,89308920,89309320,401,*,6741,ENSG00000053254,89124871,89619149,-,inside,310229,184049,Overlapping,chr148930892089309320,2.57460095512128,-0.686039216433175
22,37932127,37932527,401,*,6897,ENSG00000100139,37905657,37942822,+,inside,26470,10295,Overlapping,chr223793212737932527,2.05591513847672,-1.06218050991237
17,82938820,82939220,401,*,6922,ENSG00000141556,82752042,82945914,+,inside,186778,6694,Overlapping,chr178293882082939220,3.11356219353476,-1.49452411036692
20,61331243,61331643,401,*,7269,ENSG00000179242,61252261,61940617,+,inside,78982,78982,Overlapping,chr206133124361331643,2.80071775658955,-1.08435117522063
7,41966046,41966446,401,*,7435,ENSG00000106571,41960949,42264100,-,inside,298054,5097,Overlapping,chr74196604641966446,2.54383578573165,-0.51995928585509
17,82907454,82907854,401,*,7475,ENSG00000141556,82752042,82945914,+,inside,155412,38060,Overlapping,chr178290745482907854,2.36311530900974,-1.49452411036692
20,61895860,61896260,401,*,7476,ENSG00000179242,61252261,61940617,+,inside,643599,44357,Overlapping,chr206189586061896260,2.36311530900974,-1.08435117522063
