seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
10,77471511,77471911,401,*,20,ENSG00000156113,76869601,77638369,-,inside,166858,166458,Overlapping,chr107747151177471911,-2.34255789553271,-0.379683868978585
10,91807202,91807602,401,*,115,ENSG00000107854,91798426,91865475,+,inside,8776,8776,Overlapping,chr109180720291807602,-1.70117602757559,-0.558391132782436
14,90629680,90630080,401,*,163,ENSG00000165914,90524564,90816479,-,inside,186799,105116,Overlapping,chr149062968090630080,-2.33826242545957,-1.09741502125144
10,5765568,5765968,401,*,217,ENSG00000108021,5684731,5763740,+,downstream,80837,1828,Overlapping,chr1057655685765968,-2.02432727127262,-0.64257830856684
2,219552367,219552767,401,*,269,ENSG00000124006,219550728,219571859,-,inside,19492,1639,Overlapping,chr2219552367219552767,-1.20619175260828,-0.376996271504694
1,54273804,54274204,401,*,365,ENSG00000157216,54225433,54413479,-,inside,139675,48371,Overlapping,chr15427380454274204,-2.25065463394224,-0.567788969449209
22,48584852,48585252,401,*,369,ENSG00000219438,48489553,48850912,+,inside,95299,95299,Overlapping,chr224858485248585252,-2.31383388846761,-1.83546263518838
1,108639776,108640176,401,*,385,ENSG00000162636,108560089,108644900,+,inside,79687,4724,Overlapping,chr1108639776108640176,-2.7924399988501,-1.18811035530105
1,231408124,231408524,401,*,429,ENSG00000135766,231363751,231422287,-,inside,14163,13763,NearestLocation,chr1231408124231408524,-2.75225302515659,-0.540161434041533
9,37996419,37996819,401,*,455,ENSG00000107338,37915898,38069227,-,inside,72808,72408,Overlapping,chr93799641937996819,-2.47358083506416,-0.469314487824826
X,46725316,46725716,401,*,482,ENSG00000065923,46599251,46759118,-,inside,33802,33402,Overlapping,chrX4672531646725716,-1.87844888356489,-0.810599183979055
1,205284301,205284701,401,*,619,ENSG00000133069,205227946,205285632,+,inside,56355,931,Overlapping,chr1205284301205284701,-1.67516449259928,-1.43800170051849
1,201487613,201488013,401,*,643,ENSG00000174307,201464278,201469237,-,upstream,-18376,18376,NearestLocation,chr1201487613201488013,-1.80467674683663,-0.771865389703983
18,61868718,61869118,401,*,652,ENSG00000176641,61808067,61894247,-,inside,25529,25129,NearestLocation,chr186186871861869118,-1.69816135999976,-1.05271960659143
17,66378672,66379072,401,*,659,ENSG00000154229,66302613,66810743,+,inside,76059,76059,Overlapping,chr176637867266379072,-1.68190988552097,-0.749783509269437
19,5698259,5698659,401,*,664,ENSG00000196365,5691834,5720572,-,inside,22313,6425,Overlapping,chr1956982595698659,-2.51678538501404,-0.552615069099967
15,78283149,78283549,401,*,682,ENSG00000140403,78264086,78282196,+,downstream,19063,953,Overlapping,chr157828314978283549,-1.79251005000551,-1.70657005522813
22,37932277,37932677,401,*,683,ENSG00000100139,37905657,37942822,+,inside,26620,10145,Overlapping,chr223793227737932677,-2.80762020153784,-1.25363252969896
2,9251495,9251895,401,*,692,ENSG00000151693,9206765,9405683,+,inside,44730,44730,Overlapping,chr292514959251895,-2.33721552587775,-0.980489528270737
21,43974452,43974852,401,*,727,ENSG00000160216,43865223,43987592,+,inside,109229,12740,Overlapping,chr214397445243974852,-2.060197659599,-2.19537298766192
10,22319839,22320239,401,*,743,ENSG00000168283,22321099,22331484,+,upstream,-1260,860,NearestLocation,chr102231983922320239,-2.12074165861473,-0.75051581141617
20,61860053,61860453,401,*,768,ENSG00000179242,61252261,61940617,+,inside,607792,80164,Overlapping,chr206186005361860453,-2.127644135752,-1.26368995242284
7,128849903,128850303,401,*,909,ENSG00000128591,128830406,128859274,+,inside,19497,8971,Overlapping,chr7128849903128850303,-2.40750758252112,-0.557901217190038
16,55476238,55476638,401,*,963,ENSG00000087245,55389700,55506691,+,inside,86538,30053,Overlapping,chr165547623855476638,-1.67299284522909,-0.622266801631011
9,124353388,124353788,401,*,971,ENSG00000119408,124257606,124353307,+,downstream,95782,81,Overlapping,chr9124353388124353788,-1.39799040034097,-0.328959894769455
2,127081643,127082043,401,*,980,ENSG00000136717,127048027,127107288,-,inside,25645,25245,NearestLocation,chr2127081643127082043,-2.41887547968718,-0.516064206661584
16,87843464,87843864,401,*,982,ENSG00000103257,87830023,87869507,-,inside,26043,13441,Overlapping,chr168784346487843864,-2.47523515887784,-0.952982167075551
19,7842019,7842419,401,*,1020,ENSG00000142459,7830218,7864976,+,inside,11801,11801,NearestLocation,chr1978420197842419,-1.87307261223149,-1.46706840236334
3,123694422,123694822,401,*,1024,ENSG00000065534,123610049,123884332,-,inside,189910,84373,Overlapping,chr3123694422123694822,-2.15447629844934,-0.519865829564525
17,7590105,7590505,401,*,1029,ENSG00000129245,7591230,7614897,-,downstream,24792,725,Overlapping,chr1775901057590505,-1.9937385745913,-1.5877222306235
9,131641177,131641577,401,*,1049,ENSG00000107263,131576770,131740076,-,inside,98899,64407,Overlapping,chr9131641177131641577,-1.94432062509941,-2.29073312079819
3,42066639,42067039,401,*,1085,ENSG00000182606,42013802,42225890,+,inside,52837,52837,Overlapping,chr34206663942067039,-1.44733051703624,-1.02825232902822
8,141116159,141116559,401,*,1132,ENSG00000105339,141117278,141195808,+,upstream,-1119,719,NearestLocation,chr8141116159141116559,-1.48882832332375,-0.733444169430686
17,17783007,17783407,401,*,1176,ENSG00000108557,17681458,17811453,+,inside,101549,28046,Overlapping,chr171778300717783407,-0.848066587601366,-0.490191456195794
19,29926767,29927167,401,*,1204,ENSG00000105176,29923644,30016612,+,inside,3123,3123,NearestLocation,chr192992676729927167,-2.0636437580584,-1.61684114766775
2,36452910,36453310,401,*,1215,ENSG00000150938,36355778,36551135,+,inside,97132,97132,Overlapping,chr23645291036453310,-2.14699572633684,-1.36399984619956
X,40169812,40170212,401,*,1328,ENSG00000183337,40049815,40177329,-,inside,7517,7117,Overlapping,chrX4016981240170212,-1.56951379772818,-0.486396235101233
20,48632822,48633222,401,*,1377,ENSG00000124126,48624252,48827999,-,inside,195177,8570,Overlapping,chr204863282248633222,-2.28312386072092,-1.07133631650597
11,9138924,9139324,401,*,1384,ENSG00000175356,9019476,9138114,-,upstream,-810,810,NearestLocation,chr1191389249139324,-2.20747749812894,-1.12732283007704
11,9138924,9139324,401,*,1384,ENSG00000184014,9138825,9265959,-,inside,127035,99,Overlapping,chr1191389249139324,-2.20747749812894,-1.19425540801961
2,101124251,101124651,401,*,1455,ENSG00000204634,101007228,101252866,-,inside,128615,117023,Overlapping,chr2101124251101124651,-1.88299541676267,-0.79870657380674
18,2898127,2898527,401,*,1470,ENSG00000132205,2847006,2916003,+,inside,51121,17476,Overlapping,chr1828981272898527,-1.18013500225673,-0.589551967987364
3,13008611,13009011,401,*,1482,ENSG00000144711,12897043,13283281,-,inside,274670,111568,Overlapping,chr31300861113009011,-2.25065463394224,-0.661725093912804
11,27395342,27395742,401,*,1488,ENSG00000205213,27365961,27472790,-,inside,77448,29381,Overlapping,chr112739534227395742,-2.31383388846761,-0.49252463521918
10,103629242,103629642,401,*,1492,ENSG00000107957,103594027,103855584,-,inside,226342,35215,Overlapping,chr10103629242103629642,-2.18458138139919,-0.26736459387227
16,67944206,67944606,401,*,1493,ENSG00000124067,67943474,67969601,-,inside,25395,732,Overlapping,chr166794420667944606,-2.18458138139919,-0.852028818417829
12,30822421,30822821,401,*,1499,ENSG00000110888,30709552,30823302,-,inside,881,481,NearestLocation,chr123082242130822821,-0.847047773257088,-0.595598532075231
11,67488839,67489239,401,*,1505,ENSG00000110697,67491768,67506263,-,downstream,17424,2529,Overlapping,chr116748883967489239,-2.11533622433765,-1.42969878943179
2,28351680,28352080,401,*,1517,ENSG00000075426,28392448,28417317,+,upstream,-40768,40368,NearestLocation,chr22835168028352080,-2.00383798040833,-0.906356968653717
19,17560172,17560572,401,*,1538,ENSG00000130309,17555649,17583162,+,inside,4523,4523,NearestLocation,chr191756017217560572,-2.11443814489287,-0.492238321468856
19,31340064,31340464,401,*,1539,ENSG00000121297,31149979,31349436,-,inside,9372,8972,Overlapping,chr193134006431340464,-2.11443814489287,-0.368407156773258
6,108211567,108211967,401,*,1552,ENSG00000112335,108211222,108261246,-,inside,49679,345,Overlapping,chr6108211567108211967,-1.45400250642853,-0.4918928566692
1,155277458,155277858,401,*,1599,ENSG00000176444,155262868,155278491,-,inside,1033,633,Overlapping,chr1155277458155277858,-0.702030668530012,-1.50728338028823
2,205024901,205025301,401,*,1729,ENSG00000116117,204545475,205620162,+,inside,479426,479426,Overlapping,chr2205024901205025301,-1.25284273754139,-1.09269146403928
5,68288403,68288803,401,*,1804,ENSG00000145675,68215756,68301821,+,inside,72647,13018,NearestLocation,chr56828840368288803,-0.741852715109014,-0.708257379375898
4,7022032,7022432,401,*,1923,ENSG00000173011,7041899,7057952,+,upstream,-19867,19467,NearestLocation,chr470220327022432,-0.944720442179061,-2.31462815094046
2,238169823,238170223,401,*,1942,ENSG00000178752,238158970,238168900,+,downstream,10853,923,NearestLocation,chr2238169823238170223,-1.25065463394224,-1.10644338813236
3,23966686,23967086,401,*,1979,ENSG00000174738,23945286,23980617,+,inside,21400,13531,Overlapping,chr32396668623967086,-1.48350730462547,-0.51590225134572
7,45912757,45913157,401,*,2009,ENSG00000146674,45912245,45921874,-,inside,9117,512,NearestLocation,chr74591275745913157,-1.34441538082772,-0.422412956587672
18,23237745,23238145,401,*,2018,ENSG00000134508,23134564,23260470,+,inside,103181,22325,Overlapping,chr182323774523238145,-1.04851405334307,-1.16136080792071
14,90522338,90522738,401,*,2036,ENSG00000165914,90524564,90816479,-,downstream,294141,1826,Overlapping,chr149052233890522738,-1.58315045584093,-1.09741502125144
11,128485837,128486237,401,*,2051,ENSG00000134954,128458761,128587558,-,inside,101721,27076,Overlapping,chr11128485837128486237,-1.80467674683663,-1.59862489512156
13,26568159,26568559,401,*,2052,ENSG00000132970,26557683,26688948,+,inside,10476,10476,Overlapping,chr132656815926568559,-1.80467674683663,-0.734985288971924
19,1423028,1423428,401,*,2054,ENSG00000071626,1407569,1435687,+,inside,15459,12259,Overlapping,chr1914230281423428,-1.80467674683663,-1.34025566167076
22,42322008,42322408,401,*,2055,ENSG00000100207,42160013,42343616,-,inside,21608,21208,NearestLocation,chr224232200842322408,-1.80467674683663,-0.589789534578052
