seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
10,100529546,100529946,401,*,X227,ENSG00000255339,100505628,100529881,24254,-,0,overlapStart,0,NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa (NDUFB8) and SEC31 homolog B (S. cerevisiae) (SEC31B) readthrough,chr10100529546100529946,-0.538751675491861,0.236263644703161
11,46617506,46617906,401,*,X314,ENSG00000175224,46617527,46674818,57292,+,0,overlapStart,0,autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091],chr114661750646617906,-0.560028092242221,0.372065092961266
14,24232016,24232416,401,*,X459,ENSG00000255526,24213955,24232352,18398,-,0,overlapStart,0,NEDD8-MDP1 readthrough [Source:HGNC Symbol;Acc:HGNC:39551],chr142423201624232416,-0.50779076669283,0.247532640728945
14,24232016,24232416,401,*,X459,ENSG00000129559,24216857,24232367,15511,-,0,overlapStart,0,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732],chr142423201624232416,-0.50779076669283,0.246997892939793
14,23953692,23954092,401,*,X662,ENSG00000157326,23953734,23969279,15546,+,0,overlapStart,0,dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985],chr142395369223954092,-0.452444033748199,0.391609958174518
6,144150299,144150699,401,*,X806,ENSG00000135604,144150517,144191939,41423,+,0,overlapStart,0,syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429],chr6144150299144150699,-0.295099346308994,1.6202147643563
11,64317752,64318152,401,*,X978,ENSG00000173113,64316460,64317559,1100,-,192,upstream,192,tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940],chr116431775264318152,-0.609644577844302,0.274250380161723
11,64317752,64318152,401,*,X978,ENSG00000126432,64318121,64321811,3691,+,0,overlapStart,0,peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355],chr116431775264318152,-0.609644577844302,0.302218261913419
19,46850499,46850899,401,*,X1010,ENSG00000042753,46838136,46850846,12711,-,0,overlapStart,0,adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565],chr194685049946850899,-0.423474378804713,0.163941516995957
22,21001884,21002284,401,*,X1135,ENSG00000184436,20999104,21002196,3093,-,0,overlapStart,0,THAP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23190],chr222100188421002284,-0.554115677748214,0.404411375564848
1,154955935,154956335,401,*,X1180,ENSG00000163346,154944076,154956123,12048,-,0,overlapStart,0,PBX homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199],chr1154955935154956335,-0.581139973254136,0.449079549542364
2,85581681,85582081,401,*,X1525,ENSG00000168899,85584431,85593406,8976,+,2349,upstream,2349,vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646],chr28558168185582081,-0.914329094953986,0.688723870348757
22,19941546,19941946,401,*,X1526,ENSG00000184470,19875517,19941820,66304,-,0,overlapStart,0,thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155],chr221994154619941946,-0.355891768061455,0.622514119845731
