seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
11,78417339,78417739,401,*,79,ENSG00000033327,78215293,78418348,-,inside,1009,609,NearestLocation,chr117841733978417739,-2.79804404331537,-0.765604177056063
5,122077624,122078024,401,*,121,ENSG00000113083,122063195,122078413,-,inside,789,389,NearestLocation,chr5122077624122078024,-3.55338635150006,-0.345045380636044
9,109012811,109013211,401,*,158,ENSG00000119326,108942569,109013522,-,inside,711,311,NearestLocation,chr9109012811109013211,-2.69040974702588,-0.373448338447433
2,241636989,241637389,401,*,256,ENSG00000176946,241584405,241637158,-,overlapStart,169,169,NearestLocation,chr2241636989241637389,-2.79456751487506,-1.29529440927336
4,88007781,88008181,401,*,260,ENSG00000118762,88007635,88077777,+,inside,146,146,NearestLocation,chr48800778188008181,-2.92833872413807,-0.538766989119226
22,36387364,36387764,401,*,353,ENSG00000100345,36281280,36388010,-,inside,646,246,NearestLocation,chr223638736436387764,-2.61917981006411,-0.59407038145192
6,158231741,158232141,401,*,419,ENSG00000130338,158232236,158511828,+,upstream,-495,95,NearestLocation,chr6158231741158232141,-2.90190469656276,-0.70413725939958
1,85581170,85581570,401,*,443,ENSG00000153904,85318481,85578363,-,upstream,-2807,2807,Overlapping,chr18558117085581570,-2.66120007107292,-0.40639548552496
8,42541410,42541810,401,*,635,ENSG00000168575,42416475,42541926,-,inside,516,116,Overlapping,chr84254141042541810,-2.00483075728127,-0.480188905790498
3,129278941,129279341,401,*,669,ENSG00000181789,129249606,129277773,+,downstream,29335,1168,Overlapping,chr3129278941129279341,-2.65072150870106,-0.730269566014144
22,37906403,37906803,401,*,687,ENSG00000100139,37905657,37942822,+,inside,746,746,NearestLocation,chr223790640337906803,-2.43209830218182,-1.06218050991237
3,129249630,129250030,401,*,721,ENSG00000181789,129249606,129277773,+,inside,24,24,NearestLocation,chr3129249630129250030,-2.9202650419263,-0.730269566014144
17,1562249,1562649,401,*,732,ENSG00000174238,1517718,1562792,-,inside,543,143,NearestLocation,chr1715622491562649,-2.07566879465891,-0.376527177755807
15,58749056,58749456,401,*,754,ENSG00000137845,58588809,58749791,-,inside,735,335,NearestLocation,chr155874905658749456,-2.02315777815663,-0.498904845323107
3,41199591,41199991,401,*,784,ENSG00000168036,41194741,41260096,+,inside,4850,4850,NearestLocation,chr34119959141199991,-2.30671463101676,-0.681016633222002
22,28772662,28773062,401,*,800,ENSG00000159873,28772674,28789301,+,overlapStart,-12,12,NearestLocation,chr222877266228773062,-2.23249464600221,-0.58757896974104
2,86441417,86441817,401,*,860,ENSG00000115548,86440647,86492716,+,inside,770,770,NearestLocation,chr28644141786441817,-2.46077069509138,-0.752744793622095
7,152435980,152436380,401,*,940,ENSG00000055609,152134922,152436644,-,inside,664,264,Overlapping,chr7152435980152436380,-3.25143400806339,-0.665282937739616
6,158560193,158560593,401,*,949,ENSG00000146433,158536436,158635429,+,inside,23757,23757,NearestLocation,chr6158560193158560593,-1.91603304592377,-0.82632225039784
10,30059137,30059537,401,*,979,ENSG00000165757,30012803,30115494,-,inside,56357,46334,NearestLocation,chr103005913730059537,-2.25444321103772,-0.610737476540735
14,89417013,89417413,401,*,1040,ENSG00000053254,89124871,89619149,-,inside,202136,201736,Overlapping,chr148941701389417413,-2.6448545661928,-0.686039216433175
6,131950845,131951245,401,*,1140,ENSG00000118523,131948176,131951372,-,inside,527,127,Overlapping,chr6131950845131951245,-1.75789528415394,-0.52789405317321
14,69611716,69612116,401,*,1215,ENSG00000100647,69611596,69715144,+,inside,120,120,NearestLocation,chr146961171669612116,-2.27101414320784,-0.70231962578519
8,1823327,1823727,401,*,1235,ENSG00000104728,1823926,1958641,+,upstream,-599,199,NearestLocation,chr818233271823727,-2.18934197632922,-0.588767598328338
13,30307118,30307518,401,*,1324,ENSG00000102781,30202630,30307551,-,inside,433,33,NearestLocation,chr133030711830307518,-2.43181070113414,-0.553196447964207
18,7567616,7568016,401,*,1363,ENSG00000173482,7566782,8406861,+,inside,834,834,NearestLocation,chr1875676167568016,-2.25232892981616,-0.601176115996382
1,36351100,36351500,401,*,1384,ENSG00000196182,36339624,36385924,-,inside,34824,11476,Overlapping,chr13635110036351500,-3.36643391668104,-0.516111559052412
2,45650561,45650961,401,*,1420,ENSG00000171132,45651345,46187990,+,upstream,-784,384,NearestLocation,chr24565056145650961,-2.13112661199162,-0.512764901045805
1,36385106,36385506,401,*,1431,ENSG00000196182,36339624,36385924,-,inside,818,418,NearestLocation,chr13638510636385506,-3.42969595448071,-0.516111559052412
19,18940811,18941211,401,*,1444,ENSG00000051128,18929201,18941261,-,inside,450,50,NearestLocation,chr191894081118941211,-2.41920261511106,-0.416984271052316
1,200739083,200739483,401,*,1461,ENSG00000118200,200738893,200860704,+,inside,190,190,NearestLocation,chr1200739083200739483,-1.99804407681221,-0.654449490010657
6,143536745,143537145,401,*,1515,ENSG00000112419,143536845,143831185,+,overlapStart,-100,100,NearestLocation,chr6143536745143537145,-2.41926422374054,-0.482501139483614
3,188153839,188154239,401,*,1530,ENSG00000145012,188153284,188890671,+,inside,555,555,Overlapping,chr3188153839188154239,-2.38996874134287,-0.39406881667417
4,94451963,94452363,401,*,1538,ENSG00000163110,94451857,94668227,+,inside,106,106,NearestLocation,chr49445196394452363,-2.21373254071245,-0.429420126851088
7,6009282,6009682,401,*,1664,ENSG00000106305,6009255,6023834,+,inside,27,27,NearestLocation,chr760092826009682,-2.3400090793086,-0.377852662497421
14,65413009,65413409,401,*,1850,ENSG00000033170,65410592,65744121,+,inside,2417,2417,Overlapping,chr146541300965413409,-2.15835183976642,-0.656649067780102
1,94541318,94541718,401,*,1862,ENSG00000117525,94529173,94541759,-,inside,441,41,NearestLocation,chr19454131894541718,-2.05313910388993,-0.739906539193441
1,40979954,40980354,401,*,2038,ENSG00000171793,40979300,41012565,+,inside,654,654,NearestLocation,chr14097995440980354,-1.77746610962579,-0.497075379237711
14,74881883,74882283,401,*,2105,ENSG00000119689,74881891,74903743,+,overlapStart,-8,8,NearestLocation,chr147488188374882283,-1.78106953322317,-0.55172772486825
2,42169498,42169898,401,*,2131,ENSG00000143924,42169353,42332548,+,inside,145,145,NearestLocation,chr24216949842169898,-2.31668740249909,-2.04084482478316
14,94080784,94081184,401,*,2173,ENSG00000165948,94081301,94103846,+,upstream,-517,117,Overlapping,chr149408078494081184,-1.92154512518885,-1.11277747191245
6,45377533,45377933,401,*,2192,ENSG00000196284,44809317,45377953,-,inside,420,20,NearestLocation,chr64537753345377933,-2.10485219661516,-0.868015391752586
11,32892732,32893132,401,*,2565,ENSG00000060749,32892811,32993316,+,overlapStart,-79,79,NearestLocation,chr113289273232893132,-1.8931250604924,-0.541122435766664
7,21945840,21946240,401,*,2586,ENSG00000164649,21900899,21945903,-,overlapStart,63,63,NearestLocation,chr72194584021946240,-2.43398268941112,-0.59750147817192
16,14071260,14071660,401,*,2597,ENSG00000186260,14071319,14266773,+,overlapStart,-59,59,NearestLocation,chr161407126014071660,-2.22294799068817,-0.515685624474902
5,172834345,172834745,401,*,2606,ENSG00000113719,172834251,172952792,+,inside,94,94,NearestLocation,chr5172834345172834745,-1.88988952079176,-0.578147341311346
12,113221548,113221948,401,*,2848,ENSG00000186815,113221050,113298585,+,inside,498,498,Overlapping,chr12113221548113221948,-1.82662242641867,-0.70214937365629
9,123929607,123930007,401,*,2860,ENSG00000119522,123379654,123930152,-,inside,545,145,NearestLocation,chr9123929607123930007,-1.80161264924522,-0.381365003554161
1,46718719,46719119,401,*,2956,ENSG00000159658,46674659,46719146,-,inside,427,27,NearestLocation,chr14671871946719119,-2.01309122502571,-0.597265806542324
4,37977319,37977719,401,*,3039,ENSG00000065882,37891084,38139175,+,inside,86235,86235,Overlapping,chr43797731937977719,-1.87708179274191,-0.457550872301361
2,54456367,54456767,401,*,3245,ENSG00000115306,54456317,54671446,+,inside,50,50,NearestLocation,chr25445636754456767,-1.59431055685807,-0.620022990233391
1,201829162,201829562,401,*,3341,ENSG00000134369,201539127,201826969,+,downstream,290035,2193,Overlapping,chr1201829162201829562,-2.45650199090004,-0.470315768237409
13,75635597,75635997,401,*,3405,ENSG00000136153,75620434,75859870,+,inside,15163,15163,Overlapping,chr137563559775635997,-1.63533634434136,-0.318319726882047
1,201539227,201539627,401,*,3473,ENSG00000134369,201539127,201826969,+,inside,100,100,NearestLocation,chr1201539227201539627,-1.82858825837619,-0.470315768237409
14,85533446,85533846,401,*,3528,ENSG00000185070,85530144,85654428,+,inside,3302,3302,Overlapping,chr148553344685533846,-1.65181095020615,-0.478888027232426
15,73994782,73995182,401,*,3835,ENSG00000140464,73994673,74047827,+,inside,109,109,NearestLocation,chr157399478273995182,-2.4010831891727,-0.474165412386137
7,42237177,42237577,401,*,4063,ENSG00000106571,41960949,42264100,-,inside,26923,26523,NearestLocation,chr74223717742237577,-1.75734635245135,-0.51995928585509
1,244451445,244451845,401,*,4192,ENSG00000035687,244408494,244451909,-,inside,464,64,NearestLocation,chr1244451445244451845,-1.78911969165522,-0.953710156999105
12,47079702,47080102,401,*,4560,ENSG00000139211,47075707,47079959,-,overlapStart,257,143,Overlapping,chr124707970247080102,-1.52690848985536,-0.488075543801045
1,230867998,230868398,401,*,4644,ENSG00000119280,230837119,230869589,-,inside,1591,1191,Overlapping,chr1230867998230868398,-1.64515139733844,-0.444227312131122
12,49706857,49707257,401,*,4722,ENSG00000161791,49636499,49708165,-,inside,1308,908,Overlapping,chr124970685749707257,-1.69692815641183,-0.552393172947455
2,109128240,109128640,401,*,4768,ENSG00000172985,109129205,109504634,+,upstream,-965,565,Overlapping,chr2109128240109128640,-1.67872985652441,-0.666753890961016
1,54887266,54887666,401,*,5096,ENSG00000116133,54849627,54887195,-,upstream,-71,71,NearestLocation,chr15488726654887666,-2.31223048588728,-0.390393999490276
1,36224524,36224924,401,*,5166,ENSG00000054118,36224432,36305357,+,inside,92,92,NearestLocation,chr13622452436224924,-1.89761013726612,-0.381504731358792
1,225652842,225653242,401,*,5193,ENSG00000154380,225486765,225653142,-,overlapStart,300,100,NearestLocation,chr1225652842225653242,-1.36920724485276,-0.553168974819555
8,19313798,19314198,401,*,5211,ENSG00000104611,19313693,19396218,+,inside,105,105,NearestLocation,chr81931379819314198,-1.41124325342,-0.416667678200145
6,73262921,73263321,401,*,5483,ENSG00000229852,73263212,73301789,+,overlapStart,-291,109,Overlapping,chr67326292173263321,-1.77483503536368,-1.98675958915827
7,158829415,158829815,401,*,5577,ENSG00000117868,158730995,158830253,-,inside,838,438,NearestLocation,chr7158829415158829815,-1.33847074368139,-1.40839800589578
6,143678038,143678438,401,*,5636,ENSG00000112419,143536845,143831185,+,inside,141193,141193,Overlapping,chr6143678038143678438,-1.63014729905471,-0.482501139483614
18,59696727,59697127,401,*,5683,ENSG00000183287,59430939,59697662,-,inside,935,535,Overlapping,chr185969672759697127,-1.60532750552406,-0.347377707784079
19,18919029,18919429,401,*,5845,ENSG00000268193,18907013,18934397,-,inside,15368,12016,Overlapping,chr191891902918919429,-1.70412854546091,-0.423779194404354
1,85464811,85465211,401,*,5875,ENSG00000153904,85318481,85578363,-,inside,113552,113152,Overlapping,chr18546481185465211,-1.16529525390522,-0.40639548552496
1,184387010,184387410,401,*,6471,ENSG00000116667,184387029,184629019,+,overlapStart,-19,19,NearestLocation,chr1184387010184387410,-1.6855312134921,-0.559300541298613
17,2303373,2303773,401,*,6608,ENSG00000070366,2059839,2303785,-,inside,412,12,Overlapping,chr1723033732303773,-1.4051520465859,-0.499344287281356
3,47475426,47475826,401,*,6669,ENSG00000114650,47413681,47477126,-,inside,1700,1300,NearestLocation,chr34747542647475826,-1.84399782312308,-1.32092775371451
14,89618907,89619307,401,*,6868,ENSG00000053254,89124871,89619149,-,overlapStart,242,158,NearestLocation,chr148961890789619307,-1.56411184553918,-0.686039216433175
12,131949931,131950331,401,*,6985,ENSG00000183495,131949942,132080460,+,overlapStart,-11,11,NearestLocation,chr12131949931131950331,-1.33262903359303,-0.811544296603899
20,43914841,43915241,401,*,7128,ENSG00000124191,43914852,44069616,+,overlapStart,-11,11,NearestLocation,chr204391484143915241,-1.65759718727807,-0.506203443725749
