seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
15,52033709,52034109,401,*,285,ENSG00000069956,51952106,52067375,+,inside,81603,33266,Overlapping,chr155203370952034109,-2.5739567071721,0.523908690163203
19,47005369,47005769,401,*,627,ENSG00000130751,47019837,47045775,+,upstream,-14468,14068,NearestLocation,chr194700536947005769,-1.19777114468206,0.901938594889253
9,98417577,98417977,401,*,1008,ENSG00000095383,98199011,98255649,-,upstream,-161928,161928,NearestLocation,chr99841757798417977,-1.26345002757975,0.308347038411561
16,89933115,89933515,401,*,1032,ENSG00000198211,89919165,89936092,+,inside,13950,2577,Overlapping,chr168993311589933515,-1.21668002202665,1.30659044639514
16,89933115,89933515,401,*,1032,ENSG00000258947,89921392,89938761,+,inside,11723,5246,Overlapping,chr168993311589933515,-1.21668002202665,0.485637462722854
21,32519399,32519799,401,*,1677,ENSG00000265590,32402511,32612865,-,inside,93466,93066,Overlapping,chr213251939932519799,-1.02056302275763,0.244388267229166
20,40532010,40532410,401,*,1730,ENSG00000204103,40685848,40689236,-,downstream,157226,153438,NearestLocation,chr204053201040532410,-1.02349736673329,0.717988240067664
6,63206700,63207100,401,*,1741,ENSG00000198225,63211446,63213024,+,upstream,-4746,4346,NearestLocation,chr66320670063207100,-0.874792338593966,0.470403106901296
2,14747297,14747697,401,*,1808,ENSG00000162981,14632700,14650814,+,downstream,114597,96483,NearestLocation,chr21474729714747697,-1.12061207051662,0.674102100016427
1,218417870,218418270,401,*,2143,ENSG00000092969,218345336,218444619,+,inside,72534,26349,Overlapping,chr1218417870218418270,-0.84523810385508,0.697813363023338
7,21631646,21632046,401,*,2149,ENSG00000105877,21543039,21901839,+,inside,88607,88607,NearestLocation,chr72163164621632046,-0.759151100999436,1.13476610808005
7,87328868,87329268,401,*,2194,ENSG00000182165,87322943,87345552,-,inside,16684,5925,Overlapping,chr78732886887329268,-0.957541351020584,0.394145108770479
7,21594925,21595325,401,*,2960,ENSG00000105877,21543039,21901839,+,inside,51886,51886,NearestLocation,chr72159492521595325,-0.95791306546757,1.13476610808005
8,17703290,17703690,401,*,3121,ENSG00000129422,17643795,17801094,-,inside,97804,59495,Overlapping,chr81770329017703690,-0.81263602957712,0.656860320040579
12,38750097,38750497,401,*,3254,ENSG00000139117,38646822,38907430,-,inside,157333,103275,Overlapping,chr123875009738750497,-0.84530774474915,0.41099615936931
