seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
16,275610,276010,401,*,X27,ENSG00000076344,268301,275980,7680,-,0,overlapStart,0,regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993],chr16275610276010,1.62425167587374,2.08646023439848
12,6723944,6724344,401,*,X108,ENSG00000111652,6724014,6731875,7862,+,0,overlapStart,0,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758],chr1267239446724344,1.43634515533929,0.313179423313615
1,244834967,244835367,401,*,X112,ENSG00000203667,244835616,244845057,9442,+,248,upstream,248,cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970],chr1244834967244835367,0.726926316044245,0.254022137307618
5,79069600,79070000,401,*,X146,ENSG00000132840,79069767,79090069,20303,+,0,overlapStart,0,betaine--homocysteine S-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:1048],chr57906960079070000,1.16225352183318,0.537575827364077
7,135147953,135148353,401,*,X183,ENSG00000146859,135148072,135166215,18144,+,0,overlapStart,0,transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870],chr7135147953135148353,1.58152326609208,0.622021512207988
10,11742321,11742721,401,*,X268,ENSG00000134463,11742366,11764070,21705,+,0,overlapStart,0,enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489],chr101174232111742721,1.00766942420818,0.507251824521293
1,66533163,66533563,401,*,X286,ENSG00000118473,66533267,66751139,217873,+,0,overlapStart,0,SH3GL interacting endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:25412],chr16653316366533563,0.946987750122991,0.421251744931103
12,9869822,9870222,401,*,X335,ENSG00000110852,9852369,9869386,17018,-,435,upstream,435,C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053],chr1298698229870222,1.90793418645442,0.590277420610346
10,61662833,61663233,401,*,X461,ENSG00000183346,61662929,61766766,103838,+,0,overlapStart,0,ciliary associated calcium binding coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28678],chr106166283361663233,0.725567535463708,1.22233949530176
3,9362921,9363321,401,*,X543,ENSG00000196220,8980591,9363053,382463,-,0,overlapStart,0,SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744],chr393629219363321,0.945592700003589,1.07472539416098
3,9362921,9363321,401,*,X543,ENSG00000254485,9292588,9363303,70716,-,0,overlapStart,0,novel transcript, antisense to THUMPD3,chr393629219363321,0.945592700003589,0.922076262480827
1,119140333,119140733,401,*,X553,ENSG00000231365,119140391,119275973,135583,+,0,overlapStart,0,WARS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40612],chr1119140333119140733,0.950293814971972,0.694164053400236
22,50530483,50530883,401,*,X585,ENSG00000025708,50525752,50530032,4281,-,450,upstream,450,thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148],chr225053048350530883,1.37367153840049,0.558278741789859
20,63498898,63499298,401,*,X664,ENSG00000101210,63488013,63499239,11227,-,0,overlapStart,0,eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192],chr206349889863499298,1.66317094409085,1.43557000769745
6,134052227,134052627,401,*,X754,ENSG00000146411,133987581,134052624,65044,-,0,overlapStart,0,solute carrier family 2 member 12 [Source:HGNC Symbol;Acc:HGNC:18067],chr6134052227134052627,0.86867011592468,1.54852102754767
20,58514917,58515317,401,*,X1006,ENSG00000231290,58515379,58619888,104510,+,61,upstream,61,APCDD1L divergent transcript [Source:HGNC Symbol;Acc:HGNC:27152],chr205851491758515317,1.03724598992523,0.686286488437844
1,202966892,202967292,401,*,X1150,ENSG00000159348,202961873,202967275,5403,-,0,overlapStart,0,cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397],chr1202966892202967292,0.653475523398247,0.695309518129009
20,45911857,45912257,401,*,X1300,ENSG00000100979,45898621,45912155,13535,-,0,overlapStart,0,phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093],chr204591185745912257,0.762752277026811,1.37598537898427
19,9538340,9538740,401,*,X1450,ENSG00000130818,9523223,9538645,15423,-,0,overlapStart,0,zinc finger protein 426 [Source:HGNC Symbol;Acc:HGNC:20725],chr1995383409538740,0.553586536632491,0.44800043619792
17,15341317,15341717,401,*,X1499,ENSG00000125409,15303811,15341632,37822,-,0,overlapStart,0,tektin 3 [Source:HGNC Symbol;Acc:HGNC:14293],chr171534131715341717,1.43226129325908,2.69185945355523
1,99766317,99766717,401,*,X1555,ENSG00000156869,99703970,99766635,62666,-,0,overlapStart,0,ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622],chr19976631799766717,1.43261566900929,0.99750380418637
5,103119999,103120399,401,*,X1558,ENSG00000145725,103120149,103212799,92651,+,0,overlapStart,0,diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035],chr5103119999103120399,0.84900954794715,0.248819065264516
8,142777545,142777945,401,*,X1595,ENSG00000180155,142771197,142777810,6614,-,0,overlapStart,0,Ly6/neurotoxin 1 [Source:HGNC Symbol;Acc:HGNC:29604],chr8142777545142777945,1.22204868306963,1.3192479321562
10,84139482,84139882,401,*,X1636,ENSG00000165678,84139482,84154841,15360,+,0,inside,0,growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281],chr108413948284139882,0.611394761100022,0.261788894352262
20,3239583,3239983,401,*,X1655,ENSG00000088836,3227417,3239559,12143,-,23,upstream,23,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],chr2032395833239983,1.0018779180811,0.950720822577234
1,36450514,36450914,401,*,X1670,ENSG00000116885,36415827,36450451,34625,-,62,upstream,62,organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971],chr13645051436450914,0.599589891963261,0.807391783120551
8,94948956,94949356,401,*,X1748,ENSG00000253878,94950037,94951396,1360,+,680,upstream,680,novel transcript,chr89494895694949356,0.473728506960959,1.21494375159564
16,90022735,90023135,401,*,X1791,ENSG00000003249,90004871,90019890,15020,-,2844,upstream,2844,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],chr169002273590023135,0.633013701599005,0.580821640576116
20,40689469,40689869,401,*,X1796,ENSG00000204103,40685848,40689236,3389,-,232,upstream,232,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408],chr204068946940689869,0.835350031503154,0.652682888212567
4,15681494,15681894,401,*,X1903,ENSG00000237765,15681662,15690447,8786,+,0,overlapStart,0,family with sequence similarity 200 member B [Source:HGNC Symbol;Acc:HGNC:27740],chr41568149415681894,0.755238871179711,0.345799428880557
1,109090661,109091061,401,*,X1963,ENSG00000215717,109090764,109096934,6171,+,0,overlapStart,0,transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187],chr1109090661109091061,0.680159930634749,0.456183158458853
8,90001400,90001800,401,*,X1982,ENSG00000104325,90001405,90053633,52229,+,0,overlapStart,0,2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753],chr89000140090001800,0.376256196380894,0.580669149325469
3,12158686,12159086,401,*,X2068,ENSG00000157150,12153068,12158912,5845,-,0,overlapStart,0,TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823],chr31215868612159086,1.00996709790235,0.599200672157322
20,31870267,31870667,401,*,X2136,ENSG00000149599,31847637,31870664,23028,-,0,overlapStart,0,dual specificity phosphatase 15 [Source:HGNC Symbol;Acc:HGNC:16236],chr203187026731870667,1.00575198974527,0.965464189754763
10,38094319,38094719,401,*,X2148,ENSG00000075407,38094334,38150293,55960,+,0,overlapStart,0,zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102],chr103809431938094719,0.554770755041542,0.52689775591688
21,26967107,26967507,401,*,X2158,ENSG00000154736,26917922,26967088,49167,-,18,upstream,18,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221],chr212696710726967507,0.65169662208234,1.46906091447035
12,54300688,54301088,401,*,X2173,ENSG00000123405,54292111,54301015,8905,-,0,overlapStart,0,nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780],chr125430068854301088,1.24958878503975,1.72879574617183
17,56977860,56978260,401,*,X2260,ENSG00000121064,56978129,57006768,28640,+,0,overlapStart,0,serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507],chr175697786056978260,0.913709458090408,0.617161695110461
X,14029928,14030328,401,*,X2288,ENSG00000046647,14006726,14029893,23168,-,34,upstream,34,gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044],chrX1402992814030328,0.808274810099545,0.390638837973742
19,45639095,45639495,401,*,X2330,ENSG00000267757,45641494,45642840,1347,+,1998,upstream,1998,EML2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48331],chr194563909545639495,0.831071919846715,0.709480793828763
15,43510526,43510926,401,*,X2501,ENSG00000166963,43510958,43531620,20663,+,31,upstream,31,microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835],chr154351052643510926,0.753884091614691,0.935959492029662
3,28348724,28349124,401,*,X2517,ENSG00000163512,28315003,28349050,34048,-,0,overlapStart,0,5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002],chr32834872428349124,0.585116431318993,0.331285931110284
16,30985119,30985519,401,*,X2578,ENSG00000099377,30985207,30989147,3941,+,0,overlapStart,0,hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324],chr163098511930985519,0.905267428875566,0.56082076160701
19,19776091,19776491,401,*,X2692,ENSG00000267419,19776586,19836193,59608,+,94,upstream,94,zinc finger protein 56, pseudogene [Source:HGNC Symbol;Acc:HGNC:13124],chr191977609119776491,0.761349506562932,0.817944957092891
11,7677510,7677910,401,*,X2771,ENSG00000166394,7665100,7677222,12123,-,287,upstream,287,cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376],chr1176775107677910,1.06825302204327,0.382569568505096
6,143060344,143060744,401,*,X2793,ENSG00000229017,142966293,143059682,93390,-,661,upstream,661,long intergenic non-protein coding RNA 1277 [Source:HGNC Symbol;Acc:HGNC:50334],chr6143060344143060744,0.463970152986418,1.71561485165744
6,143060344,143060744,401,*,X2793,ENSG00000146416,143060496,143341058,280563,+,0,overlapStart,0,androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607],chr6143060344143060744,0.463970152986418,0.401808693542736
6,42890448,42890848,401,*,X2799,ENSG00000221821,42890265,42890821,557,-,0,overlapStart,0,chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431],chr64289044842890848,0.428007093109829,0.606124143869927
15,88621316,88621716,401,*,X2812,ENSG00000181026,88621337,88632281,10945,+,0,overlapStart,0,apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722],chr158862131688621716,0.315549056661636,0.765631774740095
19,18437803,18438203,401,*,X2815,ENSG00000105655,18434388,18438167,3780,-,0,overlapStart,0,inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821],chr191843780318438203,0.737718781071613,0.49365787957903
14,24398860,24399260,401,*,X2862,ENSG00000205978,24399003,24419283,20281,+,0,overlapStart,0,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165],chr142439886024399260,0.945445651625772,0.618905234965367
19,48110457,48110857,401,*,X2936,ENSG00000105499,48047843,48110817,62975,-,0,overlapStart,0,phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037],chr194811045748110857,0.692900734583657,0.723537687672964
13,75549913,75550313,401,*,X3024,ENSG00000188243,75525214,75549439,24226,-,473,upstream,473,COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015],chr137554991375550313,0.696428870318846,0.356449406846099
11,93741137,93741537,401,*,X3059,ENSG00000182919,93741591,93764749,23159,+,53,upstream,53,chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204],chr119374113793741537,0.37820438300039,0.532737602382332
19,35745076,35745476,401,*,X3144,ENSG00000205155,35745600,35747519,1920,+,123,upstream,123,presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100],chr193574507635745476,0.377473139898303,0.323643007233147
3,51974264,51974664,401,*,X3245,ENSG00000272762,51961212,51974031,12820,-,232,upstream,232,novel transcript,chr35197426451974664,1.1183442517615,0.453295866990961
16,27268397,27268797,401,*,X3267,ENSG00000169189,27224994,27268772,43779,-,0,overlapStart,0,NSE1 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:29897],chr162726839727268797,0.625030622918367,0.494444427839824
19,17215313,17215713,401,*,X3318,ENSG00000053501,17215346,17219829,4484,+,0,overlapStart,0,unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882],chr191721531317215713,0.632412726596907,0.538218117730525
12,120534339,120534739,401,*,X3340,ENSG00000110871,120503279,120534434,31156,-,0,overlapStart,0,coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722],chr12120534339120534739,0.372490406892278,0.339670188420336
2,223051947,223052347,401,*,X3371,ENSG00000152049,223052190,223198399,146210,+,0,overlapStart,0,potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244],chr2223051947223052347,0.880684080957382,0.44267082097447
