seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
17,19381098,19381498,401,*,X326,ENSG00000108641,19334308,19378193,43886,-,2904,upstream,2904,B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123],chr171938109819381498,-4.12964594579266,-1.50925441651626
19,7912030,7912430,401,*,X329,ENSG00000260001,7914830,7919097,4268,+,2399,upstream,2399,transforming growth factor beta receptor 3 like [Source:HGNC Symbol;Acc:HGNC:44152],chr1979120307912430,-4.05631338378702,-1.59784418236919
12,122978230,122978630,401,*,X1215,ENSG00000182196,122980060,122982913,2854,+,1429,upstream,1429,ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076],chr12122978230122978630,-3.42920622765157,-0.259228000327983
17,75899699,75900099,401,*,X1509,ENSG00000141569,75880335,75896951,16617,-,2747,upstream,2747,tripartite motif containing 65 [Source:HGNC Symbol;Acc:HGNC:27316],chr177589969975900099,-3.27078876679177,-0.396814958785868
6,43179304,43179704,401,*,X1557,ENSG00000112659,43182184,43224587,42404,+,2479,upstream,2479,cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982],chr64317930443179704,-2.46999186388336,-1.22437668103696
19,8323626,8324026,401,*,X1623,ENSG00000167774,8308283,8321379,13097,-,2246,upstream,2246,novel transcript,chr1983236268324026,-3.18663266281171,-0.609936304247169
1,42814064,42814464,401,*,X2040,ENSG00000164010,42817122,42844991,27870,+,2657,upstream,2657,erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743],chr14281406442814464,-3.20150171542804,-0.679611030783258
5,141356862,141357262,401,*,X2308,ENSG00000253910,141359994,141512975,152982,+,2731,upstream,2731,protocadherin gamma subfamily B, 2 [Source:HGNC Symbol;Acc:HGNC:8709],chr5141356862141357262,-3.0188742224442,-1.39244544809127
19,14515745,14516145,401,*,X2316,ENSG00000099797,14517085,14565980,48896,+,939,upstream,939,trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551],chr191451574514516145,-2.98765645560252,-0.674492802039385
3,13283804,13284204,401,*,X2737,ENSG00000144711,12897043,13283281,386239,-,522,upstream,522,IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112],chr31328380413284204,-2.91304272571496,-0.397746826063654
17,5108926,5109326,401,*,X2825,ENSG00000234327,5111468,5115004,3537,+,2141,upstream,2141,ZNF232 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40623],chr1751089265109326,-2.32059527745389,-0.633572171615428
1,77221375,77221775,401,*,X2913,ENSG00000142892,77088989,77219430,130442,-,1944,upstream,1944,phosphatidylinositol glycan anchor biosynthesis class K [Source:HGNC Symbol;Acc:HGNC:8965],chr17722137577221775,-2.90797844631888,-0.396800638038684
14,31021937,31022337,401,*,X3198,ENSG00000100478,31025106,31130996,105891,+,2768,upstream,2768,adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575],chr143102193731022337,-2.86903444132835,-0.960852314105535
