seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
1,156102222,156102622,401,*,71,ENSG00000160789,156082573,156140081,+,inside,19649,19649,NearestLocation,chr1156102222156102622,-2.43833905184533,0.283375131272951
12,68808320,68808720,401,*,96,ENSG00000135679,68808177,68845544,+,inside,143,143,NearestLocation,chr126880832068808720,-3.0271672110309,0.357730739713076
17,7581402,7581802,401,*,106,ENSG00000129226,7579491,7582111,+,inside,1911,309,NearestLocation,chr1775814027581802,-2.33183395331207,0.556321976869704
6,109441412,109441812,401,*,108,ENSG00000135596,109444062,109465968,-,downstream,24556,2250,Overlapping,chr6109441412109441812,-2.19016188980126,0.243916713816083
5,74767444,74767844,401,*,129,ENSG00000164347,74721206,74767147,-,upstream,-297,297,NearestLocation,chr57476744474767844,-2.35037687018653,0.286274271260688
5,142108986,142109386,401,*,215,ENSG00000131507,142108779,142154440,+,inside,207,207,NearestLocation,chr5142108986142109386,-2.94859758072699,0.298186423280117
3,52409659,52410059,401,*,229,ENSG00000010318,52410660,52423641,+,upstream,-1001,601,Overlapping,chr35240965952410059,-2.18857059645629,0.636121330810853
1,159931320,159931720,401,*,256,ENSG00000158710,159918107,159925507,-,upstream,-5813,5813,NearestLocation,chr1159931320159931720,-2.0099058584247,0.431875573457553
12,53097571,53097971,401,*,286,ENSG00000167779,53097436,53102345,+,inside,135,135,NearestLocation,chr125309757153097971,-2.0099058584247,0.627140578335841
11,18322501,18322901,401,*,303,ENSG00000110756,18278668,18322198,-,upstream,-303,303,Overlapping,chr111832250118322901,-2.65619742261489,0.48384021480033
16,31033423,31033823,401,*,312,ENSG00000103496,31032889,31042975,+,inside,534,534,NearestLocation,chr163103342331033823,-1.83052999592564,0.288182833545668
11,67460747,67461147,401,*,407,ENSG00000172663,67461710,67469272,-,downstream,8525,563,Overlapping,chr116746074767461147,-1.66491637343285,0.390955032489922
8,143275662,143276062,401,*,440,ENSG00000253716,143280158,143281692,-,downstream,6030,4096,NearestLocation,chr8143275662143276062,-1.66491637343285,0.769114232724906
17,45132090,45132490,401,*,515,ENSG00000181513,45132600,45144181,+,upstream,-510,110,NearestLocation,chr174513209045132490,-1.55361195200997,0.574623492593773
17,79042508,79042908,401,*,516,ENSG00000265096,79018131,79027673,-,upstream,-14835,14835,NearestLocation,chr177904250879042908,-1.55361195200997,2.39338543241329
17,79042508,79042908,401,*,516,ENSG00000173918,79022814,79049788,+,inside,19694,6880,Overlapping,chr177904250879042908,-1.55361195200997,0.440056845704173
6,36678004,36678404,401,*,562,ENSG00000124762,36676460,36687337,+,inside,1544,1544,Overlapping,chr63667800436678404,-1.66491637343285,0.997818295276313
22,46751840,46752240,401,*,623,ENSG00000260708,46761894,46762563,-,downstream,10723,9654,NearestLocation,chr224675184046752240,-1.55361195200997,0.519575097762501
12,25250545,25250945,401,*,635,ENSG00000133703,25205246,25250936,-,overlapStart,391,9,NearestLocation,chr122525054525250945,-1.96021480318326,0.330178460841427
1,155208165,155208565,401,*,645,ENSG00000173171,155208695,155213824,+,upstream,-530,130,NearestLocation,chr1155208165155208565,-1.59486835914586,0.353966025574769
17,7241471,7241871,401,*,651,ENSG00000170296,7240008,7242449,-,inside,978,578,Overlapping,chr1772414717241871,-1.59486835914586,0.269621060319357
6,32151314,32151714,401,*,669,ENSG00000204314,32148359,32153083,-,inside,1769,1369,NearestLocation,chr63215131432151714,-1.47779563218546,0.71265308290765
13,113832286,113832686,401,*,780,ENSG00000233695,113815630,113845744,+,inside,16656,13058,NearestLocation,chr13113832286113832686,-1.70314973966583,0.577353163440956
11,64318034,64318434,401,*,847,ENSG00000173113,64316460,64317559,-,upstream,-475,475,Overlapping,chr116431803464318434,-1.47779563218546,0.274250380161723
11,64318034,64318434,401,*,847,ENSG00000126432,64318121,64321811,+,overlapStart,-87,87,NearestLocation,chr116431803464318434,-1.47779563218546,0.302218261913419
16,84564743,84565143,401,*,885,ENSG00000140950,84476355,84554033,-,upstream,-10710,10710,NearestLocation,chr168456474384565143,-1.43299704605098,0.283059758441135
22,18912724,18913124,401,*,900,ENSG00000183628,18906028,18914238,+,inside,6696,1114,Overlapping,chr221891272418913124,-1.35037687018653,0.871100868889961
11,72103087,72103487,401,*,907,ENSG00000149357,72085895,72103297,-,overlapStart,210,190,NearestLocation,chr117210308772103487,-2.53356008144814,0.274119835358237
12,8697935,8698335,401,*,928,ENSG00000166532,8681600,8783095,+,inside,16335,16335,NearestLocation,chr1286979358698335,-1.81619949117685,0.590367882411069
