seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
5,173144562,173144962,401,*,13,ENSG00000113734,173144442,173164387,+,inside,120,120,NearestLocation,chr5173144562173144962,-2.96710912892401,-0.467076967308092
1,39690502,39690902,401,*,27,ENSG00000084072,39692182,39763914,+,upstream,-1680,1280,Overlapping,chr13969050239690902,-2.66491637343285,-0.555677408082457
7,128739362,128739762,401,*,46,ENSG00000128595,128739292,128773400,+,inside,70,70,NearestLocation,chr7128739362128739762,-2.57438762551159,-0.268463891450061
8,133571449,133571849,401,*,67,ENSG00000008513,133454848,133571940,-,inside,491,91,Overlapping,chr8133571449133571849,-2.4154924966468,-0.491533232877653
20,32109952,32110352,401,*,84,ENSG00000101337,32109714,32167258,+,inside,238,238,NearestLocation,chr203210995232110352,-2.43833905184533,-0.290987906004679
2,113957702,113958102,401,*,95,ENSG00000115091,113890063,113962596,+,inside,67639,4494,Overlapping,chr2113957702113958102,-2.45741727398209,-0.254352367539929
19,5623160,5623560,401,*,103,ENSG00000160633,5623035,5668478,+,inside,125,125,NearestLocation,chr1956231605623560,-2.55852623392877,-0.250785834302452
12,111842384,111842784,401,*,127,ENSG00000234608,111839758,111842902,-,inside,518,118,Overlapping,chr12111842384111842784,-2.89000342115076,-1.19486152121321
7,47581681,47582081,401,*,152,ENSG00000136205,47275154,47582558,-,inside,877,477,NearestLocation,chr74758168147582081,-2.90580085122629,-0.5357171729756
20,61329209,61329609,401,*,194,ENSG00000179242,61252261,61940617,+,inside,76948,76948,Overlapping,chr206132920961329609,-2.06275813290662,-1.46361868744623
12,57765492,57765892,401,*,201,ENSG00000037897,57768471,57772119,-,downstream,6627,2579,Overlapping,chr125776549257765892,-2.39777294924508,-0.613897549236948
12,70242894,70243294,401,*,210,ENSG00000111596,70243002,70354993,+,overlapStart,-108,108,NearestLocation,chr127024289470243294,-2.06275813290662,-0.538620131109822
14,70907918,70908318,401,*,221,ENSG00000100731,70907405,71115382,+,inside,513,513,NearestLocation,chr147090791870908318,-1.9790746854857,-0.46848488274855
6,159984543,159984943,401,*,224,ENSG00000197081,159969082,160113507,+,inside,15461,15461,NearestLocation,chr6159984543159984943,-1.9790746854857,-0.387281127006707
15,48644579,48644979,401,*,238,ENSG00000166147,48408313,48645721,-,inside,1142,742,NearestLocation,chr154864457948644979,-2.0099058584247,-0.995621062810983
1,43741950,43742350,401,*,245,ENSG00000126091,43705824,43931165,+,inside,36126,36126,Overlapping,chr14374195043742350,-1.92300394530575,-0.391471839304241
1,84998117,84998517,401,*,246,ENSG00000153898,84925583,84997113,-,upstream,-1004,1004,NearestLocation,chr18499811784998517,-1.92300394530575,-1.86173108357513
7,36284239,36284639,401,*,251,ENSG00000122547,36153254,36301538,+,inside,130985,16899,Overlapping,chr73628423936284639,-1.92300394530575,-1.08013875346598
9,16031798,16032198,401,*,265,ENSG00000164989,15553043,16061663,+,inside,478755,29465,Overlapping,chr91603179816032198,-1.92300394530575,-1.02169472637447
1,246509638,246510038,401,*,294,ENSG00000185420,245749342,246507312,-,upstream,-2326,2326,NearestLocation,chr1246509638246510038,-1.83052999592564,-1.48099936631916
10,35336540,35336940,401,*,302,ENSG00000108100,35247025,35572669,+,inside,89515,89515,Overlapping,chr103533654035336940,-2.65619742261489,-0.546576911394354
12,54418233,54418633,401,*,304,ENSG00000161638,54395261,54419266,-,inside,1033,633,NearestLocation,chr125441823354418633,-2.65619742261489,-0.429679463123847
1,201649760,201650160,401,*,329,ENSG00000134369,201539127,201826969,+,inside,110633,110633,Overlapping,chr1201649760201650160,-1.83052999592564,-0.408371774946055
8,99013674,99014074,401,*,337,ENSG00000132549,99013266,99877580,+,inside,408,408,Overlapping,chr89901367499014074,-1.83052999592564,-0.689173909450264
1,35930940,35931340,401,*,351,ENSG00000126070,35930718,36072500,+,inside,222,222,NearestLocation,chr13593094035931340,-2.1694253163026,-1.083187634699
10,110007055,110007455,401,*,372,ENSG00000148700,109996368,110135565,+,inside,10687,10687,Overlapping,chr10110007055110007455,-1.8902366591844,-0.279608352802622
2,63840922,63841322,401,*,377,ENSG00000169764,63840952,63891562,+,overlapStart,-30,30,NearestLocation,chr26384092263841322,-1.83052999592564,-0.405609985592222
15,96331966,96332366,401,*,409,ENSG00000185551,96325938,96340263,+,inside,6028,6028,Overlapping,chr159633196696332366,-1.66491637343285,-0.507418944808742
16,70685952,70686352,401,*,427,ENSG00000103043,70687439,70801160,-,downstream,115208,1087,Overlapping,chr167068595270686352,-1.86466557118447,-0.631441428739486
10,11611442,11611842,401,*,453,ENSG00000148429,11460510,11611666,-,overlapStart,224,176,Overlapping,chr101161144211611842,-1.66491637343285,-1.78383027392663
5,88883237,88883637,401,*,456,ENSG00000081189,88717117,88904257,-,inside,21020,20620,Overlapping,chr58888323788883637,-1.66491637343285,-0.631736814062438
2,100819244,100819644,401,*,470,ENSG00000170485,100820139,100996829,+,upstream,-895,495,Overlapping,chr2100819244100819644,-1.76824526373069,-0.47174853564692
8,88327117,88327517,401,*,484,ENSG00000156103,88032011,88328025,-,inside,908,508,Overlapping,chr88832711788327517,-1.76824526373069,-0.568960246320375
2,91589977,91590377,401,*,563,ENSG00000143429,91587019,91659989,-,inside,70012,2958,Overlapping,chr29158997791590377,-1.86466557118447,-0.363342956362148
11,19463465,19463865,401,*,566,ENSG00000166833,19350724,20121601,+,inside,112741,112741,Overlapping,chr111946346519463865,-1.55361195200997,-0.569029814715528
2,63606874,63607274,401,*,572,ENSG00000143951,63119559,63827843,-,inside,220969,220569,Overlapping,chr26360687463607274,-0.858595260594717,-0.715173596934995
19,14136197,14136597,401,*,631,ENSG00000267169,14137146,14171267,+,upstream,-949,549,Overlapping,chr191413619714136597,-1.55361195200997,-0.845365595867153
22,37561027,37561427,401,*,690,ENSG00000128283,37560480,37569405,+,inside,547,547,NearestLocation,chr223756102737561427,-1.59486835914586,-0.32188242479645
6,152636316,152636716,401,*,696,ENSG00000131018,152121687,152637801,-,inside,1485,1085,NearestLocation,chr6152636316152636716,-1.59486835914586,-0.455342867399415
9,134757762,134758162,401,*,779,ENSG00000130635,134641803,134844843,+,inside,115959,86681,Overlapping,chr9134757762134758162,-1.59486835914586,-0.603799205417458
17,46193175,46193575,401,*,802,ENSG00000120071,46029916,46225389,-,inside,32214,31814,Overlapping,chr174619317546193575,-2.47621092871002,-0.343002157649869
2,95345940,95346340,401,*,805,ENSG00000115041,95297327,95386077,+,inside,48613,39737,Overlapping,chr29534594095346340,-2.47621092871002,-0.956698533118812
1,114511334,114511734,401,*,836,ENSG00000197323,114392790,114511203,-,upstream,-131,131,NearestLocation,chr1114511334114511734,-2.41648735448774,-0.611139561830146
21,46098487,46098887,401,*,854,ENSG00000142173,46098112,46132848,+,inside,375,375,NearestLocation,chr214609848746098887,-2.84925386059947,-0.276632915222814
18,76465024,76465424,401,*,856,ENSG00000101493,76357682,76495242,-,inside,30218,29818,Overlapping,chr187646502476465424,-1.47779563218546,-0.376910568239671
11,73145529,73145929,401,*,884,ENSG00000137478,72836745,73142318,-,upstream,-3211,3211,NearestLocation,chr117314552973145929,-1.43299704605098,-0.468423704804939
