seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
1,1000311,1000711,401,*,X77,ENSG00000188290,998962,1000172,1211,-,138,upstream,138,hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149],chr110003111000711,0.873373302244827,-0.967317087793889
4,102501163,102501563,401,*,X115,ENSG00000109320,102501331,102617302,115972,+,0,overlapStart,0,nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794],chr4102501163102501563,0.569711312728455,-0.496737418033578
4,2963022,2963422,401,*,X257,ENSG00000087269,2937933,2963406,25474,-,0,overlapStart,0,NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821],chr429630222963422,0.971454167877384,-0.422860544726651
11,113875511,113875911,401,*,X311,ENSG00000048028,113797874,113875570,77697,-,0,overlapStart,0,ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625],chr11113875511113875911,1.32695215634034,-0.52986572942973
11,124953881,124954281,401,*,X324,ENSG00000149548,124954121,125041489,87369,+,0,overlapStart,0,coiled-coil domain containing 15 [Source:HGNC Symbol;Acc:HGNC:25798],chr11124953881124954281,1.3769320007631,-1.11666215624186
6,121334656,121335056,401,*,X353,ENSG00000146350,121079494,121334745,255252,-,0,overlapStart,0,TBC1 domain family member 32 [Source:HGNC Symbol;Acc:HGNC:21485],chr6121334656121335056,0.786626202168447,-0.751619960252775
8,89757782,89758182,401,*,X433,ENSG00000251136,89545424,89757812,212389,-,0,overlapStart,0,RIPK2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55545],chr88975778289758182,0.530010633207695,-1.54010825546399
12,4538417,4538817,401,*,X459,ENSG00000111247,4538798,4560047,21250,+,0,overlapStart,0,RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956],chr1245384174538817,1.20012912817838,-1.3814805642609
14,58426888,58427288,401,*,X555,ENSG00000100578,58427385,58551297,123913,+,96,upstream,96,KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960],chr145842688858427288,0.760976648584914,-0.439564638541491
10,37857734,37858134,401,*,X566,ENSG00000198105,37776526,37858106,81581,-,0,overlapStart,0,zinc finger protein 248 [Source:HGNC Symbol;Acc:HGNC:13041],chr103785773437858134,0.543723549258209,-2.6092039752374
6,39114788,39115188,401,*,X632,ENSG00000112167,39104063,39115186,11124,-,0,overlapStart,0,SAYSVFN motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21025],chr63911478839115188,0.755929670446704,-0.57328118992796
6,26017467,26017867,401,*,X687,ENSG00000124610,26017032,26017787,756,-,0,overlapStart,0,H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715],chr62601746726017867,1.28006730882598,-0.925931010361437
17,43170897,43171297,401,*,X753,ENSG00000012048,43044295,43170245,125951,-,651,upstream,651,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100],chr174317089743171297,0.847447125282849,-1.49603861970822
2,70087101,70087501,401,*,X929,ENSG00000169564,70087477,70089203,1727,+,0,overlapStart,0,poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647],chr27008710170087501,0.654747511470236,-0.372600077453957
4,120067061,120067461,401,*,X932,ENSG00000164109,120055623,120066858,11236,-,202,upstream,202,mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763],chr4120067061120067461,0.67484608216537,-0.820916222284477
8,47737870,47738270,401,*,X985,ENSG00000221869,47736913,47738164,1252,-,0,overlapStart,0,CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835],chr84773787047738270,0.386011586789084,-0.410847756877654
9,2843710,2844110,401,*,X1007,ENSG00000080608,2720469,2844095,123627,-,0,overlapStart,0,pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676],chr928437102844110,0.704735959084556,-0.295843555472698
19,3762435,3762835,401,*,X1063,ENSG00000011132,3750772,3761692,10921,-,742,upstream,742,amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580],chr1937624353762835,0.731127581959222,-0.458300327338947
19,18831879,18832279,401,*,X1122,ENSG00000005007,18831959,18868230,36272,+,0,overlapStart,0,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962],chr191883187918832279,0.582452711705105,-0.57641181134272
9,98056703,98057103,401,*,X1148,ENSG00000095380,98056732,98083077,26346,+,0,overlapStart,0,N-acetylneuraminate synthase [Source:HGNC Symbol;Acc:HGNC:19237],chr99805670398057103,0.505300465521658,-0.566759452871359
4,77862349,77862749,401,*,X1185,ENSG00000169288,77862830,77952785,89956,+,80,upstream,80,mitochondrial ribosomal protein L1 [Source:HGNC Symbol;Acc:HGNC:14275],chr47786234977862749,0.813489670233079,-0.493703427108249
18,79393921,79394321,401,*,X1230,ENSG00000131196,79395856,79529325,133470,+,1534,upstream,1534,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775],chr187939392179394321,0.617910743289865,-0.469185481581332
21,36989891,36990291,401,*,X1249,ENSG00000159267,36748626,36990236,241611,-,0,overlapStart,0,holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976],chr213698989136990291,0.566821999334394,-0.543900848788534
14,20342987,20343387,401,*,X1293,ENSG00000129484,20343615,20357904,14290,+,227,upstream,227,poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272],chr142034298720343387,1.37586175682129,-0.855892992458199
5,116084956,116085356,401,*,X1371,ENSG00000145781,116085016,116412762,327747,+,0,overlapStart,0,COMM domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30201],chr5116084956116085356,0.453356667923756,-0.601536316407189
12,106774558,106774958,401,*,X1404,ENSG00000111785,106774621,106889316,114696,+,0,overlapStart,0,RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:HGNC:25555],chr12106774558106774958,0.521095130986065,-0.925266447321198
1,11273123,11273523,401,*,X1469,ENSG00000120942,11273198,11296049,22852,+,0,overlapStart,0,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791],chr11127312311273523,0.626176507496407,-0.570131752650173
16,11256113,11256513,401,*,X1493,ENSG00000185338,11254417,11256204,1788,-,0,overlapStart,0,suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383],chr161125611311256513,0.559111935422107,-0.790198478753388
4,182144556,182144956,401,*,X1634,ENSG00000248266,182144852,182190382,45531,+,0,overlapStart,0,novel transcript,chr4182144556182144956,0.530578834897778,-1.52931970725084
12,11649168,11649568,401,*,X1772,ENSG00000139083,11649674,11895377,245704,+,105,upstream,105,ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495],chr121164916811649568,0.43228847240776,-0.441947631984896
11,67420818,67421218,401,*,X1879,ENSG00000172531,67398181,67421183,23003,-,0,overlapStart,0,protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281],chr116742081867421218,0.746758112481605,-0.57361849968411
5,154190380,154190780,401,*,X1890,ENSG00000164574,154190730,154420984,230255,+,0,overlapStart,0,polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873],chr5154190380154190780,0.447696117376403,-1.11380403203092
18,24426629,24427029,401,*,X2024,ENSG00000154059,24426634,24453531,26898,+,0,overlapStart,0,impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387],chr182442662924427029,0.609902301254933,-1.52669952917254
9,95426766,95427166,401,*,X2096,ENSG00000158169,95099054,95426796,327743,-,0,overlapStart,0,FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584],chr99542676695427166,0.92261935533718,-0.569779051352073
3,125595408,125595808,401,*,X2121,ENSG00000144909,125528858,125595497,66640,-,0,overlapStart,0,oxysterol binding protein like 11 [Source:HGNC Symbol;Acc:HGNC:16397],chr3125595408125595808,0.542726353630546,-0.469310386304921
9,133478743,133479143,401,*,X2162,ENSG00000160326,133471094,133479127,8034,-,0,overlapStart,0,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011],chr9133478743133479143,0.626487892639801,-0.435138871225193
18,69400829,69401229,401,*,X2163,ENSG00000206052,69400888,69849087,448200,+,0,overlapStart,0,docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301],chr186940082969401229,0.604151513326678,-1.46447923503859
1,44731058,44731458,401,*,X2170,ENSG00000200169,44731055,44731170,116,-,0,overlapStart,0,RNA, U5D small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10214],chr14473105844731458,1.24958878503975,-0.702519591263859
19,35754978,35755378,401,*,X2303,ENSG00000167595,35758143,35771166,13024,+,2764,upstream,2764,proline and serine rich 3 [Source:HGNC Symbol;Acc:HGNC:25204],chr193575497835755378,1.71563836398499,-0.452384952553938
11,35662754,35663154,401,*,X2316,ENSG00000166326,35662775,35818007,155233,+,0,overlapStart,0,tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016],chr113566275435663154,0.419625845915741,-0.612950887300761
6,163414597,163414997,401,*,X2346,ENSG00000270419,163413065,163413960,896,-,636,upstream,636,colon adenocarcinoma hypermethylated [Source:HGNC Symbol;Acc:HGNC:42860],chr6163414597163414997,0.343772792161936,-1.43210358288011
1,65067377,65067777,401,*,X2389,ENSG00000162434,64833229,65067754,234526,-,0,overlapStart,0,Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190],chr16506737765067777,0.394917315316649,-0.634342704732913
12,66189098,66189498,401,*,X2472,ENSG00000090376,66189195,66254622,65428,+,0,overlapStart,0,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020],chr126618909866189498,0.578482034110123,-2.33290283562534
11,121024058,121024458,401,*,X2493,ENSG00000154114,121024072,121090776,66705,+,0,overlapStart,0,tubulin folding cofactor E like [Source:HGNC Symbol;Acc:HGNC:28115],chr11121024058121024458,0.485972166681619,-0.474883705578553
X,55717677,55718077,401,*,X2617,ENSG00000083750,55717749,55758774,41026,+,0,overlapStart,0,Ras related GTP binding B [Source:HGNC Symbol;Acc:HGNC:19901],chrX5571767755718077,0.76586764200165,-0.588430733228115
7,47979217,47979617,401,*,X2620,ENSG00000136273,47963288,47979615,16328,-,0,overlapStart,0,HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309],chr74797921747979617,0.584133338269705,-1.18235545795248
16,30526764,30527164,401,*,X2927,ENSG00000169957,30524004,30526821,2818,-,0,overlapStart,0,zinc finger protein 768 [Source:HGNC Symbol;Acc:HGNC:26273],chr163052676430527164,0.402992648107411,-0.716941293174377
12,50504977,50505377,401,*,X2950,ENSG00000066084,50504985,50748657,243673,+,0,overlapStart,0,disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284],chr125050497750505377,0.405775861917482,-0.758625396907159
19,35745076,35745476,401,*,X3144,ENSG00000126246,35738801,35742453,3653,-,2622,upstream,2622,IGF like family receptor 1 [Source:HGNC Symbol;Acc:HGNC:23620],chr193574507635745476,0.377473139898303,-0.733594304902167
3,52685581,52685981,401,*,X3173,ENSG00000163939,52545352,52685917,140566,-,0,overlapStart,0,polybromo 1 [Source:HGNC Symbol;Acc:HGNC:30064],chr35268558152685981,0.435179903243819,-0.78790250854276
13,40770856,40771256,401,*,X3270,ENSG00000102738,40729128,40771190,42063,-,0,overlapStart,0,mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632],chr134077085640771256,0.611297075387511,-1.8387873565115
6,26020436,26020836,401,*,X3370,ENSG00000124610,26017032,26017787,756,-,2648,upstream,2648,H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715],chr62602043626020836,0.505241028177186,-0.925931010361437
