seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
12,109093149,109093549,401,*,179,ENSG00000189046,109088188,109093631,-,inside,482,82,NearestLocation,chr12109093149109093549,1.33928124066058,0.458226531840297
3,38136758,38137158,401,*,282,ENSG00000172936,38138478,38143022,+,upstream,-1720,1320,Overlapping,chr33813675838137158,0.497442996670434,0.368297821416852
2,191845785,191846185,401,*,391,ENSG00000168497,191834310,191847088,-,inside,1303,903,Overlapping,chr2191845785191846185,1.50919265720327,1.54824456054212
6,109009180,109009580,401,*,421,ENSG00000080546,108984309,109094846,-,inside,85666,24871,Overlapping,chr6109009180109009580,0.414076136716433,0.754985808289413
19,42387140,42387540,401,*,453,ENSG00000105427,42387019,42390297,-,inside,3157,121,NearestLocation,chr194238714042387540,0.739978836733159,0.858204427976607
8,23103073,23103473,401,*,469,ENSG00000173535,23102921,23117445,+,inside,152,152,NearestLocation,chr82310307323103473,0.5419224286938,1.67410775283786
8,143039402,143039802,401,*,470,ENSG00000177335,143039209,143060684,+,inside,193,193,NearestLocation,chr8143039402143039802,0.533489064132909,0.6716148391004
14,75661241,75661641,401,*,647,ENSG00000133935,75649791,75660876,-,upstream,-365,365,NearestLocation,chr147566124175661641,0.362886522672321,0.424068829353619
3,50267659,50268059,401,*,670,ENSG00000012171,50267558,50277546,+,inside,101,101,NearestLocation,chr35026765950268059,1.01952447937731,0.782377081996605
22,30397077,30397477,401,*,685,ENSG00000100003,30396941,30425303,+,inside,136,136,NearestLocation,chr223039707730397477,0.325949094013323,0.561877350613122
17,78979330,78979730,401,*,703,ENSG00000108679,78971238,78979947,-,inside,617,217,NearestLocation,chr177897933078979730,1.38366177511941,0.745755121136454
16,90019248,90019648,401,*,804,ENSG00000003249,90004871,90019890,-,inside,642,242,Overlapping,chr169001924890019648,0.279778439344906,0.760012815631024
1,232950533,232950933,401,*,1045,ENSG00000135778,232950605,232983882,+,overlapStart,-72,72,NearestLocation,chr1232950533232950933,0.417849342952413,0.472121563017581
X,153944359,153944759,401,*,1051,ENSG00000102032,153935269,153944687,-,overlapStart,328,72,NearestLocation,chrX153944359153944759,1.06437704104718,1.17894593629183
21,33894690,33895090,401,*,1130,ENSG00000205726,33642400,33899861,+,inside,252290,4771,Overlapping,chr213389469033895090,1.24414250641265,0.280976187058807
9,111598962,111599362,401,*,1148,ENSG00000106853,111549722,111599893,-,inside,931,531,NearestLocation,chr9111598962111599362,0.36573415170592,0.307632346438309
16,83953223,83953623,401,*,1160,ENSG00000140961,83931311,83966332,+,inside,21912,12709,Overlapping,chr168395322383953623,0.617600901940095,0.981612374743709
10,80498457,80498857,401,*,1396,ENSG00000108219,80454166,80533124,+,inside,44291,34267,Overlapping,chr108049845780498857,2.39406346254733,0.50524876775092
5,151223801,151224201,401,*,1500,ENSG00000196743,151212150,151270440,+,inside,11651,11651,Overlapping,chr5151223801151224201,0.390047750687676,0.550680322490149
17,41786354,41786754,401,*,1508,ENSG00000173801,41754604,41786931,-,inside,577,177,NearestLocation,chr174178635441786754,0.439683137618414,0.746928264740772
16,84504344,84504744,401,*,1532,ENSG00000140950,84476355,84554033,-,inside,49689,27989,Overlapping,chr168450434484504744,0.409218963932211,0.283059758441135
7,66740819,66741219,401,*,1549,ENSG00000272831,66739829,66740385,-,upstream,-434,434,NearestLocation,chr76674081966741219,0.295179966187876,0.435978901834675
19,17932953,17933353,401,*,1591,ENSG00000007080,17933015,17943991,+,overlapStart,-62,62,NearestLocation,chr191793295317933353,0.355826880677048,0.313208360400558
17,42780554,42780954,401,*,1708,ENSG00000131475,42773449,42779599,+,downstream,7105,955,Overlapping,chr174278055442780954,0.352623793407676,0.428980985964622
2,67397420,67397820,401,*,1782,ENSG00000143971,67397322,67412089,+,inside,98,98,NearestLocation,chr26739742067397820,0.322753457382901,0.532933425447677
20,34876538,34876938,401,*,1787,ENSG00000131069,34872146,34927962,+,inside,4392,4392,Overlapping,chr203487653834876938,0.342343948835791,0.651352258869823
