seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
10,5765583,5765983,401,*,72,ENSG00000108021,5684731,5763740,+,downstream,80852,1843,Overlapping,chr1057655835765983,-2.89669273239277,-0.339160428314171
3,123757877,123758277,401,*,511,ENSG00000065534,123610049,123884332,-,inside,126455,126055,Overlapping,chr3123757877123758277,-2.54649532134012,-0.573228917720215
3,69865969,69866369,401,*,1004,ENSG00000187098,69739456,69968336,+,inside,126513,101967,Overlapping,chr36986596969866369,-1.8275295503414,-1.04410421327633
1,230073432,230073832,401,*,1447,ENSG00000143641,230057990,230282122,+,inside,15442,15442,NearestLocation,chr1230073432230073832,-1.29110196415765,-0.44043132810989
19,3683569,3683969,401,*,1595,ENSG00000186111,3630183,3700468,-,inside,16899,16499,Overlapping,chr1936835693683969,-1.79422816035743,-0.363921284255295
5,174724592,174724992,401,*,1676,ENSG00000120149,174724582,174730896,+,inside,10,10,NearestLocation,chr5174724592174724992,-0.765081814697916,-0.993133901052961
1,204307405,204307805,401,*,1754,ENSG00000143850,204218853,204377665,-,inside,70260,69860,Overlapping,chr1204307405204307805,-1.35376557598548,-1.08704077411481
1,117606344,117606744,401,*,1804,ENSG00000183508,117606048,117628389,+,inside,296,296,NearestLocation,chr1117606344117606744,-0.69657113239546,-0.840273445652578
18,11980563,11980963,401,*,1861,ENSG00000141401,11981025,12030877,+,upstream,-462,62,NearestLocation,chr181198056311980963,-0.514798571043285,-0.486762530225389
22,24546134,24546534,401,*,1946,ENSG00000138867,24540423,24555935,-,inside,9801,5711,NearestLocation,chr222454613424546534,-1.77194501474122,-0.698236989002118
14,104770077,104770477,401,*,2174,ENSG00000184990,104753147,104768494,+,downstream,16930,1583,Overlapping,chr14104770077104770477,-2.13858140479615,-0.495518220920923
14,104770077,104770477,401,*,2174,ENSG00000142208,104769349,104795751,-,inside,25674,728,Overlapping,chr14104770077104770477,-2.13858140479615,-0.413548164154323
3,81742544,81742944,401,*,2502,ENSG00000114480,81489703,81761645,-,inside,19101,18701,NearestLocation,chr38174254481742944,-1.20160281683472,-0.437197564265745
1,153775813,153776213,401,*,2611,ENSG00000143554,153774354,153780157,+,inside,1459,1459,NearestLocation,chr1153775813153776213,-0.67059324365071,-0.754775731597298
10,91632762,91633162,401,*,3046,ENSG00000119938,91628442,91633071,-,overlapStart,309,91,NearestLocation,chr109163276291633162,-0.500696856291873,-0.512766125919908
18,12629472,12629872,401,*,3220,ENSG00000134278,12446512,12658107,-,inside,28635,28235,Overlapping,chr181262947212629872,-1.70471354852513,-0.701839719442161
