chr	start	stop	name	-1xlog10(p-value)	xSqrd	-1xlog10(Right-Tail Probability)	-1xlog10(AdjustedP-value)
chr1	927660	927970	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak1	46	211.838	46	45.773
chr1	935136	935807	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak2	82	1008.532	216.296	81.12
chr1	939874	940101	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak3	42	893.403	191.349	41.836
chr1	941432	941632	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak4	31	1280.237	275.193	30.959
chr1	941700	941903	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak5	37	1307.868	281.184	36.901
chr1	942904	943424	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak6	60	1413.787	304.15	59.534
chr1	1058948	1059166	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak7	33	617.093	131.509	32.938
chr1	1060361	1060642	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak8	44	746.038	159.427	43.795
chr1	1061634	1061870	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak9	47	713.801	152.446	46.758
chr1	1069345	1069559	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak10	52	787.484	168.404	51.667
chr1	1165981	1166191	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak11	49	225.653	49	48.734
chr1	1169777	1170081	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak12	52	548.015	116.561	51.667
chr1	1171861	1172058	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak13	51	575.646	122.539	50.683
chr1	1178909	1179147	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak14	26	119.734	26	25.988
chr1	1206537	1206767	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak15	84	870.377	186.36	83.074
chr1	1207493	1207692	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak16	57	746.038	159.427	56.578
chr1	1238933	1239155	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak17	22	101.314	22	21.998
chr1	1239338	1239552	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak18	36	474.333	100.623	35.914
chr1	1245956	1246153	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak19	21	741.432	158.43	20.999
chr1	1354592	1354789	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak20	38	948.665	203.323	37.884
chr1	1601003	1601291	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak21	49	566.436	120.546	48.734
chr1	2003559	2004191	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF228ZGV_narrow_peaks.bed_narrowPeak22	106	1086.82	233.264	104.66
