chr	start	stop	name	-1xlog10(p-value)	xSqrd	-1xlog10(Right-Tail Probability)	-1xlog10(AdjustedP-value)
chr1	869985	870262	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak1	67	308.546	67	66.517
chr1	883105	883402	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak2	61	280.915	61	60.584
chr1	899748	900039	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak3	27	124.34	27	26.975
chr1	904725	905055	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak4	61	280.915	61	60.584
chr1	910002	910524	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak5	74	340.783	74	73.459
chr1	917051	917570	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak6	54	248.679	54	53.693
chr1	917601	917879	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak7	49	225.653	49	48.729
chr1	918373	918837	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak8	58	267.1	58	57.64
chr1	919114	919771	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak9	96	442.096	96	95.286
chr1	920505	920804	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak10	46	211.838	46	45.785
chr1	923070	923668	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak11	46	211.838	46	45.785
chr1	924609	926405	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak12	241	1109.846	241	239.34
chr1	927146	927560	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak13	36	165.786	36	35.912
chr1	933484	934001	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak14	61	280.915	61	60.584
chr1	934962	936279	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak15	137	1008.532	216.296	136.003
chr1	936562	937386	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak16	108	497.358	108	107.193
chr1	939741	940223	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak17	152	893.403	191.349	150.904
chr1	940348	943521	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak18	247	1280.237	275.193	245.296
chr1	967343	968179	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak19	72	331.572	72	71.492
chr1	970837	971792	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak20	74	340.783	74	73.459
chr1	971825	972102	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak21	31	142.76	31	30.961
chr1	973451	973759	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak22	49	225.653	49	48.729
chr1	973820	974205	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak23	32	147.365	32	31.933
chr1	975997	976580	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak24	74	340.783	74	73.459
chr1	1033848	1034438	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak25	40	184.207	40	39.859
chr1	1034590	1034916	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak26	55	253.284	55	54.656
chr1	1039537	1040111	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak27	51	234.864	51	50.717
chr1	1058346	1059563	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak28	101	617.093	131.509	100.243
chr1	1059772	1060893	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak29	118	746.038	159.427	117.13
chr1	1060924	1062103	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak30	108	713.801	152.446	107.193
chr1	1062134	1062708	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak31	43	198.022	43	42.806
chr1	1062739	1063983	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak32	118	543.41	118	117.13
chr1	1064039	1064881	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak33	137	630.908	137	136.003
chr1	1068245	1070028	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak34	119	787.484	168.404	118.124
chr1	1070118	1070422	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak35	38	174.996	38	37.87
chr1	1074746	1075281	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak36	55	253.284	55	54.656
chr1	1121365	1121741	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak37	38	174.996	38	37.87
chr1	1136564	1137664	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak38	152	699.986	152	150.904
chr1	1137713	1138132	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak39	67	308.546	67	66.518
chr1	1142568	1142857	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak40	32	147.365	32	31.933
chr1	1162054	1162595	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak41	43	198.022	43	42.806
chr1	1162989	1163366	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak42	61	280.915	61	60.584
chr1	1164245	1165438	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak43	98	451.307	98	97.273
chr1	1166652	1167034	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak44	47	216.443	47	46.777
chr1	1169213	1170294	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak45	67	548.015	116.561	66.518
chr1	1170828	1171123	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak46	43	198.022	43	42.806
chr1	1171345	1171950	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak47	74	575.646	122.539	73.46
chr1	1173058	1174665	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak48	94	432.886	94	93.293
chr1	1176263	1176794	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak49	55	253.284	55	54.656
chr1	1177682	1178091	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak50	43	198.022	43	42.806
chr1	1200874	1201749	/data/mazurovev/H3K27me3/UBERON:0002084/ENCFF404YFJ_narrow_peaks.bed_narrowPeak51	142	653.934	142	140.983
