seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
19,55482363,55482763,401,*,X174,ENSG00000090971,55485188,55487568,2381,+,2424,upstream,2424,N-acetyltransferase 14 (putative) [Source:HGNC Symbol;Acc:HGNC:28918],chr195548236355482763,-4.49124889572366,0.504279089182424
20,63742457,63742857,401,*,X331,ENSG00000229299,63744689,63745958,1270,+,1831,upstream,1831,ZBTB46 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40752],chr206374245763742857,-4.04118871903049,1.51981157689359
19,7519826,7520226,401,*,X519,ENSG00000090674,7522624,7534009,11386,+,2397,upstream,2397,mucolipin TRP cation channel 1 [Source:HGNC Symbol;Acc:HGNC:13356],chr1975198267520226,-2.87177388687965,1.361445702301
16,30398006,30398406,401,*,X548,ENSG00000180096,30378135,30395991,17857,-,2014,upstream,2014,septin 1 [Source:HGNC Symbol;Acc:HGNC:2879],chr163039800630398406,-3.85180071514464,1.53305145336348
4,671988,672388,401,*,X553,ENSG00000215375,673580,682028,8449,+,1191,upstream,1191,myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586],chr4671988672388,-3.81670309175639,0.492694674646243
19,1273633,1274033,401,*,X928,ENSG00000228300,1275530,1279244,3715,+,1496,upstream,1496,family with sequence similarity 174 member C [Source:HGNC Symbol;Acc:HGNC:26073],chr1912736331274033,-3.51404876836365,0.76424782230243
16,399555,399955,401,*,X966,ENSG00000242612,401858,412487,10630,+,1902,upstream,1902,2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754],chr16399555399955,-3.46610727734327,1.00779421575528
16,1961897,1962297,401,*,X1142,ENSG00000255198,1964899,1965509,611,+,2601,upstream,2601,small nucleolar RNA host gene 9 [Source:HGNC Symbol;Acc:HGNC:33102],chr1619618971962297,-3.45573322630279,2.21270104603033
17,44023580,44023980,401,*,X1242,ENSG00000091947,44011188,44023946,12759,-,0,overlapStart,0,transmembrane protein 101 [Source:HGNC Symbol;Acc:HGNC:28653],chr174402358044023980,-3.33312678946199,0.344196718105561
4,88697581,88697981,401,*,X1397,ENSG00000177432,88695913,88697829,1917,-,0,overlapStart,0,nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968],chr48869758188697981,-3.35030522862439,1.01849500729818
2,219221812,219222212,401,*,X2000,ENSG00000115657,219209772,219218994,9223,-,2817,upstream,2817,ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47],chr2219221812219222212,-3.08833542253507,0.765987896004358
2,27393310,27393710,401,*,X2033,ENSG00000213453,27392784,27393367,584,-,0,overlapStart,0,ferritin heavy chain 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3990],chr22739331027393710,-3.02823941705495,1.14913892767119
19,12873611,12874011,401,*,X2142,ENSG00000095066,12763003,12872740,109738,-,870,upstream,870,hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885],chr191287361112874011,-3.11307584153096,0.565064598611714
1,205622941,205623341,401,*,X2168,ENSG00000236942,205625483,205626153,671,+,2141,upstream,2141,GABA(A) receptor-associated protein (GABARAP) pseudogene,chr1205622941205623341,-3.05402282423539,2.49434176052484
10,52316531,52316931,401,*,X2497,ENSG00000236671,52230398,52314507,84110,-,2023,upstream,2023,PRKG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45029],chr105231653152316931,-3.01416872837273,0.807354433873418
12,56733178,56733578,401,*,X2678,ENSG00000196531,56712305,56731628,19324,-,1549,upstream,1549,nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629],chr125673317856733578,-2.97802318409958,0.688070360652273
16,67849176,67849576,401,*,X2682,ENSG00000102901,67828157,67847811,19655,-,1364,upstream,1364,centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787],chr166784917667849576,-2.97802318409958,0.218051217953682
10,75398950,75399350,401,*,X2916,ENSG00000237149,75401519,75408982,7464,+,2168,upstream,2168,ZNF503 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:23525],chr107539895075399350,-2.90797844631888,1.11525964723549
8,43032819,43033219,401,*,X2989,ENSG00000168522,43034194,43085788,51595,+,974,upstream,974,farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782],chr84303281943033219,-2.83968755646828,0.782410599569303
19,51891185,51891585,401,*,X3382,ENSG00000161551,51804816,51890950,86135,-,234,upstream,234,zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673],chr195189118551891585,-2.22061716094066,0.957563331955615
16,57997155,57997555,401,*,X3392,ENSG00000103005,57999546,58021618,22073,+,1990,upstream,1990,U6 snRNA biogenesis phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:25792],chr165799715557997555,-2.26793577276929,0.606327526967198
X,154441601,154442001,401,*,X3571,ENSG00000071859,154444141,154450654,6514,+,2139,upstream,2139,family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786],chrX154441601154442001,-2.68074036322193,0.475874225234197
