seqnames,start,end,width,strand,peak,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,index,diffpeak,logfc
2,85581705,85582105,401,*,3,ENSG00000118640,85561562,85582031,+,overlapEnd,20143,74,Overlapping,chr28558170585582105,3.69905039595297,1.21435819366306
1,150751695,150752095,401,*,5,ENSG00000163131,150730079,150765957,-,inside,14262,13862,NearestLocation,chr1150751695150752095,3.77948948160562,2.42222513334243
8,98041561,98041961,401,*,11,ENSG00000156482,98024851,98046469,-,inside,4908,4508,Overlapping,chr89804156198041961,2.72648433464526,0.934594736230764
8,98041561,98041961,401,*,11,ENSG00000245970,98041726,98044121,+,overlapStart,-165,165,NearestLocation,chr89804156198041961,2.72648433464526,2.45774522098766
5,139293529,139293929,401,*,12,ENSG00000015479,139293674,139331677,+,overlapStart,-145,145,Overlapping,chr5139293529139293929,4.50336543927344,0.828713758107274
14,74493065,74493465,401,*,14,ENSG00000119655,74476192,74494177,-,inside,1112,712,Overlapping,chr147449306574493465,3.61080911334256,1.14704850205636
9,33817492,33817892,401,*,15,ENSG00000235481,33775183,33818795,-,inside,1303,903,Overlapping,chr93381749233817892,3.92502953994082,3.09063501018138
1,152032394,152032794,401,*,20,ENSG00000163191,152032506,152047907,-,overlapEnd,15513,112,Overlapping,chr1152032394152032794,2.43145953793626,0.185174991229706
6,137197976,137198376,401,*,22,ENSG00000027697,137197483,137219449,-,inside,21473,493,NearestLocation,chr6137197976137198376,2.68128382457183,0.779109613861662
12,67648846,67649246,401,*,26,ENSG00000127334,67648338,67665406,+,inside,508,508,NearestLocation,chr126764884667649246,3.78830910538573,1.07430653738611
10,84152201,84152601,401,*,27,ENSG00000165678,84139482,84154841,+,inside,12719,2240,Overlapping,chr108415220184152601,2.98893046566217,0.561980409903722
8,18056617,18057017,401,*,28,ENSG00000104763,18055992,18084998,-,inside,28381,625,Overlapping,chr81805661718057017,2.94091241000719,1.15415185844937
8,18056617,18057017,401,*,28,ENSG00000245281,18084386,18097644,+,upstream,-27769,27369,NearestLocation,chr81805661718057017,2.94091241000719,1.19112625993504
4,140381168,140381568,401,*,32,ENSG00000153130,140257286,140385728,+,inside,123882,4160,Overlapping,chr4140381168140381568,3.24498548170932,0.274663248132139
10,5813129,5813529,401,*,33,ENSG00000272764,5813985,5814441,+,upstream,-856,456,NearestLocation,chr1058131295813529,2.73297663402169,2.00143109469584
1,40163793,40164193,401,*,36,ENSG00000117000,40161387,40240921,+,inside,2406,2406,NearestLocation,chr14016379340164193,3.84802451038806,1.05428423047039
11,128521487,128521887,401,*,39,ENSG00000134954,128458761,128587558,-,inside,66071,62726,Overlapping,chr11128521487128521887,3.44926332091604,0.249626392240405
14,60397534,60397934,401,*,40,ENSG00000258427,60397757,60398281,+,overlapStart,-223,177,NearestLocation,chr146039753460397934,4.55122936279317,0.304448125791491
